tenant_a,topic_a,tenant_b,topic_b,shared_keys,keys
kescience,literature,kbase,biochemistry,1,compound_id
enigma,taxonomy,planetmicrobe,taxonomy,1,ncbi_taxon_id
kescience,literature,refdata,multiomics,1,protein_id
kescience,literature,protect,multiomics,1,protein_id
kescience,literature,msyscolo,taxonomy,1,species
ese,integration,netl,taxonomy,1,sample_id
kescience,literature,arkinlab,taxonomy,1,species
kescience,literature,protect,taxonomy,1,species
arkinlab,literature,ese,literature,1,pmid_doi
kescience,literature,refdata,literature,1,pmid_doi
kescience,literature,netl,literature,1,pmid_doi
ese,literature,refdata,literature,1,pmid_doi
ese,literature,netl,literature,1,pmid_doi
ese,literature,kescience,structural,1,pmid_doi
ese,literature,kescience,literature,1,pmid_doi
ese,integration,nmdc,taxonomy,1,sample_id
arkinlab,literature,refdata,literature,1,pmid_doi
arkinlab,literature,netl,literature,1,pmid_doi
ese,integration,nmdc,field_observational,1,sample_id
arkinlab,literature,kescience,structural,1,pmid_doi
arkinlab,literature,kescience,literature,1,pmid_doi
kescience,literature,nmdc,taxonomy,1,species
kbase,pangenome,refdata,reference_protein,1,gene_cluster_id
kbase,pangenome,refdata,mobile_phage,1,pfam
kbase,pangenome,netl,taxonomy,1,gtdb_taxonomy
kbase,pangenome,refdata,literature,1,biosample_id
kbase,pangenome,kescience,literature,1,species
kbase,pangenome,protect,integration,1,feature_id
kbase,pangenome,nmdc,integration,1,feature_id
kbase,pangenome,nmdc,biochemistry,1,ec_number
kbase,pangenome,arkinlab,annotation,1,ec_number
kbase,pangenome,refdata,genome,1,genome_id
kbase,pangenome,msyscolo,genome,1,genome_id
kbase,pangenome,kescience,taxonomy,1,genome_id
refdata,genome,planetmicrobe,field_observational,1,sample_id
enigma,multiomics,refdata,multiomics,1,protein_id
enigma,multiomics,kescience,structural,1,protein_id
enigma,multiomics,kescience,literature,1,protein_id
enigma,multiomics,protect,integration,1,feature_id
enigma,multiomics,nmdc,integration,1,feature_id
enigma,multiomics,kbase,genome,1,feature_id
enigma,multiomics,protect,annotation,1,feature_id
enigma,multiomics,nmdc,multiomics,1,feature_id
enigma,multiomics,nmdc,annotation,1,reaction_id
enigma,multiomics,refdata,taxonomy,1,genome_id
enigma,multiomics,refdata,genome,1,genome_id
enigma,multiomics,msyscolo,genome,1,genome_id
enigma,multiomics,nmdc,pathway,1,kegg_pathway
kescience,pathway,msyscolo,genome,1,genome_id
kescience,genome,protect,integration,1,feature_id
kescience,genome,nmdc,integration,1,feature_id
kescience,genome,kbase,multiomics,1,feature_id
kescience,genome,kbase,genome,1,feature_id
kescience,genome,refdata,structural,1,feature_id
