orgId	locusId	sysName	geneName	desc	set1IT002 L-tyrosine (C)	set1IT003 L-Tryptophan (C)	set1IT006 casaminos (C)	set1IT009 Glucuronamide (C)	set1IT010 D-Maltose (C)	set1IT011 D-Galactose (C)	set1IT014 D-Glucuronic Acid (C)	set1IT016 D-Glucose-6-Phosphate (C)	set1IT017 acetate (C)	set1IT018 Fumarate (C)	set1IT019 D-Cellobiose (C)	set1IT023 pyruvate (C)	set1IT024 succinate (C)	set1IT031 L-Asparagine (C)	set1IT032 L-Glutamine (C)	set1IT054 casaminos (C)	set1IT058 D-Maltose (C)	set1IT059 D-Galactose (C)	set1IT064 D-Glucose-6-Phosphate (C)	set1IT065 acetate (C)	set1IT066 Fumarate (C)	set1IT068 2-Deoxy-D-Ribose (C)	set1IT071 pyruvate (C)	set1IT073 propionate (C)	set1IT076 L-Malic (C)
Lysobacter_OAE881	ABIE51_RS00375	ABIE51_RS00375		VOC family protein	-1.019	-0.740	0.524	-0.501	-1.545	0.103	0.579	-1.420	0.411	-0.418	-2.143	-1.250	-1.034	-1.049	0.974	-0.565	0.150	0.047	-2.138	-0.665	0.325	0.890	0.198	-0.316	0.518
Lysobacter_OAE881	ABIE51_RS00380	ABIE51_RS00380		GNAT family N-acetyltransferase	0.650	0.127	-0.749	-1.984	1.032	1.357	1.322	-0.195	1.055	-0.304	0.053	0.306	1.253	-0.913	0.357	-0.710	1.111	1.841	-0.336	-1.603	-0.029	0.838	-0.016	-1.581	-1.212
Lysobacter_OAE881	ABIE51_RS00385	ABIE51_RS00385		outer membrane beta-barrel protein	-0.453	0.026	1.234	-0.071	0.204	0.691	-0.795	0.238	-1.523	-0.175	0.014	0.146	1.865	0.355	0.256	1.192	0.777	1.169	-0.073	-1.313	0.716	0.993	-0.983	0.757	0.424
Lysobacter_OAE881	ABIE51_RS00390	ABIE51_RS00390		'5'-nucleotidase, lipoprotein e(P4) family' pseudo=_no_value transl_table=11	-0.234	1.602	-0.069	0.705	0.463	0.193	0.372	1.148	0.374	0.257	0.053	0.985	0.274	0.338	1.519	-0.119	-0.134	-0.586	1.275	0.847	0.148	0.118	0.746	1.741	-0.583
Lysobacter_OAE881	ABIE51_RS00395	ABIE51_RS00395		hypothetical protein	-0.120	-0.535	3.392	-0.330	-0.457	-1.118	-0.234	-0.598	0.190	-0.581	0.504	-0.010	0.187	-0.014	0.268	3.270	0.563	-0.163	0.018	-1.565	0.403	0.155	-0.784	-0.459	-0.910
Lysobacter_OAE881	ABIE51_RS00400	ABIE51_RS00400		fimbrial protein	-1.659	0.415	-0.266	0.272	-0.671	-1.626	0.732	-0.842	-1.200	-0.458	-1.864	0.361	0.685	-0.557	-0.807	0.072	-0.493	-0.591	0.596	0.136	0.099	-1.174	0.671	-1.216	0.951
Lysobacter_OAE881	ABIE51_RS00405	ABIE51_RS00405		fimbria/pilus outer membrane usher protein	0.420	-0.180	0.410	0.204	-0.619	0.438	0.181	-0.138	0.644	0.247	0.138	-0.070	0.828	0.593	-0.645	0.471	1.209	0.267	0.055	-0.222	0.477	-0.114	0.282	0.759	-0.465
Lysobacter_OAE881	ABIE51_RS00410	ABIE51_RS00410		molecular chaperone	0.343	-0.335	0.495	0.970	-0.073	0.456	0.186	1.091	1.036	-0.092	0.333	-0.406	0.438	0.024	-1.361	1.580	1.430	1.579	-0.696	0.331	0.679	0.720	0.065	-0.129	0.087
Lysobacter_OAE881	ABIE51_RS00415	ABIE51_RS00415		fimbrial protein	0.024	-0.252	-0.705	-0.928	-0.706	0.273	0.673	-0.281	0.315	0.350	-0.490	-0.170	0.555	-0.223	0.883	0.534	1.248	-0.754	-0.579	0.644	0.385	0.873	-0.318	-0.559	0.715
Lysobacter_OAE881	ABIE51_RS00420	ABIE51_RS00420		hypothetical protein	-1.976	-1.828	0.442	0.317	-1.013	-0.939	-1.947	-0.204	-2.826	-0.882	-0.896	-0.549	-0.717	-2.548	0.149	-0.318	0.106	-0.879	-0.884	0.941	-0.186	0.354	-0.557	-0.595	-0.351
