orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS00975	A4249_RS00975		DUF559 domain-containing protein	-0.670	-1.960	-2.372	-0.751
Brev2	A4249_RS00980	A4249_RS00980		pyruvate, phosphate dikinase	0.942	-27.540	2.733	-24.373
Brev2	A4249_RS00985	A4249_RS00985		porin family protein	1.438	0.408	1.101	0.176
Brev2	A4249_RS00990	A4249_RS00990		hypothetical protein	0.434	-0.474	-0.983	-1.007
Brev2	A4249_RS00995	A4249_RS00995		M48 family metallopeptidase	-0.635	0.708	0.445	-0.609
Brev2	A4249_RS01000	A4249_RS01000		DoxX family protein	0.775	1.497	1.329	2.729
Brev2	A4249_RS01005	A4249_RS01005		beta-ketoacyl-ACP synthase III	2.374	-1.794	0.088	0.992
Brev2	A4249_RS01010	A4249_RS01010		capsular polysaccharide biosynthesis protein	-13.940	-16.780	-5.953	-7.456
Brev2	A4249_RS01015	A4249_RS01015		CoA ester lyase	0.251	0.663	0.189	0.119
Brev2	A4249_RS01020	A4249_RS01020		SDR family NAD(P)-dependent oxidoreductase	1.006	-0.052	-0.054	0.401
Brev2	A4249_RS01025	A4249_RS01025		GAF domain-containing protein	0.364	0.337	3.395	1.832
Brev2	A4249_RS01030	A4249_RS01030		hypothetical protein	1.264	0.931	0.732	1.899
Brev2	A4249_RS01035	A4249_RS01035		S8 family serine peptidase	0.166	0.323	0.883	0.467
Brev2	A4249_RS01040	A4249_RS01040		hypothetical protein	-0.637	0.201	-0.079	0.188
Brev2	A4249_RS01045	A4249_RS01045		osmoprotectant NAGGN system M42 family peptidase	-0.719	-0.219	0.098	1.372
Brev2	A4249_RS01050	A4249_RS01050		N-acetylglutaminylglutamine synthetase	0.711	1.211	0.778	0.824
Brev2	A4249_RS01055	A4249_RS01055		N-acetylglutaminylglutamine amidotransferase	0.561	2.315	1.664	1.158
Brev2	A4249_RS01065	A4249_RS01065		SLC13 family permease	-0.182	0.087	-1.227	-0.806
Brev2	A4249_RS01070	A4249_RS01070		DoxX family protein	1.262	-0.107	-0.289	1.715
Brev2	A4249_RS01075	A4249_RS01075		DNA-binding domain-containing protein	1.136	1.497	-0.223	2.101
Brev2	A4249_RS01080	A4249_RS01080		DUF692 domain-containing protein	1.894	1.310	1.419	1.587
Brev2	A4249_RS01085	A4249_RS01085		DUF2282 domain-containing protein	-0.933	-0.546	-1.382	-2.237
Brev2	A4249_RS01090	A4249_RS01090		sigma-70 family RNA polymerase sigma factor	0.530	0.388	0.592	0.537
Brev2	A4249_RS01100	A4249_RS01100		MBL fold metallo-hydrolase	-2.315	-1.733	-0.705	-1.388
Brev2	A4249_RS01105	A4249_RS01105		YncE family protein	-0.380	0.566	-0.196	-0.562
Brev2	A4249_RS01110	A4249_RS01110		DUF305 domain-containing protein	0.485	0.868	2.278	2.112
Brev2	A4249_RS01115	A4249_RS01115		LysR substrate-binding domain-containing protein	-0.688	-1.205	1.215	0.239
Brev2	A4249_RS01120	A4249_RS01120		uracil-DNA glycosylase	0.570	-0.942	0.681	-0.631
Brev2	A4249_RS01125	A4249_RS01125		hypothetical protein	0.461	0.687	0.329	0.330
Brev2	A4249_RS01130	A4249_RS01130		TDT family transporter	-0.113	-0.339	0.876	-0.158
