orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS00735	A4249_RS00735		TonB-dependent receptor	-0.502	-0.797	-1.125	-1.166
Brev2	A4249_RS00740	A4249_RS00740		HAD family hydrolase	0.079	-0.343	-0.384	-0.062
Brev2	A4249_RS00745	A4249_RS00745		SDR family NAD(P)-dependent oxidoreductase	0.094	0.169	0.040	-0.063
Brev2	A4249_RS00750	A4249_RS00750		S41 family peptidase	-0.143	-0.151	-0.339	-0.025
Brev2	A4249_RS00755	A4249_RS00755		YbdD/YjiX family protein	0.629	0.185	0.080	0.460
Brev2	A4249_RS00760	A4249_RS00760		carbon starvation CstA family protein	-0.205	-0.257	-0.308	-0.538
Brev2	A4249_RS00765	A4249_RS00765		formate-dependent phosphoribosylglycinamide formyltransferase	0.406	0.395	0.845	0.626
Brev2	A4249_RS00770	A4249_RS00770		VOC family protein	0.198	-0.003	0.119	0.260
Brev2	A4249_RS00775	A4249_RS00775		alpha/beta hydrolase-fold protein	0.141	-0.041	0.220	0.143
Brev2	A4249_RS00790	A4249_RS00790		cell division protein ZapA	-0.039	-0.046	-0.028	-0.064
Brev2	A4249_RS00800	A4249_RS00800		5-formyltetrahydrofolate cyclo-ligase	-0.190	-0.566	-0.531	-1.303
Brev2	A4249_RS00810	A4249_RS00810		glycosyltransferase family 4 protein	0.027	0.186	0.292	0.358
Brev2	A4249_RS00815	A4249_RS00815		tyrosine-protein phosphatase	0.007	0.024	-0.211	0.236
Brev2	A4249_RS00820	A4249_RS00820		hypothetical protein	0.085	0.141	0.155	0.107
Brev2	A4249_RS00825	A4249_RS00825		cytochrome P450	0.088	0.181	0.182	0.089
Brev2	A4249_RS00830	A4249_RS00830		hypothetical protein	0.629	0.335	0.110	0.338
Brev2	A4249_RS00835	A4249_RS00835		DUF305 domain-containing protein	0.078	-0.011	0.084	-0.120
Brev2	A4249_RS00850	A4249_RS00850		hypothetical protein	0.066	0.008	-0.066	0.102
Brev2	A4249_RS00855	A4249_RS00855		hypothetical protein	0.371	-0.083	-0.029	0.489
Brev2	A4249_RS00860	A4249_RS00860		hypothetical protein	0.279	0.066	-0.478	-0.190
Brev2	A4249_RS00865	A4249_RS00865		hypothetical protein	0.057	0.064	0.033	-0.089
Brev2	A4249_RS00875	A4249_RS00875		MFS transporter	-0.175	0.029	-0.282	-0.202
Brev2	A4249_RS00880	A4249_RS00880		YbhB/YbcL family Raf kinase inhibitor-like protein	-0.090	-0.161	0.104	-0.074
Brev2	A4249_RS00895	A4249_RS00895		DUF1476 domain-containing protein	0.134	-1.478	-0.874	-1.355
Brev2	A4249_RS00900	A4249_RS00900		fasciclin domain-containing protein	-0.141	-0.090	-0.100	0.269
Brev2	A4249_RS00905	A4249_RS00905		DNA-deoxyinosine glycosylase	0.025	-0.031	-0.229	0.084
