ko_id,gene_name,subcategory,D,lambda,is_resistance,is_double_signal,n_ncbi_total,n_ncbi_plasmid,plasmid_frac
K15549,mdtN,Resistance/Detoxification,0.102572649087899,0.4762804026475084,True,False,656526.0,117.0,0.0001782107639301
K15585,nikB,Transport/Homeostasis,0.2024132376423988,0.0001059596688143,False,True,833861.0,3662.0,0.0043916192267056
K15652,asbF,Unknown,0.0296622908908735,0.9900287216325326,False,False,,,
K15726,czcA,Resistance/Detoxification,0.0629903868592324,0.6546049730743905,True,False,15559.0,127.0,0.0081624783083745
K15974,emrR,Sensing/Regulation,-0.0202085724357872,0.4590398431716034,False,False,,,
K16088,TC.FEV.OM1,Unknown,0.0021936254587453,0.3231335620458502,False,False,,,
K16090,fiu,Transport/Homeostasis,-0.0750798516822969,0.5478342609502955,False,False,,,
K16322,pit,Unknown,-0.3706676693292622,0.8305050079964997,False,False,,,
K17222,soxA,Unknown,-0.0309761079283855,0.4184739114274513,False,False,,,
K17225,soxC,Metal-dependent Metabolism,0.0795023932182171,0.0333607563995614,False,False,,,
K17226,soxY,Sensing/Regulation,-0.0655117692942268,0.6246110815548812,False,False,,,
K17229,fccB,Metal-dependent Metabolism,0.0002637020448409,0.1739220940104036,False,False,,,
K17686,copA,Resistance/Detoxification,0.2720130105606624,0.5113467748694513,True,False,1536291.0,616.0,0.0004009657024613
K18028,nicX,Unknown,0.1983247514637027,0.4326761690370201,False,False,,,
K18030,nicB,Metal-dependent Metabolism,0.1550559954592135,0.0001044725606823,False,False,,,
K18145,adeA,Resistance/Detoxification,0.2811968044745545,0.7242339125871968,True,False,54251.0,4.0,7.373135979060294e-05
K18146,adeB,Resistance/Detoxification,0.2449384539045696,0.9998940403311856,True,False,55128.0,14.0,0.0002539544333188
K18299,mexF,Resistance/Detoxification,-0.2591550125706336,0.4917056643781625,True,False,53715.0,12.0,0.0002234012845573
K18303,mexK,Resistance/Detoxification,-0.1360590745255005,0.7666319808804644,True,False,53378.0,7.0,0.0001311401701075
K18307,mexI,Resistance/Detoxification,-0.0646140616033749,0.9211421877068048,True,False,56719.0,11.0,0.0001939385391138
K18324,acrD,Resistance/Detoxification,-0.4667761002929723,0.1340633223130827,True,False,1259287.0,70.0,5.558701074496918e-05
K18367,CoADR,Sensing/Regulation,0.1830027672230872,0.7128730592412164,False,False,,,
K18707,,Unknown,-0.1434748177510133,0.5611484054395307,False,False,,,
K18844,aph,Transport/Homeostasis,0.2229179678022562,0.3519043979322498,False,False,,,
K18902,bpeF,Resistance/Detoxification,-0.1358921127088616,0.7791661089051799,True,False,671.0,1.0,0.0014903129657228
K18903,oprC,Resistance/Detoxification,-0.1270858331746445,0.4066748384720279,True,False,2163.0,3.0,0.001386962552011
K18908,mepA,Resistance/Detoxification,0.0516268784620033,0.0001044336939894,True,False,1513702.0,119.0,7.86152095987189e-05
K18925,ykkD,Resistance/Detoxification,-0.2800771871913264,0.7643067411161605,True,False,12060.0,0.0,0.0
K18989,vexF,Resistance/Detoxification,-0.0597118612284155,0.4865882490330308,True,False,12569.0,3.0,0.0002386824727504
K18990,vexE,Resistance/Detoxification,-0.1200709728104688,0.3875024274777491,True,False,26147.0,3.0,0.0001147359161662
K19057,merD,Resistance/Detoxification,0.7011488787956072,0.1653921090790372,True,True,215624.0,9214.0,0.0427317923793269
K19059,merE,Transport/Homeostasis,0.7276838362930834,0.1024970858452611,False,True,202675.0,8611.0,0.0424867398544467
K19221,cobA,Unknown,0.0396066614715421,0.6874622392539917,False,False,,,
K19353,eptC,Unknown,-0.0593201845016033,0.3218643200012734,False,False,,,
K19575,bmrR,Sensing/Regulation,0.2073623204422558,0.3128244738874182,False,False,,,
K19578,bmr,Resistance/Detoxification,-0.3403491055725927,0.0001059596688143,True,False,4192.0,1.0,0.0002385496183206
K19592,golS,Sensing/Regulation,0.2645941390066298,0.1348458699567263,False,True,520363.0,9.0,1.729561863545256e-05
K19594,gesB,Resistance/Detoxification,0.5965383911186886,0.1559578884302989,True,True,1.0,0.0,0.0
K19595,gesA,Resistance/Detoxification,0.4577217595751774,0.1610584292276534,True,True,1.0,0.0,0.0
K19777,hdeA,Transport/Homeostasis,-0.1075923271349068,0.1681924912677725,False,False,,,
K19778,hdeB,Transport/Homeostasis,-0.0167934968959433,0.9998940403311856,False,False,,,
K19784,chrR,Resistance/Detoxification,0.1823005471765238,0.2778590353694758,True,False,69894.0,37.0,0.0005293730506195
K19976,mntB,Transport/Homeostasis,-0.1036157729587071,0.3065316853443602,False,False,,,
K20265,gadC,Unknown,0.2051382896082324,0.4402921076089387,False,False,,,
K20420,ncsB3,Unknown,-0.2875244981953273,0.3267175341111284,False,False,,,
K21479,cbiH60,Transport/Homeostasis,-0.1539442808600602,0.9702512546347516,False,False,,,
K21572,susD,Unknown,-0.2862023888774807,0.83014158186063,False,False,,,
K21600,csoR,Sensing/Regulation,0.0231580096390583,0.5781311820518632,False,False,,,
K21886,nmtR,Sensing/Regulation,-0.0274074140952015,0.0001059596688143,False,False,,,
K22041,comR,Sensing/Regulation,0.1031203286621385,0.8869294497528942,False,False,,,
K22225,ahbAB,Cofactor Biosynthesis,0.032203834830974,0.2610686054383207,False,False,,,
K22226,ahbC,Unknown,-0.1247803919156819,0.0688772295275386,False,False,,,
K22227,ahbD,Transport/Homeostasis,0.035336752821542,0.0774549957525301,False,False,,,
K22316,rhnA-cobC,Transport/Homeostasis,-0.2939888662158723,0.0001059596688143,False,False,,,
K22552,mmcO,Metal-dependent Metabolism,0.2836041002775478,0.5742650549409458,False,False,,,
K22622,soxD,Unknown,0.0760180555989072,0.0540477939894221,False,False,,,
K23240,rcnR,Sensing/Regulation,0.0452162829382457,0.5111728068075281,False,False,,,
K23242,mntP,Resistance/Detoxification,0.0362197015193176,0.4822164272725218,True,False,1355633.0,153.0,0.0001128624045003
K23243,rcnB,Transport/Homeostasis,-0.1343424037313657,0.0715832608422556,False,False,,,
K23374,sbnF,Unknown,0.0961761033932368,0.0001059596688143,False,False,,,
K23375,sbnC,Transport/Homeostasis,0.1304260912115131,0.9764671262169426,False,False,,,
K24073,cnrH,Resistance/Detoxification,-0.1328141749642716,0.6795430379388929,True,False,1085.0,18.0,0.016589861751152
K24078,cnrR,Resistance/Detoxification,-0.0887315107668025,0.8980248062522506,True,False,64.0,0.0,0.0
K24108,asbA,Unknown,0.0747590598083765,0.8108700707207983,False,False,,,
K24109,asbB,Unknown,0.0655548800848585,0.7659843433190264,False,False,,,
K24112,asbE,Transport/Homeostasis,0.0472202079260357,0.8140538059336071,False,False,,,
K25119,shp,Transport/Homeostasis,0.3853935161179785,0.0001055442208782,False,True,3710.0,2.0,0.0005390835579514
K25287,desE,Transport/Homeostasis,-0.2178191844843847,0.4857973225457566,False,False,,,
K27501,alcA,Resistance/Detoxification,0.0098410756300328,0.7757741468914529,True,False,3785.0,5.0,0.0013210039630118
K27802,acnA,Unknown,-0.0740678976663174,0.5113511657078315,False,False,,,
