orgId	locusId	sysName	geneName	desc	set1IT067 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set1IT070 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set2IT059 M63_quarter_strength	set2IT062 CPG	set2IT063 M63_quarter_strength	set4IT033 CPG	set4IT034 M63_quarter_strength
RalstoniaGMI1000	RS_RS00370	RS_RS00370		protease HtpX	-0.164	-0.324	-0.047	-0.225	-0.116	-0.272	-0.074
RalstoniaGMI1000	RS_RS00375	RS_RS00375		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	-0.087	0.130	-0.062	-0.112	0.121	0.048	-0.284
RalstoniaGMI1000	RS_RS00385	RS_RS00385		PAS domain-containing sensor histidine kinase	-1.423	-0.953	-1.640	-1.526	-1.075	0.541	-0.619
RalstoniaGMI1000	RS_RS00400	RS_RS00400		hypothetical protein	-0.052	-0.178	0.059	-0.126	0.066	-0.059	-0.039
RalstoniaGMI1000	RS_RS00405	RS_RS00405		hypothetical protein	0.128	-0.349	0.256	-0.003	0.145	0.307	0.160
RalstoniaGMI1000	RS_RS00410	RS_RS00410		MurR/RpiR family transcriptional regulator	-0.104	0.430	-0.010	-0.345	-0.391	-0.059	-0.078
RalstoniaGMI1000	RS_RS00415	RS_RS00415		aspartate aminotransferase family protein	-0.040	0.015	-0.050	0.168	0.106	0.031	0.028
RalstoniaGMI1000	RS_RS00420	RS_RS00420		3-keto-5-aminohexanoate cleavage protein	-0.173	-0.707	0.099	-0.428	-0.331	0.458	0.168
RalstoniaGMI1000	RS_RS00425	RS_RS00425		amino acid ABC transporter substrate-binding protein	0.295	1.385	0.018	-0.058	0.106	-0.437	0.506
RalstoniaGMI1000	RS_RS00435	RS_RS00435		glutathione S-transferase	-0.055	-1.751	-0.090	-0.041	-0.256	-0.104	-0.185
RalstoniaGMI1000	RS_RS00440	RS_RS00440		complex I NDUFA9 subunit family protein	0.180	0.329	0.315	-0.224	-0.224	-0.126	-0.311
RalstoniaGMI1000	RS_RS00445	RS_RS00445		lytic transglycosylase	0.007	-0.284	0.034	0.058	-0.046	0.116	0.045
RalstoniaGMI1000	RS_RS00450	RS_RS00450		5-formyltetrahydrofolate cyclo-ligase	-0.158	-0.889	-0.726	0.013	-0.713	-0.201	-0.823
RalstoniaGMI1000	RS_RS00455	RS_RS00455		competence protein TfoX	0.126	-0.779	-0.281	0.011	0.169	-0.161	-0.355
RalstoniaGMI1000	RS_RS00460	RS_RS00460		methylenetetrahydrofolate reductase [NAD(P)H]	-2.986	-1.948	-3.789	-0.169	-4.647	0.024	-4.039
RalstoniaGMI1000	RS_RS00465	RS_RS00465		phage holin family protein	-0.813	-0.467	-0.888	0.138	-0.669	-0.259	-1.287
RalstoniaGMI1000	RS_RS00475	RS_RS00475		hypothetical protein	0.144	0.013	0.065	0.233	0.199	-0.005	-0.067
RalstoniaGMI1000	RS_RS00480	RS_RS00480		alkaline phosphatase	-0.102	-0.204	0.049	-0.022	0.164	0.076	0.064
RalstoniaGMI1000	RS_RS00485	RS_RS00485		alkaline phosphatase	-0.064	0.240	0.047	-0.007	0.080	-0.082	-0.030
RalstoniaGMI1000	RS_RS00490	RS_RS00490		hypothetical protein	0.199	-0.455	0.061	-0.406	-0.033	0.186	0.037
