genus_lower,biome_H_std,ko_per_mb_total_z,disc_per_mb_z
hydrogenovibrio,0.5494483729958348,3.426919915917174,1.6310778404187174
hymenobacter,0.5694127954602323,-0.8171316446718352,-0.8693953198336356
hyphomonas,0.5446954869552572,0.941813915180356,1.1218886990025465
idiomarina,0.4724012080596585,2.7785142363768807,1.7736073900528733
intestinibacter,0.3183838003281547,-0.1576268927490739,0.05910283262780986
jannaschia,0.535950689402728,-0.34172671064002447,1.2197362802092926
janthinobacterium,0.6630495309788808,-0.6665987326201703,-0.5453851443025476
jeotgalibaca,0.15010648361207257,0.6704191386912286,1.020779646544973
jiangella,0.6899278519838207,-1.4860450346347722,-1.0078946940882803
kaistella,0.29802819117204377,0.6630971328166569,0.021874130327552477
kaistia,0.5326164391548038,-1.0669119624303123,-0.17971264415479304
kineococcus,0.5771368920206318,-0.6264558186432015,-0.2668553130721092
kineothrix,0.47169726966902426,-1.2771633831069618,-1.3390665930450676
kingella,0.2569243729222643,2.7017555366241526,1.1128058206992941
kitasatospora,0.6188579058207049,-1.4812057900254836,-0.9615475464805422
klebsiella,0.519548211020572,0.46581786296518646,-0.08201944692418014
kocuria,0.3921469511225786,0.8506888310773395,0.9921812191711262
kordiimonas,0.6433319841681281,0.5413097081427206,0.26319223219655735
kribbella,0.5677036627294211,-1.5513679932731497,-1.200881512850003
labilithrix,0.61563228275171,-1.3032042102177686,-1.1235495621328127
labrys,0.5704167829981757,-1.0731640183100226,-0.46972950599523217
lachnoclostridium,0.4805607050651348,-0.9535105370662148,-0.9920965425393927
lachnospira,0.37271362941766256,-1.088325821798513,-0.9758605518301254
lacrimispora,0.4263040086381853,-1.0295099787224193,-1.1504261780285252
lacticaseibacillus,0.30031985959099766,-1.3815296268190793,-1.3227360478312737
lactobacillus,0.362405688210446,-0.5203294964489383,-0.6398205572783916
lactococcus,0.21442998337960795,-0.6979228248549193,-0.0366622392491195
lacunisphaera,0.7085621334696649,1.4997172387205275,-0.8178916952151175
lautropia,0.46460628154372763,0.5460445668480706,1.0451129217783646
lawsonella,0.5888779952825025,0.4283402470288398,-0.2894830394207784
leadbetterella,0.34146481691751024,-0.66832966411558,-1.112957254787351
lederbergia,0.4888980196336442,-0.574490979804409,0.05717228470951732
legionella,0.6015223080026484,1.2267430720135177,0.3687854789577867
lentibacillus,0.3990533980370754,-0.4755521996886103,1.0464680739939507
lentimicrobium,0.3623961855880496,0.050912331022991905,-0.039086850984454614
leptospirillum,0.3716102095517318,4.773433465278672,0.6779157406135591
leptotrichia,0.4334175307445059,0.20308606302820978,0.642458099305462
leucobacter,0.5291479386129205,-0.47229604045961315,-0.06853605831516786
leuconostoc,0.26933624622720614,-0.22537641643621295,-1.085092892731295
lewinella,0.5469639437376901,-0.8320978341697232,-1.6331799282561879
ligilactobacillus,0.34248875165957854,-0.30077576688718916,-0.5772419260498565
limnobacter,0.3735223318139602,1.8072113223694406,0.5979820320261012
limosilactobacillus,0.37356021185563504,0.014210241491716515,-1.4270430638959462
listeria,0.5467946602040787,-0.6024287084315672,0.038694586123836965
loktanella,0.4798692253139512,-0.09900651743141116,1.224539871526132
longibaculum,0.34044578129518793,-1.2820221027072478,-2.124492216661662
luminiphilus,0.23859729003109126,1.3971559022309876,0.7562715772042439
luteolibacter,0.5257651221469992,-0.4923153118973929,-1.6181892610972126
lutibacter,0.4211960025080475,1.0633497221213855,-0.3038005749273161
lysinibacillus,0.604339498765706,-0.3979712817616227,-0.026712942338383512
lysobacter,0.6105566107875763,-0.8255046063420742,-0.3894410545108326
macellibacteroides,0.6211204220986676,0.6563219527949266,-0.515637471197269
magnetospirillum,0.4046799247481441,0.44321300550864223,0.6577702026100315
malaciobacter,0.4898024676537765,1.6994912940648854,0.2886734269460188
mangrovimonas,0.5329501305440311,0.7337766761659762,-0.29370063204340435
maribacter,0.5136777272669578,0.09268120104336318,-0.3881547892833676
maricaulis,0.2176144876220027,0.9205319119598377,0.8207614139096405
maridesulfovibrio,0.3504229629865326,-0.24103956419830372,-0.9903978170891455
mariniblastus,0.39605106453270567,-1.1837883983441857,-1.0027355987921682
mariniflexile,0.7079573322596148,0.16275769584460925,-0.3722064586987432
marinimicrobium,0.5651487211751884,1.195439802443623,1.3116725018398578
mariniphaga,0.663701891542575,-0.176961270406345,-0.42126821362474287
marinobacter,0.5500217658285885,0.47307616536351416,1.1903904154717668
marinobacterium,0.5705107105859747,1.2306885567249688,1.4665534814076147
marinomonas,0.6019998925884007,0.03477440173612445,0.23577885232789422
marinoscillum,0.5131439644486703,-0.6336942672206801,-1.4782888825452212
mariprofundus,0.5610428932732567,1.6465170428678362,0.6459543624487378
mediterraneibacter,0.3903209873086062,-1.1515055816567878,-0.9149444301116029
megamonas,0.11680981165669457,-0.31427498173320195,-0.9376058867530861
megasphaera,0.2976073920756542,-0.6500149742924365,-0.7227318829649696
meiothermus,0.4278178755847498,0.03849696577726284,0.8007579041478284
mesobacillus,0.5296328760207206,-0.7636122409059674,-0.30167319883280674
mesonia,0.4576076758776529,0.57814268030404,0.29829139852705083
mesorhizobium,0.6671616081680284,-1.181499819548866,-0.5767302928991205
metabacillus,0.5799752788725834,-0.5376440202828301,-0.02975693385525768
methanobacterium,0.3839775358709839,-0.13315262522948657,0.9791648478373411
methanobrevibacter,0.4459872493464726,-1.3683380606716549,-1.898720190638306
methanocella,0.31245916128136625,-0.9407428408685744,-1.4904728907679465
methanocorpusculum,0.3734852022938417,-0.5305201223181493,-1.1174512829167316
methanoculleus,0.6835883101364337,-0.6404840629908328,-0.012383259669041047
methanolobus,0.8786909761448739,-0.2633526209532017,-0.5035929407491124
methanoregula,0.28387878955486845,-0.40310376350528915,-0.5780833596381951
methanosarcina,0.3149472121763959,-0.9473892900045819,-0.33022014668395316
methanosphaera,0.3814628351878365,-0.477778094297561,-1.7755060460015577
methanospirillum,0.375260957028355,-0.7024875437254281,-0.2750859387066373
methanothrix,0.5643536315619844,-0.3422657080831949,0.3165203449365526
methylobacillus,0.5246072598390912,1.0781065914911057,1.1858861519646506
methylobacter,0.48971348918373153,0.03382271106355352,-0.05653525323745333
methylobacterium,0.6117575506333053,-0.5200596155526959,-0.24413006524703604
methyloceanibacter,0.7378089663177737,0.8851086023879507,2.5112577387392507
methylocystis,0.5868253445237883,0.9645952237623563,0.9133664340806753
methylomonas,0.22767640387355437,0.6323851939919329,-0.42055549342823356
methylophaga,0.5721133999697874,1.895700157446571,0.9944196310823001
methylotenera,0.5688003266262962,4.4154290098251066,2.5150793702571863
microbacterium,0.5302310753003445,-0.3874017662688282,-0.23648327496035637
microbulbifer,0.6152095180096994,0.6009459006083981,1.6292321720751484
micrococcus,0.5824981878867141,1.211614443129799,0.8788595436870812
microcoleus,0.42928129395094655,-1.4274004160565792,-1.3349804569045314
micromonospora,0.6688260867640984,-1.4518795525684753,-0.8729497220522245
microvirga,0.5138089597460048,-1.1983055395212874,-0.6844944454777839
mitsuokella,0.32321769993145033,-0.33064363310551315,-0.9216953728430087
mobilitalea,0.4498793104745588,-0.9185724607479911,-1.0239729143973204
moraxella,0.20093625728659448,2.3034747782763367,3.1852283188232033
morganella,0.6371702034490152,0.3429493124724755,0.3977652954633752
mucilaginibacter,0.48687554898162283,-0.6738765409858652,-1.1429890219098156
muricauda,0.28053450764682064,0.28833165554708173,-0.6325158125850402
mycobacterium,0.5381232664678698,-0.6143071056695785,-0.019192516799954564
mycoplasmopsis,0.30657484790200656,-0.5758384196090844,-1.2296771914603217
nakamurella,0.6002269284537075,-0.48827212890812616,-0.8975925757896956
nannocystis,0.5900712737054904,-1.3857010739911486,-1.690796401447184
natrinema,0.5516843685068475,-0.7289948953734673,0.2534254771373141
natronomonas,0.20853983296950257,-1.0914717715370725,1.1510089772757546
neisseria,0.379123708983296,2.114922875384097,0.8522107743672284
neobacillus,0.4981917073175693,-0.7624164333929656,-0.19588497320142753
neptunomonas,0.617948581276807,0.34863646375948737,0.8294713323072987
