otu_id,domain,phylum,class,order,family,genus
OTU_1016,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophales,Omnitrophales
OTU_10160,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
OTU_10161,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Curtissbacteria,Candidatus_Curtissbacteria,Candidatus_Curtissbacteria
OTU_10162,Bacteria,Dependentiae,Babeliae,Babeliales,,
OTU_10163,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophales,Omnitrophales
OTU_10164,Bacteria,Patescibacteria,ABY1,Candidatus_Komeilibacteria,Candidatus_Komeilibacteria,Candidatus_Komeilibacteria
OTU_10165,Bacteria,Patescibacteria,,,,
OTU_10166,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
OTU_10167,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,
OTU_10168,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10169,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42
OTU_1017,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41
OTU_10170,Bacteria,Proteobacteria,Alphaproteobacteria,,,
OTU_10171,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium
OTU_10172,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_10173,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,SM2D12
OTU_10174,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_10175,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
OTU_10176,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13
OTU_10177,Bacteria,Verrucomicrobiota,Lentisphaeria,,,
OTU_10178,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula
OTU_10179,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,,
OTU_1018,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
OTU_10180,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
OTU_10181,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_10182,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota
OTU_10183,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10184,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
OTU_10185,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10186,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria
OTU_10187,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,
OTU_10188,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,
OTU_10189,Bacteria,Chloroflexi,Dehalococcoidia,661239,661239,661239
OTU_1019,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Woesebacteria,Candidatus_Woesebacteria,Candidatus_Woesebacteria
OTU_10190,Bacteria,,,,,
OTU_10191,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria
OTU_10192,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliales,Babeliales
OTU_10193,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,
OTU_10194,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC_AAA011-D5,SCGC_AAA011-D5
OTU_10195,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10196,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Candidatus_Berkiella
OTU_10197,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10198,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosotaleales,Nitrosotaleaceae,Nitrosotaleaceae
OTU_10199,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Gottesmanbacteria,Candidatus_Gottesmanbacteria,Candidatus_Gottesmanbacteria
OTU_102,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sulfuricellaceae,Sulfuriferula
OTU_1020,Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis
OTU_10200,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,
OTU_10201,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10202,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_10203,Bacteria,WOR-1,WOR-1,WOR-1,WOR-1,WOR-1
OTU_10204,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2
OTU_10205,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_10206,Bacteria,,,,,
OTU_10207,Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,Obscuribacteraceae
OTU_10208,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1
OTU_10209,Bacteria,Nitrospirota,Thermodesulfovibrionia,,,
OTU_1021,Bacteria,Bdellovibrionota,,,,
OTU_10210,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Levybacteria,Candidatus_Levybacteria,Candidatus_Levybacteria
OTU_10211,Bacteria,,,,,
OTU_10212,Bacteria,,,,,
OTU_10213,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_10214,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10215,Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria
OTU_10216,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_10217,Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria
OTU_10218,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum
OTU_10219,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_1022,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,,
OTU_10220,Bacteria,Elusimicrobiota,Elusimicrobiota,Elusimicrobiota,Elusimicrobiota,Elusimicrobiota
OTU_10221,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,,
OTU_10222,Bacteria,Patescibacteria,CPR2,CPR2,CPR2,CPR2
OTU_10223,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Ryanbacteria,Candidatus_Ryanbacteria,Candidatus_Ryanbacteria
OTU_10224,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella
OTU_10225,Bacteria,Desulfobacterota,Syntrophorhabdia,Syntrophorhabdales,Syntrophorhabdaceae,Syntrophorhabdus
OTU_10226,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,
OTU_10227,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10228,Archaea,,,,,
OTU_10229,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ethanoligenenaceae,Ethanoligenenaceae
OTU_1023,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus
OTU_10230,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria
OTU_10231,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC_AAA011-D5,SCGC_AAA011-D5
OTU_10232,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Lloydbacteria,Candidatus_Lloydbacteria,Candidatus_Lloydbacteria
OTU_10233,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
OTU_10234,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,,
OTU_10235,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10236,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10237,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,SR-FBR-L83,SR-FBR-L83
OTU_10238,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,,
OTU_10239,Bacteria,Patescibacteria,Microgenomatia,,,
OTU_1024,Bacteria,Firmicutes,,,,
OTU_10240,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria
OTU_10241,Bacteria,,,,,
OTU_10242,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,
OTU_10243,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
OTU_10244,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
OTU_10245,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Giovannonibacteria,Candidatus_Giovannonibacteria,Candidatus_Giovannonibacteria
OTU_10246,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10247,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
