genus_clean,n_otus_gw,mean_gw_prevalence_pct,mean_fold_enrichment_gw,genus_lower,genus_clean_lower,is_nitrifier,mean_n_metal_types
Dorea,9,0.45155993431855496,8.37983151883626,dorea,dorea,0,1.0
Draconibacterium,1,0.6773399014778325,0.5844339820459123,draconibacterium,draconibacterium,0,1.0
Dyadobacter,17,1.3619240799768182,1.5994600415270646,dyadobacter,dyadobacter,0,1.1666666666666667
Dyella,5,0.6527093596059113,1.1400756398543368,dyella,dyella,0,1.2
Dysgonomonas,11,0.16233766233766234,5.412732376257349,dysgonomonas,dysgonomonas,0,1.2857142857142858
Echinicola,5,0.14778325123152708,10.082097844259023,echinicola,echinicola,0,1.5
Ectothiorhodospira,2,0.2463054187192118,1.8253448954983957,ectothiorhodospira,ectothiorhodospira,0,1.2
Edaphobacter,3,2.298850574712644,0.2210237092866456,edaphobacter,edaphobacter,0,1.0
Edwardsiella,1,0.24630541871921183,0.3262571154770988,edwardsiella,edwardsiella,0,2.333333333333333
Empedobacter,1,3.386699507389163,1.4440348419996787,empedobacter,empedobacter,0,1.5
Emticicia,6,2.3296387520525452,1.0274429566799708,emticicia,emticicia,0,1.0
Endozoicomonas,3,0.06157635467980296,0.21458520441106851,endozoicomonas,endozoicomonas,0,1.0
Ensifer,2,0.7697044334975369,1.9403833539720512,ensifer,ensifer,0,1.2222222222222223
Enterocloster,5,0.07389162561576354,0.6084212697873985,enterocloster,enterocloster,0,1.25
Enterococcus,18,0.646551724137931,2.2955517311167832,enterococcus,enterococcus,0,3.333333333333333
Enterovibrio,2,1.1699507389162562,0.737209076628373,enterovibrio,enterovibrio,0,1.0
Epibacterium,2,0.3078817733990148,0.09351829601719663,epibacterium,epibacterium,0,2.0
Epilithonimonas,4,5.603448275862069,1.2499747639615515,epilithonimonas,epilithonimonas,0,1.25
Erwinia,4,0.1539408866995074,1.0828478961047852,erwinia,erwinia,0,1.3333333333333333
Erysipelothrix,4,0.1539408866995074,0.450911907934336,erysipelothrix,erysipelothrix,0,1.0
Erythrobacter,11,4.758172861621137,0.8519437528601731,erythrobacter,erythrobacter,0,1.1428571428571428
Escherichia,18,0.5028735632183907,13.031090369369146,escherichia,escherichia,0,2.5
Eubacterium,6,0.8415435139573071,1.639802213358715,eubacterium,eubacterium,0,1.0
Euzebyella,1,0.06157635467980296,0.20070821388836427,euzebyella,euzebyella,0,1.0
Extensimonas,3,0.4720853858784893,4.8448156601224115,extensimonas,extensimonas,0,1.0
Facklamia,6,0.27709359605911327,0.8999517353949761,facklamia,facklamia,0,1.5
Faecalibacterium,6,0.6055008210180624,2.032846572198951,faecalibacterium,faecalibacterium,0,2.0
Fermentimonas,2,0.18472906403940886,0.4086433515542024,fermentimonas,fermentimonas,0,1.0
Ferrovum,3,0.7183908045977012,1.737602256606485,ferrovum,ferrovum,0,1.6666666666666667
Ferruginibacter,35,1.083743842364532,0.9624582972094414,ferruginibacter,ferruginibacter,0,1.0
Fibrella,4,0.3078817733990148,1.7255602957027156,fibrella,fibrella,0,1.0
Filimonas,7,0.3078817733990148,0.5925793606371534,filimonas,filimonas,0,1.0
Fimbriimonas,5,1.083743842364532,0.4710099718698385,fimbriimonas,fimbriimonas,0,1.0
Finegoldia,2,0.3078817733990148,2.1210322503619947,finegoldia,finegoldia,0,1.0
Fischerella,5,0.6280788177339902,2.966630120515331,fischerella,fischerella,0,1.0
Flavihumibacter,5,4.889162561576354,2.161772588580214,flavihumibacter,flavihumibacter,0,1.0
