genus_lower,biome_H_std,ko_per_mb_total_z,ko_per_mb_tier1_z,ko_per_mb_tier2_z,abr_per_mb_z
aurantimonas,0.6857839877821095,-0.5071596741457371,-0.18419828752949824,-0.12293970779487721,-0.24683081960970227
aureimonas,0.6994782622744694,-0.6648143471200871,0.11340865508323872,-0.27388133433114953,-0.22149942375578655
azoarcus,0.512494614550049,-0.1305782452121673,1.1230740143749114,0.654334387906722,-0.2441679869662887
azonexus,0.39980358915700637,1.3399502993424632,1.6369548407336045,2.1231623629277463,-0.10479686807124433
azospira,0.3103922716142476,1.7256003646550888,2.315866981617582,2.2004111883065334,-0.19541588193168644
azospirillum,0.5752122617372253,-1.121339226447808,-0.3012189000996193,-0.6644313860142984,-0.16260472384856192
azotobacter,0.5438125599297093,0.09150021347792367,0.47800929818631865,0.4425129693052798,-0.24797007000831855
bacillus,0.5691750722224815,-0.395048011486097,-0.24178265391004863,1.3920599860202854,0.9939237454535874
bacteriovorax,0.5012131168146066,0.7176532432019392,0.5956905513709683,0.771655543352972,-0.2582805125838608
bacteroides,0.3854344521658979,-0.7639243990538549,-0.2723554203050146,-1.1568114864150736,2.2631549861953637
barnesiella,0.4012610513464894,0.12080797286297955,0.03556997232776438,-1.1115286339119514,-0.09392825823735686
bartonella,0.5484817054947019,-0.8466100295481458,-1.2559122436664634,-1.2566330926865752,-0.23940039635775215
bdellovibrio,0.5692607351587806,0.2927851728511044,-0.5809991586651216,-0.3799193851799716,-0.2582805125838608
bellilinea,0.2346699159845275,-0.6751133401883516,-0.49873999219092396,-0.8169091374996814,-0.25249193791443064
bergeyella,0.30778803271088495,0.43458027073800837,-0.9461488935161101,0.4666016097168698,-0.2582805125838608
bifidobacterium,0.41371330976272513,-0.679974552814451,-0.9182499802939715,-0.6213945581852098,1.235347542021026
bizionia,0.37926215030101074,0.6688915393371883,0.011691382886291903,0.15924005901207255,-0.2582805125838608
blastococcus,0.5661593743931851,-0.6032510363617062,-0.8955293392399515,0.32048058593579837,-0.24664452942614853
blautia,0.3714024012934115,-1.4488814902625071,-0.9124129117926587,-1.0014139188007096,0.35326875376532824
bordetella,0.6653780632447698,0.21536242534546965,2.9370335292582097,1.4290545301310276,-0.05067559817144972
bosea,0.6232594654785544,-0.7310231473438303,0.16035262324754343,-0.503053767824634,-0.12526342999839465
brachybacterium,0.35653081970836,-0.32910758787388195,-0.73044426945271,0.14936879602108585,-0.14733296128088044
brachymonas,0.543945495864402,4.261716735933349,-0.09187217005163076,1.7933833168118067,-0.2582805125838608
bradyrhizobium,0.6027298007574574,-1.034933383112071,-0.059469831046635085,-0.7122937702615415,0.2128801365634865
brasilonema,0.39480890927186146,-1.1283483007833908,-0.5537344456575478,-0.2034034233226081,-0.25191450584208924
brenneria,0.5371526147510546,0.5860307382196113,0.10867401327750426,0.060592177235438034,-0.22045650567159025
brevibacillus,0.6191047140924225,-0.6454686891438908,-0.47741961444276115,0.4084794740281359,0.25234781356216945
brevibacterium,0.22420678470717265,-0.13343369862917726,-0.21624277411987167,1.0242229262989984,0.3697059135554734
brevilactibacter,0.3279224419792257,-0.41570895399589575,-0.6988927922188829,1.0547855220935705,-0.22324939626502446
brevundimonas,0.6305293355849904,0.7875341986805473,3.312176098776384,2.474215259069908,0.222779898811924
burkholderia,0.6324823020019841,-0.5797946223969327,1.4788505908743024,1.862075326310671,1.3740466986356705
butyricicoccus,0.2058919851635135,-0.9336527075188957,-0.060338074516312255,-0.9494445620121001,-0.022720338130228106
butyricimonas,0.49947192324575823,-1.0834275997105398,-0.9609821959130401,-1.6015771872432032,-0.0393879340071023
butyrivibrio,0.34000536766544986,-1.4409446549876395,-0.8789830011210529,-0.9644470726588067,-0.2249040181365584
bythopirellula,0.4596212608976667,0.6895647076621307,-0.20546405206309493,-0.16265133170157628,-0.2582805125838608
calothrix,0.5213549231067143,-1.6027246678005398,-1.0321354767395912,-1.0439391793315107,-0.23970113342330224
campylobacter,0.3717641056128927,1.5403485659134035,-0.4305005467786516,1.7210616800514251,0.0018222283162747132
capnocytophaga,0.43430901847366343,0.31635139448561667,-0.7523702930324117,-0.7499987643913715,-0.05293148931997494
caproiciproducens,0.43198646422139864,-0.7604991293867123,-0.5441681448449569,-0.6285726420744654,-0.20880220095903132
cardiobacterium,0.4164509164976182,1.550933252132546,0.4710908998644503,-0.3356977611707164,-0.2515931758670353
carnobacterium,0.4222962597360451,-0.1826042392167198,-0.8393708426230212,-0.5202528517529602,-0.14067547700388922
castellaniella,0.6408330692354123,0.6049117853005934,0.7796249585128116,0.7194235360024182,-0.22548579416136422
caulobacter,0.6282655749286732,-0.28124522836312327,1.0047436801041518,0.21367812816239842,-0.08010003195991557
celeribacter,0.4063818534489417,-0.11815788361657795,0.1662662375789983,0.18102094715153008,-0.2373170258391642
cellulomonas,0.5360071346667621,-0.7001919160055041,-1.0485898900389972,-0.518332039182089,0.013494609312063616
cellulophaga,0.3213892146891655,-0.24883599005464607,-0.6243954806299371,-0.0630021232327842,-0.2503809381616781
