genus_lower,mean_B_soil_std,n_otus
halorientalis,0.285826843417588,5
halorubrum,0.6154863842612739,10
halorussus,0.404791721830902,11
haloterrigena,0.34064739335814354,6
helcococcus,0.13802742214373578,11
helicobacter,0.4002994668834214,19
herbinix,0.6010761255989071,9
hoeflea,0.43143199090223705,6
holophaga,0.3854270733521546,7
hydrogenophaga,0.6474363151278605,21
hydrogenovibrio,0.5494483729958348,10
hymenobacter,0.5694127954602323,74
hyphococcus,0.5037418596149271,6
hyphomicrobium,0.6152887960019676,44
hyphomonas,0.5446954869552572,14
idiomarina,0.4724012080596585,6
ilumatobacter,0.5593190394232174,24
immundisolibacter,0.5226635384214798,5
intestinibacter,0.3183838003281547,6
jannaschia,0.535950689402728,6
janthinobacterium,0.6630495309788808,6
jatrophihabitans,0.657867952356415,17
jeotgalibaca,0.15010648361207257,8
jiangella,0.6899278519838207,7
kaistella,0.29802819117204377,6
kaistia,0.5326164391548038,5
kineococcus,0.5771368920206318,7
kineothrix,0.47169726966902426,6
kingella,0.2569243729222643,12
kitasatospora,0.6188579058207049,5
klebsiella,0.519548211020572,23
kocuria,0.3921469511225786,17
kordiimonas,0.6433319841681281,9
kribbella,0.5677036627294211,6
labilithrix,0.61563228275171,19
labrys,0.5704167829981757,7
lachnoclostridium,0.4805607050651348,26
lachnospira,0.37271362941766256,6
lacihabitans,0.3147968929509091,6
lacrimispora,0.4263040086381853,24
lacticaseibacillus,0.30031985959099766,11
lactobacillus,0.362405688210446,62
lactococcus,0.21442998337960795,21
lacunisphaera,0.7085621334696649,8
larkinella,0.5413070104605326,6
lautropia,0.46460628154372763,10
lawsonella,0.5888779952825025,6
leadbetterella,0.34146481691751024,6
lederbergia,0.4888980196336442,8
legionella,0.6015223080026484,129
lentibacillus,0.3990533980370754,13
lentimicrobium,0.3623961855880496,7
leptospirillum,0.3716102095517318,5
leptotrichia,0.4334175307445059,17
leucobacter,0.5291479386129205,17
leuconostoc,0.26933624622720614,15
lewinella,0.5469639437376901,11
lichenibacterium,0.6003389610518867,10
ligilactobacillus,0.34248875165957854,22
limnobacter,0.3735223318139602,6
limosilactobacillus,0.37356021185563504,25
listeria,0.5467946602040787,8
loktanella,0.4798692253139512,5
longibaculum,0.34044578129518793,12
luminiphilus,0.23859729003109126,8
luteimonas,0.6053722280715698,19
luteolibacter,0.5257651221469992,40
lutibacter,0.4211960025080475,9
lutispora,0.43306048123114416,5
lyngbya,0.329927392831415,6
lysinibacillus,0.604339498765706,31
lysobacter,0.6105566107875763,51
macellibacteroides,0.6211204220986676,5
magnetospirillum,0.4046799247481441,12
malaciobacter,0.4898024676537765,7
mangrovibacterium,0.5801447388173122,5
mangroviflexus,0.4934160990398492,5
mangrovimonas,0.5329501305440311,5
maribacter,0.5136777272669578,18
maribellus,0.6336332040457733,6
maricaulis,0.2176144876220027,5
maridesulfovibrio,0.3504229629865326,5
marimicrobium,0.6849279919367273,10
mariniblastus,0.39605106453270567,9
marinifilum,0.4728025808853258,6
mariniflexile,0.7079573322596148,5
marinimicrobium,0.5651487211751884,10
mariniphaga,0.663701891542575,6
marinobacter,0.5500217658285885,28
marinobacterium,0.5705107105859747,16
marinomonas,0.6019998925884007,19
marinoscillum,0.5131439644486703,6
mariprofundus,0.5610428932732567,5
massilia,0.6152114687083514,17
mediterraneibacter,0.3903209873086062,71
megamonas,0.11680981165669457,6
megasphaera,0.2976073920756542,14
meiothermus,0.4278178755847498,9
meniscus,0.4309040870193249,5
mesobacillus,0.5296328760207206,14
mesonia,0.4576076758776529,6
mesorhizobium,0.6671616081680284,25
metabacillus,0.5799752788725834,9
methanobacterium,0.3839775358709839,35
methanobrevibacter,0.4459872493464726,46
methanocella,0.31245916128136625,14
methanocorpusculum,0.3734852022938417,6
methanoculleus,0.6835883101364337,22
methanolinea,0.4198936963380308,13
methanolobus,0.8786909761448739,6
methanomassiliicoccus,0.4963157331224117,6
methanoregula,0.28387878955486845,10
methanosarcina,0.3149472121763959,22
methanosphaera,0.3814628351878365,13
methanospirillum,0.375260957028355,11
methanothrix,0.5643536315619844,17
methylobacillus,0.5246072598390912,19
methylobacter,0.48971348918373153,30
methylobacterium,0.6117575506333053,31
methylocapsa,0.5546145544606671,5
methyloceanibacter,0.7378089663177737,7
methylocystis,0.5868253445237883,7
methylomonas,0.22767640387355437,9
methyloparacoccus,0.3666420112965379,6
methylophaga,0.5721133999697874,19
methylotenera,0.5688003266262962,24
microbacterium,0.5302310753003445,26
microbulbifer,0.6152095180096994,12
micrococcus,0.5824981878867141,15
microcoleus,0.42928129395094655,15
microlunatus,0.5283231970958451,15
micromonospora,0.6688260867640984,11
microvirga,0.5138089597460048,36
mitsuokella,0.32321769993145033,9
mobilitalea,0.4498793104745588,7
moheibacter,0.39812372400913576,8
moraxella,0.20093625728659448,32
morganella,0.6371702034490152,7
mucilaginibacter,0.48687554898162283,59
muricauda,0.28053450764682064,16
mycobacterium,0.5381232664678698,13
mycolicibacterium,0.576643092127974,14
