genus	relab	sample_id	macro_env	env_medium	env_broad	gold_ecosystem_type	gold_specific	lat	lon	n_compounds	pathways
Alteromonas	0.00047370129431394603	nmdc:bsm-11-nv0bq792	soil	soil	terrestrial biome	Soil	Unclassified	31.187671	-84.45585	1	Shikimates and Phenylpropanoids
Bernardetia	0.0004023161845189195	nmdc:bsm-12-syvyxa88	periphyton	epilithon	freshwater river biome			42.471941	-72.329526	1	Shikimates and Phenylpropanoids
Bernardetia	0.0003917698668357566	nmdc:bsm-11-jyywj745	soil			Soil	Bulk soil	65.16098469	-147.4826055	1	Shikimates and Phenylpropanoids
Castellaniella	0.0003764480132022695	nmdc:bsm-11-jyywj745	soil			Soil	Bulk soil	65.16098469	-147.4826055	1	Shikimates and Phenylpropanoids
Bernardetia	0.0003606315017133882	nmdc:bsm-12-mwph2h39	periphyton	epipsammon	freshwater river biome			40.034962	-105.544164	1	Shikimates and Phenylpropanoids
Castellaniella	0.0003085769043345431	nmdc:bsm-11-pgh5ma40	soil	soil	terrestrial biome	Soil	Bulk soil	29.702914	-82.008881	1	Shikimates and Phenylpropanoids
Calidifontibacillus	0.00019561155688147452	nmdc:bsm-11-r6s2q213	soil	soil	terrestrial biome	Soil	Unclassified	40.175366	-112.453933	1	Shikimates and Phenylpropanoids
Dinoroseobacter	0.00019031369002002135	nmdc:bsm-11-zq2aws57	soil			Soil	Agricultural land	1.43492266	103.7112946	1	Shikimates and Phenylpropanoids
Calidifontibacillus	0.00017566676313277425	nmdc:bsm-11-55phes60	soil	soil	terrestrial biome	Soil	Unclassified	31.198433	-84.467178	1	Shikimates and Phenylpropanoids
Calidifontibacillus	0.0001490237426472151	nmdc:bsm-11-eztc1c19	soil	soil	terrestrial biome	Soil	Unclassified	44.932467	-110.634896	1	Shikimates and Phenylpropanoids
Dinoroseobacter	8.474926757974147e-05	nmdc:bsm-12-59hfe214	periphyton	epilithon	freshwater river biome			18.11352	-66.98676	1	Shikimates and Phenylpropanoids
Scandinavium	7.862803639434363e-05	nmdc:bsm-12-2072vp28	periphyton	epilithon	freshwater river biome			68.669753	-149.143018	1	Alkaloids
Scandinavium	7.366232311831464e-05	nmdc:bsm-11-zk18dr96	soil	soil	terrestrial biome	Soil	Unclassified	31.187671	-84.45585	1	Alkaloids
Scandinavium	7.332280721831078e-05	nmdc:bsm-11-k89brw70	soil	soil	terrestrial biome	Soil	Unclassified	47.118581	-99.239944	1	Alkaloids
Dinoroseobacter	7.3083786073819e-05	nmdc:bsm-11-mqj1tx68	soil	soil	terrestrial biome	Soil	Unclassified	40.17372	-112.456712	1	Shikimates and Phenylpropanoids
