compound_id	name	npc_pathway	inchikey	kegg_id	chebi_id	best_tier	was_dark	deep_tier	rescued	kegg_n_rxn	kegg_n_degpw	kegg_deg_maps	new_kegg	kegg_via	analog	analog_kind	analog_tier	analog_pathway	lit_n	lit_screened	lit_top_pmids	lit_top_title	fb_carbon	msd_match	msd_n_rxn	has_kegg	lit_strong
Cc1_58	2-Hydroxyphenylacetic acid	Shikimates and Phenylpropanoids	CCVYRRGZDBSHFU-UHFFFAOYSA-N	C05852	CHEBI:28478	T2_3_reaction	False	T2_kegg_degrad	False	4	1	00643:Styrene degradation							0	0			False	connectivity	17	True	False
Cc1_142	guaiacol	Shikimates and Phenylpropanoids	LHGVFZTZFXWLCP-UHFFFAOYSA-N	C01502	CHEBI:28591	T2_3_reaction	False	T2_kegg_degrad	False	4	1	00627:Aminobenzoate degradation							0	0			False	inchikey	12	True	True
Cc1_129	Cinnamic acid	Shikimates and Phenylpropanoids	WBYWAXJHAXSJNI-VOTSOKGWSA-N	C00423	CHEBI:27386	T2_3_reaction	False	T2_kegg_degrad	False	15	1	01220:Degradation of aromatic compounds							0	0			False	connectivity	45	True	True
Cc1_3	caffeic acid	Shikimates and Phenylpropanoids	QAIPRVGONGVQAS-DUXPYHPUSA-N	C01197	CHEBI:36281	T2_3_reaction	False	T2_kegg_degrad	False	9	1	01220:Degradation of aromatic compounds							0	0			False	connectivity	4	True	True
Cc1_118	ANETHOLE	Shikimates and Phenylpropanoids	RUVINXPYWBROJD-ONEGZZNKSA-N	D02377	CHEBI:2716	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	4	True	True
Cc1_175	Benzylideneacetone	Shikimates and Phenylpropanoids	BWHOZHOGCMHOBV-BQYQJAHWSA-N	D70186	CHEBI:217301	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	1	True	False
Cc1_104	(±)-Dihydroactinidiolide	Terpenoids	IMKHDCBNRDRUEB-LLVKDONJSA-N			T0_dark	True	T0_dark	False	0	0								29	0	41714787;41074279;40863631	Seasonal and spatial shifts in the volatile chemical profile of Cymodocea nodosa across marine and lagoon ecosystems.	False		0	False	False
Cc1_117	Abscisic acid	Terpenoids	JLIDBLDQVAYHNE-YKALOCIXSA-N	C06082	CHEBI:2365	T2_3_reaction	False	T2_3_reaction	False	6	0								0	0			False	connectivity	6	True	True
Cc1_100	(S)-(-)-Perillic acid	Terpenoids	CDSMSBUVCWHORP-MRVPVSSYSA-N	C13419		T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	connectivity	1	True	False
Cc1_126	CARVEOL	Terpenoids	BAVONGHXFVOKBV-UHFFFAOYSA-N	D77822	CHEBI:23046	T3_kegg	False	T3_kegg	False	0	0								0	0			False	inchikey	0	True	True
Cc1_99	(1R)-(-)-Nopol	Terpenoids	ROKSAUSPJGWCSM-UWVGGRQHSA-N		CHEBI:171826	T0_dark	True	T0_dark	False	0	0								1	0	31660828	Terpenes and Phenylpropanoids as Acetyl- and Butyrylcholinesterase Inhibitors: A Comparative Study.	False		0	False	False
Cc1_36	ketopinic acid	Terpenoids	WDODWBQJVMBHCO-UHFFFAOYSA-N			T0_dark	True	T0_dark	False	0	0								3	0	34808389;27501775;12123368	Novel O-acylated amidoximes and substituted 1,2,4-oxadiazoles synthesised from (+)-ketopinic acid possessing potent virus-inhibiting activity against phylogenetically distinct influenza A viruses.	False		0	False	False
Cc1_49	(+)-Nootkatone	Terpenoids	WTOYNNBCKUYIKC-JMSVASOKSA-N	C17914	CHEBI:81377	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	4	True	False
ZJTJUVIJVLLGSP-UHFFFAOYSA-N	lumichrome	Alkaloids	ZJTJUVIJVLLGSP-UHFFFAOYSA-N			T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	1	False	False
GDNYELSKMFYCBB-UHFFFAOYSA-N	2,3-dihydro-1H-indole-7-carboxylic acid	Alkaloids	GDNYELSKMFYCBB-UHFFFAOYSA-N			T0_dark	True	T0_dark	False	0	0								1018620	0	42258980;42258977;42258945	Transformation characteristics of typical antidepressants in UV-advanced oxidation processes.	False		0	False	False
OLNJUISKUQQNIM-UHFFFAOYSA-N	INDOLE-3-CARBOXALDEHYDE	Alkaloids	OLNJUISKUQQNIM-UHFFFAOYSA-N	C08493	CHEBI:28238	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	6	True	False
OVYWMEWYEJLIER-UHFFFAOYSA-N	6-Hydroxyquinoline	Alkaloids	OVYWMEWYEJLIER-UHFFFAOYSA-N		CHEBI:48994	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	2	False	False
QNRXNRGSOJZINA-UHFFFAOYSA-N	(2S)indoline-2-carboxylic acid	Alkaloids	QNRXNRGSOJZINA-UHFFFAOYSA-N		CHEBI:167001	T0_dark	True	T0_dark	False	0	0								1	0	23205571	Design, synthesis and structure-activity relationship of new arginine vasopressin analogues containing proline derivatives in position 2.	False		0	False	False
IPCSVZSSVZVIGE-UHFFFAOYSA-N	Palmitic Acid	Fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	C00249	CHEBI:15756	T2_3_reaction	False	T2_kegg_degrad	False	14	1	00071:Fatty acid degradation							0	0			False	connectivity	206	True	True
POULHZVOKOAJMA-UHFFFAOYSA-N	lauric acid	Fatty acids	POULHZVOKOAJMA-UHFFFAOYSA-N	C02679	CHEBI:30805	T1_measured	False	T1_measured	False	3	0								0	0			True	connectivity	73	True	True
FVMDYYGIDFPZAX-UHFFFAOYSA-N	3-Hydroxyphenylacetic acid	Shikimates and Phenylpropanoids	FVMDYYGIDFPZAX-UHFFFAOYSA-N	C05593	CHEBI:17445	T2_3_reaction	False	T2_kegg_degrad	False	4	1	00643:Styrene degradation							0	0			False	connectivity	7	True	False
KKEYFWRCBNTPAC-UHFFFAOYSA-N	TEREPHTHALIC ACID	Shikimates and Phenylpropanoids	KKEYFWRCBNTPAC-UHFFFAOYSA-N	C06337	CHEBI:15702	T2_3_reaction	False	T2_kegg_degrad	False	3	3	00624:Polycyclic aromatic hydrocarbon degradation;00627:Aminobenzoate degradation;01220:Degradation of aromatic compounds							0	0			False	connectivity	9	True	True
XNGIFLGASWRNHJ-UHFFFAOYSA-N	phthalic acid	Shikimates and Phenylpropanoids	XNGIFLGASWRNHJ-UHFFFAOYSA-N	C01606	CHEBI:29069	T2_3_reaction	False	T2_kegg_degrad	False	7	2	00624:Polycyclic aromatic hydrocarbon degradation;01220:Degradation of aromatic compounds							0	0			False	connectivity	14	True	True
CRDAMVZIKSXKFV-YFVJMOTDSA-N	Farnesol	Terpenoids	CRDAMVZIKSXKFV-YFVJMOTDSA-N	C01126	CHEBI:16619	T2_3_reaction	False	T2_3_reaction	False	8	0								0	0			False	inchikey	14	True	True
DSSYKIVIOFKYAU-XCBNKYQSSA-N	D-camphor	Terpenoids	DSSYKIVIOFKYAU-XCBNKYQSSA-N	C00808	CHEBI:15396	T2_3_reaction	False	T2_kegg_degrad	False	4	1	00907:Pinene, camphor and geraniol degradation							0	0			False	inchikey	14	True	False
FQTLCLSUCSAZDY-SDNWHVSQSA-N	NEROLIDOL	Terpenoids	FQTLCLSUCSAZDY-SDNWHVSQSA-N		CHEBI:7524	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	3	False	True
RGZSQWQPBWRIAQ-UHFFFAOYSA-N	Bisabolol	Terpenoids	RGZSQWQPBWRIAQ-UHFFFAOYSA-N		CHEBI:167422	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	connectivity	1	False	True
VZJHQHUOVIDRCF-DGMCESFYSA-N	(-)-Isolongifolol	Terpenoids	VZJHQHUOVIDRCF-DGMCESFYSA-N			T0_dark	True	T0_dark	False	0	0								5	0	41544781;40572450;20431240	Aromatherapy with Chrysanthemum morifolium cv. Chuju essential oil alleviates allergic rhinitis by modulating the mTOR-PPARγ signaling cascade.	False		0	False	False
NVEQFIOZRFFVFW-UHFFFAOYSA-N	b-Caryophyllene oxide	Terpenoids	NVEQFIOZRFFVFW-UHFFFAOYSA-N		CHEBI:156179	T0_dark	True	T0_dark	False	0	0								2	0	40128654;24929006	β-caryophyllene reduces inflammation to protect against ischemic stroke by suppressing HMGB1 signaling.	False	connectivity	0	False	False
XVULBTBTFGYVRC-HHUCQEJWSA-N	Sclareol	Terpenoids	XVULBTBTFGYVRC-HHUCQEJWSA-N	C09183	CHEBI:9053	T2_3_reaction	False	T2_3_reaction	False	2	0								0	0			False	inchikey	2	True	True
IBRKLUSXDYATLG-LURJTMIESA-N	SALSOLINOL	Alkaloids	IBRKLUSXDYATLG-LURJTMIESA-N	C09642	CHEBI:113	T2_3_reaction	False	T2_3_reaction	False	1	0								0	0			False	connectivity	1	True	False
QWJIWJWEGVAMEB-UHFFFAOYSA-N	1H-pyrrolo[3,2-b]pyridine-5-carboxylic acid	Alkaloids	QWJIWJWEGVAMEB-UHFFFAOYSA-N			T0_dark	True	T0_dark	False	0	0								0	0			False		0	False	False
WJJMNDUMQPNECX-UHFFFAOYSA-N	2,6-Pyridinedicarboxylic acid	Alkaloids	WJJMNDUMQPNECX-UHFFFAOYSA-N		CHEBI:46837	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	connectivity	7	False	False
WVMBPWMAQDVZCM-UHFFFAOYSA-N	N-methylanthranilic acid 	Alkaloids	WVMBPWMAQDVZCM-UHFFFAOYSA-N	C03005	CHEBI:16394	T2_3_reaction	False	T2_3_reaction	False	2	0								0	0			False	connectivity	3	True	False
AFDXODALSZRGIH-QPJJXVBHSA-N	4-Methoxycinnamic acid	Shikimates and Phenylpropanoids	AFDXODALSZRGIH-QPJJXVBHSA-N		CHEBI:48541	T0_dark	True	T0_dark	False	0	0				Cinnamic acid	same_real_scaffold	T2_3_reaction	Shikimates and Phenylpropanoids	58	0	42256347;41910240;41373410	A key SNP in the flavonoid biosynthesis pathway gene CsaV3_6G009030 is highly correlated with cucumber fruit bitterness.	False	connectivity	0	False	False
