genus	env_class	source	n_present	n_class	prevalence	mean_relab	mean_present	max_relab	n_compounds	pathways
Pusillimonas	periphyton	NMDC	426	472	0.902542372881356	0.00011889597294221608	0.00013173450523175115	0.0007378085019327011	2	Shikimates and Phenylpropanoids
Pusillimonas	soil	NMDC	946	2260	0.41858407079646015	6.0343486012185556e-05	0.00014416097081135237	0.004362806673644289	2	Shikimates and Phenylpropanoids
Pusillimonas	freshwater	NMDC	77	723	0.10650069156293222	2.3461419743735284e-05	0.00022029359058078717	0.000557958590987038	2	Shikimates and Phenylpropanoids
Pusillimonas	plant	NMDC	19	119	0.15966386554621848	1.3270569081042596e-05	8.311566950758259e-05	0.00031512001935578304	2	Shikimates and Phenylpropanoids
Pusillimonas	marine	PlanetMicrobe	6	302	0.019867549668874173	4.08281292517008e-06	4.08281292517008e-06	0.000711451	2	Shikimates and Phenylpropanoids
Ramlibacter	periphyton	NMDC	454	472	0.961864406779661	0.0030463498216723736	0.0031671302110778863	0.027308799924495572	2	Shikimates and Phenylpropanoids
Ramlibacter	soil	NMDC	1020	2260	0.45132743362831856	0.0004241642395618147	0.0009398148837350013	0.018668906269729744	2	Shikimates and Phenylpropanoids
Ramlibacter	plant	NMDC	19	119	0.15966386554621848	0.0003157507608121888	0.0019775968703500246	0.007350983517574312	2	Shikimates and Phenylpropanoids
Ramlibacter	freshwater	NMDC	84	723	0.11618257261410789	0.00018183234806733298	0.0015650569958652587	0.008723541120732847	2	Shikimates and Phenylpropanoids
Ramlibacter	marine	PlanetMicrobe	26	302	0.08609271523178808	2.99989555359321e-05	2.99989555359321e-05	0.00504468	2	Shikimates and Phenylpropanoids
Reyranella	plant	NMDC	19	119	0.15966386554621848	0.0012727796553692943	0.007971619946786633	0.04215085410609007	2	Shikimates and Phenylpropanoids
Reyranella	soil	NMDC	1033	2260	0.4570796460176991	0.0010555443776757714	0.0023093226462219197	0.044588027300563174	2	Shikimates and Phenylpropanoids
Reyranella	periphyton	NMDC	440	472	0.9322033898305084	0.0007391403659744928	0.0007928960289544559	0.08406563727185304	2	Shikimates and Phenylpropanoids
Reyranella	freshwater	NMDC	76	723	0.10511756569847856	0.00018331302622658346	0.0017438857626555242	0.005686568747456466	2	Shikimates and Phenylpropanoids
Rhizobacter	periphyton	NMDC	459	472	0.972457627118644	0.009097557108197271	0.009355222124333578	0.09897116673544583	1	Shikimates and Phenylpropanoids
Rhizobacter	plant	NMDC	19	119	0.15966386554621848	0.0008274460950333295	0.005182425542577169	0.026890492612394852	1	Shikimates and Phenylpropanoids
Rhizobacter	soil	NMDC	984	2260	0.4353982300884956	0.00020114273543759038	0.00046197416878958765	0.06573586752985743	1	Shikimates and Phenylpropanoids
Rhizobacter	freshwater	NMDC	83	723	0.11479944674965421	0.00011988146846543968	0.0010442686951869023	0.01284075362737921	1	Shikimates and Phenylpropanoids
Rhizobacter	marine	PlanetMicrobe	13	302	0.04304635761589404	1.188659463156855e-06	1.188659463156855e-06	0.00030892	1	Shikimates and Phenylpropanoids
Rhizobium	periphyton	NMDC	452	472	0.9576271186440678	0.0011691556762131905	0.001220888228258022	0.009835487731145336	2	Alkaloids,Shikimates and Phenylpropanoids
Rhizobium	plant	NMDC	19	119	0.15966386554621848	0.0010081320777001889	0.006314090381385393	0.025960580376724687	2	Alkaloids,Shikimates and Phenylpropanoids
Rhizobium	soil	NMDC	1042	2260	0.46106194690265484	0.0008408603696465337	0.001823747058926263	0.017054073842910755	2	Alkaloids,Shikimates and Phenylpropanoids
Rhizobium	marine	PlanetMicrobe	61	302	0.20198675496688742	0.00015034462087048004	0.00015034462087048004	0.017290100000011834	2	Alkaloids,Shikimates and Phenylpropanoids
Rhizobium	freshwater	NMDC	84	723	0.11618257261410789	0.00012738292903839683	0.0010964030677947728	0.0030947599947313345	2	Alkaloids,Shikimates and Phenylpropanoids
Rhizorhabdus	marine	PlanetMicrobe	51	302	0.16887417218543047	0.00019767976474025455	0.00019767976474025455	0.0413769	1	Shikimates and Phenylpropanoids
Rhizorhabdus	periphyton	NMDC	414	472	0.8771186440677966	0.00014006109315026932	0.00015968317866407516	0.002665006675771046	1	Shikimates and Phenylpropanoids
Rhizorhabdus	soil	NMDC	926	2260	0.4097345132743363	4.4396764020724094e-05	0.00010835495322552533	0.0019257911985541573	1	Shikimates and Phenylpropanoids
Rhizorhabdus	plant	NMDC	19	119	0.15966386554621848	3.1125235890297046e-05	0.00019494226689186042	0.0007906880798501786	1	Shikimates and Phenylpropanoids
Rhizorhabdus	freshwater	NMDC	73	723	0.10096818810511757	1.6042093176212138e-05	0.00015888264885481336	0.0005853813855285572	1	Shikimates and Phenylpropanoids
Rhodanobacter	soil	NMDC	1010	2260	0.4469026548672566	0.0004338689780454245	0.000970835535032336	0.04785048172864879	1	Shikimates and Phenylpropanoids
Rhodanobacter	periphyton	NMDC	441	472	0.934322033898305	0.0002737130815356042	0.000292953683639014	0.0040886732243266355	1	Shikimates and Phenylpropanoids
Rhodanobacter	plant	NMDC	19	119	0.15966386554621848	3.1487202072330947e-05	0.00019720931824249383	0.0007360504189114126	1	Shikimates and Phenylpropanoids
Rhodanobacter	freshwater	NMDC	73	723	0.10096818810511757	2.483403043599912e-05	0.0002459589589757173	0.000738369456999678	1	Shikimates and Phenylpropanoids
Rhodanobacter	marine	PlanetMicrobe	6	302	0.019867549668874173	3.098275389836388e-06	3.098275389836388e-06	0.000535338	1	Shikimates and Phenylpropanoids
Rhodococcus	marine	PlanetMicrobe	77	302	0.25496688741721857	0.0005032194116691689	0.0005032194116691689	0.04298526500000013	2	Shikimates and Phenylpropanoids
Rhodoferax	periphyton	NMDC	457	472	0.9682203389830508	0.004280399465304027	0.004420893977294312	0.06538546350115351	3	Shikimates and Phenylpropanoids
Rhodoferax	freshwater	NMDC	86	723	0.11894882434301521	0.00030407772417970035	0.0025563743556037597	0.03784586547251542	3	Shikimates and Phenylpropanoids
Rhodoferax	soil	NMDC	994	2260	0.4398230088495575	0.00013679940353900378	0.00031103284909270477	0.0032134383292293078	3	Shikimates and Phenylpropanoids
Rhodoferax	plant	NMDC	19	119	0.15966386554621848	0.00011511077705084809	0.0007209569720553117	0.004446784261882217	3	Shikimates and Phenylpropanoids
Rhodoferax	marine	PlanetMicrobe	37	302	0.12251655629139073	8.924836719351158e-05	8.924836719351158e-05	0.016830766	3	Shikimates and Phenylpropanoids
Rhodospirillum	periphyton	NMDC	395	472	0.836864406779661	4.0964908193546236e-05	4.89504725755793e-05	0.0014692861410712762	1	Shikimates and Phenylpropanoids
Rhodospirillum	soil	NMDC	891	2260	0.39424778761061946	3.198231389160781e-05	8.112236744672687e-05	0.0008951340672929592	1	Shikimates and Phenylpropanoids
Rhodospirillum	marine	PlanetMicrobe	36	302	0.11920529801324503	1.928187277460837e-05	1.928187277460837e-05	0.00217106	1	Shikimates and Phenylpropanoids
Rhodospirillum	freshwater	NMDC	65	723	0.08990318118948824	6.148024848786428e-06	6.838495331803981e-05	0.0003212536315280716	1	Shikimates and Phenylpropanoids
Rhodospirillum	plant	NMDC	19	119	0.15966386554621848	3.6324160857185613e-06	2.2750395484237306e-05	9.389117306504304e-05	1	Shikimates and Phenylpropanoids
Roseateles	periphyton	NMDC	454	472	0.961864406779661	0.0027425395518451243	0.0028512746001561643	0.018978998575699763	2	Shikimates and Phenylpropanoids
Roseateles	plant	NMDC	19	119	0.15966386554621848	0.00020441783224320987	0.0012803011598390512	0.007763823251171233	2	Shikimates and Phenylpropanoids
Roseateles	soil	NMDC	985	2260	0.4358407079646018	0.0001281424438309116	0.0002940121046272692	0.01124366016139694	2	Shikimates and Phenylpropanoids
Roseateles	freshwater	NMDC	80	723	0.11065006915629322	8.300131745425139e-05	0.000750124406492797	0.007812424317449321	2	Shikimates and Phenylpropanoids
