orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS04955	MMP_RS04955		DNA topoisomerase I	1	0.383965310544522	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS01775	MMP_RS01775		TIGR00297 family protein	2	0.34718653112434	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS06530	MMP_RS06530		bifunctional hexulose-6-phosphate synthase/ribonuclease regulator	3	0.315677550258427	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS06770	MMP_RS06770		DHH family phosphoesterase	4	0.299849855993689	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS06900	MMP_RS06900		coenzyme F420-reducing hydrogenase  FrhD protein	5	0.291958382443319	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS07410	MMP_RS07410		4-demethylwyosine synthase TYW1	6	0.290016835992682	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS03115	MMP_RS03115		hypothetical protein	7	0.269751860663457	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS04475	MMP_RS04475		nitrogen fixation	8	0.267523160004687	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS07540	MMP_RS07540		CBS domain-containing protein	9	0.259349934379974	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS02960	MMP_RS02960		class I SAM-dependent methyltransferase family protein	10	0.257754864918642	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS08275	MMP_RS08275		hypothetical protein	11	0.255761075559157	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS02780	MMP_RS02780		hypothetical protein	12	0.254261422467335	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS00735	MMP_RS00735		5 10-methenyltetrahydromethanopterin hydrogenase	13	0.253342477202661	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS03790	MMP_RS03790		hypothetical protein	14	0.250469903027894	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS05560	MMP_RS05560		deoxyuridine 5'-triphosphate nucleotidohydrolase	15	0.250054363587591	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS07125	MMP_RS07125		coenzyme F420-reducing hydrogenase  FrhD protein	16	0.249132209412257	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS08660	MMP_RS08660		DHH family phosphoesterase	17	0.248475435671098	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS02475	MMP_RS02475		hypothetical protein	18	0.245473718887979	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS05535	MMP_RS05535		hypothetical protein	19	0.244680854468143	FALSE
Methanococcus_S2	MMP_RS00055	MMP_RS00055		DUF2254 domain-containing protein	MMP_RS04850	MMP_RS04850		UPF0254 family protein	20	0.242448671706519	FALSE
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS06765	MMP_RS06765		flap endonuclease-1	1	0.453665350895146	FALSE
