orgId	locusId	sysName	geneName	desc	set1IT067 CPG	set1IT068 M63_quarter_strength	set1IT071 CPG	set1IT072 M63_quarter_strength	set2IT036 CPG	set2IT037 M63_quarter_strength
RalstoniaUW163	UW163_RS00685	UW163_RS00685		pilus assembly protein PilW	0.018	0.028	-0.025	-0.117	0.120	-0.038
RalstoniaUW163	UW163_RS00690	UW163_RS00690		pilus assembly protein PilX	0.180	0.042	-0.024	-0.155	-0.301	0.013
RalstoniaUW163	UW163_RS00695	UW163_RS00695		pilus assembly protein PilY	0.113	-0.047	0.056	-0.122	0.081	-0.020
RalstoniaUW163	UW163_RS00700	UW163_RS00700		type IV pilin protein	0.288	0.100	0.334	-0.432	0.287	0.014
RalstoniaUW163	UW163_RS00705	UW163_RS00705		general secretion pathway protein GspH	0.133	0.116	-0.244	-0.394	0.413	0.060
RalstoniaUW163	UW163_RS00710	UW163_RS00710		hypothetical protein	0.491	0.911	0.423	0.430	0.174	0.639
RalstoniaUW163	UW163_RS00715	UW163_RS00715		pilus assembly protein PilW	-0.096	-0.076	-0.019	0.057	0.015	0.048
RalstoniaUW163	UW163_RS00725	UW163_RS00725		pilus assembly protein PilY	-0.030	0.037	-0.135	-0.279	0.336	0.275
RalstoniaUW163	UW163_RS00730	UW163_RS00730		type IV pilin protein	0.013	0.121	-0.257	0.063	-0.383	0.061
RalstoniaUW163	UW163_RS00735	UW163_RS00735		pilus assembly protein	0.088	-0.466	0.323	-0.068	-0.384	-0.087
RalstoniaUW163	UW163_RS00765	UW163_RS00765		pyridoxal phosphate-dependent aminotransferase	0.049	-0.074	0.005	0.092	0.173	0.006
RalstoniaUW163	UW163_RS00770	UW163_RS00770		lytic transglycosylase	-0.217	-0.110	-0.324	0.154	0.118	-0.307
RalstoniaUW163	UW163_RS00780	UW163_RS00780		NAD-dependent succinate-semialdehyde dehydrogenase	0.025	0.141	-0.080	0.116	0.172	-0.006
RalstoniaUW163	UW163_RS00785	UW163_RS00785		hypothetical protein	-0.301	0.208	0.100	-0.045	-0.113	0.092
RalstoniaUW163	UW163_RS00790	UW163_RS00790		hypothetical protein	0.061	-0.122	0.057	0.135	0.055	0.005
RalstoniaUW163	UW163_RS00795	UW163_RS00795		DUF4337 domain-containing protein	0.138	0.138	0.282	0.037	0.271	0.287
RalstoniaUW163	UW163_RS00800	UW163_RS00800		carbon-nitrogen hydrolase family protein	0.026	0.310	0.008	0.247	0.419	-0.095
RalstoniaUW163	UW163_RS00805	UW163_RS00805		tRNA-Gly	-0.098	0.226	-0.202	0.396	0.294	0.490
RalstoniaUW163	UW163_RS00810	UW163_RS00810		tRNA (guanosine(46)-N7)-methyltransferase TrmB	0.214	-0.576	0.358	-1.485	0.214	-0.476
RalstoniaUW163	UW163_RS00815	UW163_RS00815		NADH:flavin oxidoreductase/NADH oxidase	0.069	-0.027	-0.461	0.226	-0.120	-0.250
RalstoniaUW163	UW163_RS00825	UW163_RS00825		DUF1439 domain-containing protein	0.050	-0.016	-0.207	0.153	-0.056	0.012
RalstoniaUW163	UW163_RS00835	UW163_RS00835		TetR/AcrR family transcriptional regulator	-0.053	0.133	0.005	0.213	-0.154	-0.114
RalstoniaUW163	UW163_RS00840	UW163_RS00840		protein-L-isoaspartate O-methyltransferase	0.063	-0.153	0.030	-0.112	0.304	-0.521
RalstoniaUW163	UW163_RS00855	UW163_RS00855		META domain-containing protein	-0.287	-0.219	0.262	0.039	0.065	-0.242
