orgId	carbon_source	cpd_id	growth_rate	fba_status	predicted_growth	observed_growth	correct
Keio	Sodium succinate dibasic hexahydrate	cpd00036	18.718551	optimal	True	True	True
Keio	Sodium L-Lactate	cpd00159	18.657777	optimal	True	False	False
Keio	D-Fructose	cpd00082	19.204747	optimal	True	True	True
Keio	D-Glucose	cpd00027	19.265522	optimal	True	True	True
Keio	Sodium D-Lactate	cpd00221	18.657777	optimal	True	True	True
Keio	N-Acetyl-D-Glucosamine	cpd00122	19.630169	optimal	True	True	True
Keio	D-Maltose monohydrate	cpd00179	20.359463	optimal	True	True	True
Keio	Glycerol	cpd00100	18.718551	optimal	True	True	True
Keio	a-Ketoglutaric acid disodium salt hydrate	cpd00024	19.083198	optimal	True	True	True
Keio	D-Xylose	cpd00154	19.083198	optimal	True	True	True
Keio	L-Proline	cpd00129	19.083198	optimal	True	False	False
Keio	D-Trehalose dihydrate	cpd00794	20.359463	optimal	True	True	True
Keio	L-Fucose	cpd00751	19.143973	optimal	True	True	True
Keio	Trisodium citrate dihydrate	cpd00137	19.083198	optimal	True	False	False
Keio	Potassium acetate	cpd00029	18.597002	optimal	True	True	True
Keio	L-Rhamnose monohydrate	cpd00396	19.143973	optimal	True	False	False
Keio	D-Sorbitol	cpd00588	19.265522	optimal	True	True	True
Keio	D-Galactose	cpd00108	19.265522	optimal	True	True	True
Keio	D-Cellobiose	cpd00158	20.359463	optimal	True	False	False
Keio	D-Mannose	cpd00138	19.265522	optimal	True	True	True
Keio	D-Gluconic Acid sodium salt	cpd00222	19.143973	optimal	True	True	True
Keio	D-Ribose	cpd00105	19.022424	optimal	True	True	True
Keio	D-Raffinose pentahydrate	cpd30716	18.232355	optimal	True	False	False
Keio	m-Inositol	cpd00121	18.232355	optimal	True	False	False
Keio	L-Glutamic acid monopotassium salt monohydrate	cpd00023	19.083198	optimal	True	False	False
Keio	Sodium Fumarate dibasic	cpd00106	18.718551	optimal	True	False	False
Keio	Sodium propionate	cpd00141	18.597002	optimal	True	False	False
Keio	D-Glucosamine Hydrochloride	cpd00276	19.265522	optimal	True	True	True
Keio	a-Cyclodextrin	cpd24451	18.232355	optimal	True	False	False
Keio	Ethanol	cpd00363	18.597002	optimal	True	False	False
Keio	D-Glucose-6-Phosphate sodium salt	cpd00079	19.326296	optimal	True	True	True
Keio	D-Galacturonic Acid monohydrate	cpd00280	19.143973	optimal	True	True	True
Keio	L-Alanine	cpd00035	18.657777	optimal	True	False	False
Keio	L-Asparagine	cpd00132	18.741393	optimal	True	False	False
Keio	Sodium butyrate	cpd00211	18.232355	optimal	True	False	False
Keio	L-Leucine	cpd00107	19.148439	optimal	True	False	False
Keio	L-Arabinose	cpd00224	19.083198	optimal	True	False	False
HerbieS	Sodium pyruvate	cpd00020	5.00853	optimal	True	True	True
HerbieS	Sodium D,L-Lactate	cpd00159	5.00853	optimal	True	True	True
HerbieS	L-Glutamine	cpd00053	5.217658	optimal	True	True	True
HerbieS	L-Malic acid disodium salt monohydrate	cpd00130	5.00853	optimal	True	True	True
HerbieS	Sodium succinate dibasic hexahydrate	cpd00036	5.00853	optimal	True	True	True
HerbieS	Sodium L-Lactate	cpd00159	5.00853	optimal	True	True	True
HerbieS	D-Fructose	cpd00082	5.828714	optimal	True	False	False
HerbieS	D-Glucose	cpd00027	5.751192	optimal	True	True	True
HerbieS	Sodium D-Lactate	cpd00221	5.00853	optimal	True	True	True
HerbieS	N-Acetyl-D-Glucosamine	cpd00122	6.063255	optimal	True	False	False
HerbieS	D-Maltose monohydrate	cpd00179	6.876336	optimal	True	False	False
HerbieS	Glycerol	cpd00100	5.00853	optimal	True	True	True
