bacdive_id	compound_name	chebi_id	utilization	genus	species_epithet
148222	L-arabitol		-	Escherichia	coli
148222	urea		-	Escherichia	coli
148222	lysine		-	Escherichia	coli
148222	arginine		-	Escherichia	coli
148222	ornithine		-	Escherichia	coli
148222	D-glucose		+	Escherichia	coli
148222	indole		produced	Escherichia	coli
148278	sorbitol		-	Escherichia	coli
148278	cellobiose		-	Escherichia	coli
148278	myo-inositol		-	Escherichia	coli
148278	L-rhamnose		+	Escherichia	coli
148278	trehalose		+	Escherichia	coli
148278	D-arabitol		-	Escherichia	coli
148278	L-arabinose		+	Escherichia	coli
148278	sucrose		-	Escherichia	coli
148278	D-glucose		+	Escherichia	coli
148278	tryptophan		-	Escherichia	coli
148278	malonate		-	Escherichia	coli
148278	palatinose		-	Escherichia	coli
148278	maltose		+	Escherichia	coli
148278	ribitol		-	Escherichia	coli
148278	D-mannitol		+	Escherichia	coli
148278	D-galacturonic acid		+	Escherichia	coli
148278	Potassium 5-ketogluconate		-	Escherichia	coli
148278	L-arabitol		-	Escherichia	coli
148278	urea		-	Escherichia	coli
148278	lysine		+	Escherichia	coli
148278	ornithine		+	Escherichia	coli
148278	arginine		-	Escherichia	coli
148278	indole		produced	Escherichia	coli
148287	sorbitol		-	Escherichia	coli
148287	cellobiose		-	Escherichia	coli
148287	myo-inositol		-	Escherichia	coli
148287	L-rhamnose		-	Escherichia	coli
148287	trehalose		+	Escherichia	coli
148287	L-arabinose		+	Escherichia	coli
148287	sucrose		-	Escherichia	coli
148287	D-glucose		+	Escherichia	coli
148287	malonate		-	Escherichia	coli
148287	tryptophan		+	Escherichia	coli
148287	palatinose		-	Escherichia	coli
148287	ribitol		+	Escherichia	coli
148287	maltose		+	Escherichia	coli
148287	D-mannitol		+	Escherichia	coli
148287	Potassium 5-ketogluconate		-	Escherichia	coli
148287	D-galacturonic acid		+	Escherichia	coli
148287	L-arabitol		-	Escherichia	coli
148287	urea		-	Escherichia	coli
148287	lysine		+	Escherichia	coli
148287	arginine		-	Escherichia	coli
148287	ornithine		-	Escherichia	coli
148287	L-arabinose		+	Escherichia	coli
148287	amygdalin		-	Escherichia	coli
148287	melibiose		+	Escherichia	coli
148287	sucrose		-	Escherichia	coli
148287	L-rhamnose		-	Escherichia	coli
148287	sorbitol		+	Escherichia	coli
148287	myo-inositol		-	Escherichia	coli
148287	D-mannitol		+	Escherichia	coli
148287	D-glucose		+	Escherichia	coli
148287	gelatin		-	Escherichia	coli
148287	tryptophan		+	Escherichia	coli
148287	urea		-	Escherichia	coli
148287	citrate		-	Escherichia	coli
148287	ornithine		-	Escherichia	coli
148287	lysine		+	Escherichia	coli
148287	arginine		-	Escherichia	coli
148287	D-arabitol		+	Escherichia	coli
148287	indole		produced	Escherichia	coli
148287	acetoin		produced	Escherichia	coli
148287	indole		produced	Escherichia	coli
148287	hydrogen sulfide		produced	Escherichia	coli
148304	tryptophan		-	Bacteroides	ovatus
148304	nitrate		-	Bacteroides	ovatus
148304	L-glutamate		+	Bacteroides	ovatus
148304	raffinose		+	Bacteroides	ovatus
148304	D-mannose		+	Bacteroides	ovatus
148304	arginine		-	Bacteroides	ovatus
148304	urea		-	Bacteroides	ovatus
148304	indole		produced	Bacteroides	ovatus
148343	sorbitol		+	Escherichia	coli
148343	cellobiose		-	Escherichia	coli
148343	L-rhamnose		-	Escherichia	coli
148343	myo-inositol		-	Escherichia	coli
148343	D-arabitol		-	Escherichia	coli
148343	trehalose		+	Escherichia	coli
148343	L-arabinose		-	Escherichia	coli
148343	sucrose		-	Escherichia	coli
148343	D-glucose		-	Escherichia	coli
148343	tryptophan		-	Escherichia	coli
148343	malonate		-	Escherichia	coli
148343	palatinose		-	Escherichia	coli
148343	ribitol		-	Escherichia	coli
148343	maltose		-	Escherichia	coli
148343	D-mannitol		+	Escherichia	coli
148343	D-galacturonic acid		-	Escherichia	coli
148343	Potassium 5-ketogluconate		+	Escherichia	coli
148343	L-arabitol		-	Escherichia	coli
148343	urea		-	Escherichia	coli
148343	lysine		+	Escherichia	coli
148343	arginine		-	Escherichia	coli
148343	ornithine		+	Escherichia	coli
148343	indole		produced	Escherichia	coli
148410	urea		-	Bacteroides	vulgatus
148410	D-tagatose		-	Bacteroides	vulgatus
148410	methyl beta-D-glucopyranoside		-	Bacteroides	vulgatus
148410	melezitose		-	Bacteroides	vulgatus
148410	melibiose		-	Bacteroides	vulgatus
148410	maltose		+	Bacteroides	vulgatus
148410	pullulan		+	Bacteroides	vulgatus
148410	glycogen		-	Bacteroides	vulgatus
148410	hippurate		-	Bacteroides	vulgatus
148410	alpha-cyclodextrin		+	Bacteroides	vulgatus
148410	D-arabitol		-	Bacteroides	vulgatus
148410	L-arabinose		+	Bacteroides	vulgatus
148410	sucrose		-	Bacteroides	vulgatus
148410	trehalose		-	Bacteroides	vulgatus
148410	lactose		+	Bacteroides	vulgatus
148410	sorbitol		-	Bacteroides	vulgatus
148410	D-mannitol		-	Bacteroides	vulgatus
148410	D-ribose		-	Bacteroides	vulgatus
148410	arginine		-	Bacteroides	vulgatus
148410	raffinose		+	Bacteroides	vulgatus
148410	arginine		-	Bacteroides	vulgatus
148410	urea		-	Bacteroides	vulgatus
148410	tryptophan		-	Bacteroides	vulgatus
148410	nitrate		-	Bacteroides	vulgatus
148410	L-glutamate		+	Bacteroides	vulgatus
148410	D-mannose		+	Bacteroides	vulgatus
148410	raffinose		+	Bacteroides	vulgatus
148410	acetoin		produced	Bacteroides	vulgatus
148410	indole		produced	Bacteroides	vulgatus
148449	sorbitol		+	Klebsiella	pneumoniae
148449	cellobiose		+	Klebsiella	pneumoniae
148449	L-rhamnose		+	Klebsiella	pneumoniae
148449	myo-inositol		+	Klebsiella	pneumoniae
148449	D-arabitol		+	Klebsiella	pneumoniae
148449	trehalose		+	Klebsiella	pneumoniae
148449	L-arabinose		+	Klebsiella	pneumoniae
148449	sucrose		+	Klebsiella	pneumoniae
148449	tryptophan		-	Klebsiella	pneumoniae
