orgId	carbon_source	cpd_id	observed_growth	status	growth_after_gf	n_gapfilled_rxns	gapfilled_rxns
Phaeo	D-Maltose monohydrate	cpd00179	False	already_grows	3.0264	0	
Phaeo	Glycerol	cpd00100	True	already_grows	0.7566	0	
Phaeo	a-Ketoglutaric acid disodium salt hydrate	cpd00024	True	already_grows	0.7756	0	
Phaeo	D-Xylose	cpd00154	True	already_grows	1.261	0	
Phaeo	L-Proline	cpd00129	True	already_grows	0.7756	0	
Phaeo	D-Trehalose dihydrate	cpd00794	True	gapfilled	3.0264	1	rxn00007_c0
Phaeo	L-Fucose	cpd00751	False	not_observed	0.0	0	
Phaeo	Trisodium citrate dihydrate	cpd00137	True	gapfilled	0.7756	2	rxn00068_c0;rxn08474_c0
Phaeo	Potassium acetate	cpd00029	True	gapfilled	0.5044	1	rxn11285_c0
Phaeo	L-Rhamnose monohydrate	cpd00396	False	not_observed	0.0	0	
Phaeo	D-Sorbitol	cpd00588	True	already_grows	1.5132	0	
Phaeo	D-Galactose	cpd00108	False	not_observed	0.0	0	
Phaeo	D-Cellobiose	cpd00158	True	already_grows	3.0264	0	
Phaeo	D-Mannose	cpd00138	True	gapfilled	37.3941	4	DM_cpd15302_c0;rxn10348_c0;rxn09399_c0;rxn05740_c0
Phaeo	D-Gluconic Acid sodium salt	cpd00222	False	already_grows	37.3941	0	
Phaeo	D-Ribose	cpd00105	False	already_grows	37.7058	0	
Phaeo	D-Raffinose pentahydrate	cpd30716	False	already_grows	37.3941	0	
Phaeo	m-Inositol	cpd00121	True	already_grows	37.3941	0	
Phaeo	L-Glutamic acid monopotassium salt monohydrate	cpd00023	True	already_grows	37.55	0	
Phaeo	Sodium Fumarate dibasic	cpd00106	True	already_grows	37.55	0	
Phaeo	Sodium propionate	cpd00141	True	already_grows	37.3941	0	
Phaeo	D-Glucosamine Hydrochloride	cpd00276	False	already_grows	37.3941	0	
Phaeo	a-Cyclodextrin	cpd24451	False	already_grows	37.3941	0	
Phaeo	Ethanol	cpd00363	False	already_grows	37.3941	0	
Phaeo	D-Glucose-6-Phosphate sodium salt	cpd00079	False	already_grows	37.7058	0	
Phaeo	D-Galacturonic Acid monohydrate	cpd00280	False	already_grows	37.3941	0	
Phaeo	L-Alanine	cpd00035	False	already_grows	37.3941	0	
Phaeo	L-Asparagine	cpd00132	True	already_grows	37.6293	0	
Phaeo	Sodium butyrate	cpd00211	True	already_grows	37.3941	0	
Phaeo	L-Leucine	cpd00107	False	already_grows	37.3941	0	
Phaeo	L-Arabinose	cpd00224	False	already_grows	37.3941	0	
Keio	Sodium pyruvate	cpd00020	True	gapfilled	18.6578	8	EX_cpd15378_e0;rxn03436_c0;rxn12376_c0;rxn09310_c0;rxn02185_c0;rxn05464_c0;rxn15949_c0;rxn15947_c0
Keio	Sodium D,L-Lactate	cpd00159	True	already_grows	18.6578	0	
Keio	L-Glutamine	cpd00053	False	already_grows	19.0224	0	
Keio	L-Malic acid disodium salt monohydrate	cpd00130	True	already_grows	18.7186	0	
Keio	Sodium succinate dibasic hexahydrate	cpd00036	True	already_grows	18.7186	0	
Keio	Sodium L-Lactate	cpd00159	False	already_grows	18.6578	0	
Keio	D-Fructose	cpd00082	True	already_grows	19.2047	0	
Keio	D-Glucose	cpd00027	True	already_grows	19.2655	0	
Keio	Sodium D-Lactate	cpd00221	True	already_grows	18.6578	0	
Keio	N-Acetyl-D-Glucosamine	cpd00122	True	already_grows	19.6302	0	
Keio	D-Maltose monohydrate	cpd00179	True	already_grows	20.3595	0	
Keio	Glycerol	cpd00100	True	already_grows	18.7186	0	
Keio	a-Ketoglutaric acid disodium salt hydrate	cpd00024	True	already_grows	19.0832	0	
Keio	D-Xylose	cpd00154	True	already_grows	19.0832	0	
Keio	L-Proline	cpd00129	False	already_grows	19.0832	0	
