orgId	locusId	sysName	geneName	desc	set1IT091 1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	set2IT075 1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT079 1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT083 1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT091 MOKA	set2IT092 Xantho_MME_glucose_casamino	set2IT093 Xantho_MME_glucose_dropout_LTH	set2IT094 Clovis xylem sap	set3IT072 MOKA	set3IT073 Xantho_MME_glucose_casamino	set3IT074 Xantho_MME_glucose_dropout_LTH	set3IT075 Clovis xylem sap	set3IT081 Xantho_MME_glucose_casamino	set3IT082 Xantho_MME_glucose_dropout_LTH	set3IT083 Clovis xylem sap	set3IT088 MOKA	set3IT089 Xantho_MME_glucose_casamino	set3IT090 Xantho_MME_glucose_dropout_LTH	set3IT091 Clovis xylem sap
Xantho	Xcc-8004.3388.1	Xcc-8004.3388.1		FIG01212492: hypothetical protein	-0.110	0.047	0.024	-0.097	0.039	0.051	-0.029	-0.064	0.033	-0.015	0.071	0.096	-0.010	-0.063	0.016	0.044	0.053	0.010	0.109
Xantho	Xcc-8004.3389.1	Xcc-8004.3389.1		Nucleoprotein/polynucleotide-associated enzyme	0.557	0.661	0.388	-0.310	0.071	0.319	0.226	-0.120	-0.271	0.242	0.543	0.153	0.343	0.139	0.427	-0.044	-0.018	0.159	-0.418
Xantho	Xcc-8004.339.1	Xcc-8004.339.1		Organic hydroperoxide resistance transcriptional regulator	-0.415	-0.206	-0.135	-0.081	-0.140	0.008	0.053	0.034	-0.215	0.163	0.189	0.149	0.350	0.164	-0.385	0.168	0.053	0.004	-0.016
Xantho	Xcc-8004.3392.1	Xcc-8004.3392.1		FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	-0.036	-0.201	-0.182	-0.524	-0.104	-0.110	-0.255	-0.607	-0.097	-0.368	-0.397	-0.530	-0.530	-0.666	0.112	-0.031	-0.486	-0.323	-0.566
Xantho	Xcc-8004.3393.1	Xcc-8004.3393.1		Glutathione peroxidase family protein	-0.184	0.100	0.027	0.147	-0.148	-0.185	-0.034	-0.185	-0.034	-0.147	-0.438	0.253	-0.035	-0.373	-0.234	-0.108	-0.011	-0.110	0.068
Xantho	Xcc-8004.3394.1	Xcc-8004.3394.1		hypothetical protein	-1.805	-1.395	-1.078	-3.781	-1.041	-0.569	-0.154	0.152	0.142	-0.537	-0.397	-0.891	-0.369	-0.451	-0.391	-1.271	0.011	-0.502	-1.106
Xantho	Xcc-8004.3395.1	Xcc-8004.3395.1		Transcriptional regulator, GntR family	-2.336	-3.505	-2.925	-2.689	-0.567	-2.322	-0.751	-0.925	-0.707	-0.782	-0.203	-1.128	-1.567	-0.016	0.013	-0.548	-0.155	-0.595	-1.053
Xantho	Xcc-8004.3396.1	Xcc-8004.3396.1		ABC-type multidrug transport system, ATPase component	-0.310	-0.237	-0.186	-1.126	0.054	0.029	0.159	0.161	0.076	0.283	0.227	-0.351	-0.277	0.159	0.231	-0.017	-0.251	-0.220	-0.225
Xantho	Xcc-8004.3398.1	Xcc-8004.3398.1		ABC transporter, permease protein, putative	0.031	-0.028	-0.281	-1.372	0.223	0.143	0.228	0.064	-0.189	-0.086	-0.122	-0.290	-0.038	-0.301	-0.123	0.053	-0.061	-0.015	-0.002
Xantho	Xcc-8004.3399.1	Xcc-8004.3399.1		FIG01211096: hypothetical protein	-0.165	0.220	0.104	-0.341	0.024	-0.125	-0.007	-0.238	0.092	-0.044	0.053	-0.111	-0.054	-0.147	-0.274	0.081	-0.016	0.084	-0.041
Xantho	Xcc-8004.34.1	Xcc-8004.34.1		Cellulase	0.113	-0.177	0.224	-0.001	-0.126	-0.017	-0.056	0.152	0.044	0.052	0.050	-0.071	0.149	0.087	-0.090	-0.014	-0.060	-0.045	0.003
Xantho	Xcc-8004.340.1	Xcc-8004.340.1		Organic hydroperoxide resistance protein	-0.244	-0.298	-0.358	-0.439	0.270	-0.063	-0.315	0.485	0.107	-0.966	-1.185	-1.114	-0.435	-0.088	0.660	-0.276	-0.204	0.243	0.114
Xantho	Xcc-8004.3401.1	Xcc-8004.3401.1		FIG01209914: hypothetical protein	-0.156	0.326	-1.500	1.066	0.134	-0.370	-0.334	0.068	1.256	0.882	0.669	1.103	-0.550	0.077	-0.038	0.585	-0.675	0.212	0.143
Xantho	Xcc-8004.3402.1	Xcc-8004.3402.1		FIG01210246: hypothetical protein	-0.625	0.446	0.470	-0.713	0.063	0.592	0.649	-0.406	0.300	0.188	0.623	1.004	0.083	0.621	-0.097	-0.449	-0.018	-0.197	-0.541
Xantho	Xcc-8004.3403.1	Xcc-8004.3403.1		Fumarate hydratase class II (EC 4.2.1.2)	-0.209	-0.049	-0.366	0.684	-0.285	0.061	-0.162	-0.154	-0.170	-0.456	-0.278	-0.221	0.271	-0.104	0.197	0.125	-0.056	-0.145	-0.123
Xantho	Xcc-8004.3404.1	Xcc-8004.3404.1		FIG01211089: hypothetical protein	-0.275	-0.202	0.279	-0.245	0.091	0.049	0.041	0.017	0.035	-0.168	-0.106	-0.039	-0.145	-0.189	0.049	-0.014	0.075	-0.094	0.009
Xantho	Xcc-8004.3408.1	Xcc-8004.3408.1		FIG01210869: hypothetical protein	0.179	0.121	0.095	-0.917	0.416	0.189	0.028	-0.142	0.030	0.149	0.113	0.070	-0.283	-0.038	0.059	0.072	0.122	0.243	-0.385
Xantho	Xcc-8004.3409.1	Xcc-8004.3409.1		putative; ORF located using Glimmer/Genemark	0.526	0.044	0.056	-0.380	0.010	0.163	-0.482	-0.771	0.123	0.077	0.062	-0.346	-0.501	-0.530	-0.269	-0.401	-0.001	0.083	0.028
Xantho	Xcc-8004.3410.1	Xcc-8004.3410.1		FIG002776: hypothetical protein	-0.215	-0.313	-0.546	-0.590	-0.203	-0.075	0.077	0.102	0.146	-0.045	-0.081	-0.012	-0.095	-0.078	0.014	-0.209	0.125	0.007	-0.070
Xantho	Xcc-8004.3411.1	Xcc-8004.3411.1		FIG01212231: hypothetical protein	-0.242	-0.165	-0.138	-0.051	-0.071	-0.145	-0.082	0.028	-0.086	0.065	0.219	0.161	0.018	0.068	-0.118	-0.003	0.082	-0.124	-0.017
Xantho	Xcc-8004.3415.1	Xcc-8004.3415.1		Lysine decarboxylase family	0.176	-0.430	-0.046	0.159	0.126	-0.069	0.283	0.232	0.110	0.373	0.252	0.159	0.058	0.091	0.136	-0.058	-0.128	0.284	0.149
Xantho	Xcc-8004.3416.1	Xcc-8004.3416.1		FIG000605: protein co-occurring with transport systems (COG1739)	0.149	0.332	0.196	-0.499	-0.007	-0.011	0.042	-0.443	0.085	0.194	0.428	0.111	-0.107	0.221	0.110	-0.306	-0.253	-0.158	0.062
Xantho	Xcc-8004.3417.1	Xcc-8004.3417.1		ABC-type multidrug transport system, ATPase and permease components	-0.074	-0.054	-0.044	-0.227	0.093	0.057	0.046	-0.072	0.062	-0.026	0.191	0.196	0.046	-0.047	-0.091	0.074	0.123	-0.091	-0.012
Xantho	Xcc-8004.3418.1	Xcc-8004.3418.1		Hydrogen peroxide-inducible genes activator	0.230	0.045	0.169	0.741	-0.077	-0.170	-0.124	-0.198	0.086	0.127	-0.028	-0.105	0.171	-0.316	0.024	-0.205	0.000	-0.010	0.220
