orgId	locusId	sysName	geneName	desc	set1IT091 1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	set2IT075 1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT079 1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT083 1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT091 MOKA	set2IT092 Xantho_MME_glucose_casamino	set2IT093 Xantho_MME_glucose_dropout_LTH	set2IT094 Clovis xylem sap	set3IT072 MOKA	set3IT073 Xantho_MME_glucose_casamino	set3IT074 Xantho_MME_glucose_dropout_LTH	set3IT075 Clovis xylem sap	set3IT081 Xantho_MME_glucose_casamino	set3IT082 Xantho_MME_glucose_dropout_LTH	set3IT083 Clovis xylem sap	set3IT088 MOKA	set3IT089 Xantho_MME_glucose_casamino	set3IT090 Xantho_MME_glucose_dropout_LTH	set3IT091 Clovis xylem sap
Xantho	Xcc-8004.4988.1	Xcc-8004.4988.1		FIG01212472: hypothetical protein	-0.329	0.607	-1.221	0.786	-0.432	0.929	-1.474	-0.625	-0.278	-0.561	-1.327	-0.660	-0.948	-0.557	-0.906	-0.611	-0.360	-0.645	-1.042
Xantho	Xcc-8004.4989.1	Xcc-8004.4989.1		FIG01212334: hypothetical protein	-1.042	0.699	-0.990	-0.422	0.021	-0.499	0.517	-1.052	1.309	0.340	1.242	1.339	-0.834	0.330	0.742	0.600	0.747	0.985	0.774
Xantho	Xcc-8004.4993.1	Xcc-8004.4993.1		hypothetical protein	0.687	-0.955	-1.397	0.687	1.462	-0.136	-0.967	-0.357	0.760	0.077	-0.453	-1.261	-1.895	-0.169	-2.941	-1.517	0.072	-0.702	-2.006
Xantho	Xcc-8004.4994.1	Xcc-8004.4994.1		putative; ORF located using Glimmer/Genemark	0.573	-1.182	1.199	-0.663	1.528	0.994	0.208	0.008	-1.253	0.873	1.090	0.627	0.921	2.009	1.375	-0.233	0.352	0.829	2.114
Xantho	Xcc-8004.4996.1	Xcc-8004.4996.1		FIG01213627: hypothetical protein	0.962	0.801	-0.793	0.336	-0.158	-1.087	0.290	1.039	1.068	-0.705	0.140	0.612	-0.701	-0.183	0.384	0.512	0.574	-1.160	0.638
Xantho	Xcc-8004.4999.1	Xcc-8004.4999.1		FIG01211448: hypothetical protein	0.194	0.067	-0.795	1.923	-0.714	0.130	-2.335	0.145	0.800	-0.236	0.484	1.459	-0.533	-0.690	-0.518	0.911	0.001	1.197	1.688
Xantho	Xcc-8004.50.1	Xcc-8004.50.1		FMN-dependent NADH-azoreductase	-0.821	-1.581	-1.967	-1.968	-1.068	-0.073	-0.173	-0.878	0.882	1.850	0.063	1.637	-0.623	-0.835	-1.660	0.599	0.440	-0.911	-0.551
Xantho	Xcc-8004.500.1	Xcc-8004.500.1		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	0.251	2.666	1.405	1.108	-1.397	1.168	1.409	0.062	-0.799	-0.564	1.513	-0.037	0.519	-0.057	-0.435	-0.339	0.340	3.034	1.337
Xantho	Xcc-8004.5004.1	Xcc-8004.5004.1		Inner membrane protein	0.019	-0.196	-0.587	-1.763	0.002	-1.151	-0.141	-0.653	-0.207	0.233	-0.609	-0.037	-1.044	-0.433	1.878	-1.041	-0.379	-1.294	-0.819
Xantho	Xcc-8004.5005.1	Xcc-8004.5005.1		FIG01209725: hypothetical protein	0.274	0.286	1.063	1.169	0.550	0.641	0.086	0.456	-0.173	0.649	1.281	1.666	-0.503	1.104	0.111	1.182	1.704	0.315	2.644
Xantho	Xcc-8004.5006.1	Xcc-8004.5006.1		FIG01210483: hypothetical protein	1.101	-1.187	1.465	0.395	1.169	1.761	1.330	0.163	0.226	1.049	0.936	1.475	-0.226	0.369	0.069	0.678	-0.429	-0.373	0.414
Xantho	Xcc-8004.501.1	Xcc-8004.501.1		hypothetical protein	-0.007	0.641	0.410	-0.339	-0.253	-0.194	0.553	-0.107	-0.269	0.814	0.362	-1.443	0.949	-0.904	0.772	-0.172	0.161	0.562	-0.448
Xantho	Xcc-8004.5010.1	Xcc-8004.5010.1		tRNA dihydrouridine synthase A	2.692	1.064	0.204	0.591	-1.583	-0.605	1.016	-0.152	-1.162	-2.799	-0.655	-2.506	-1.795	-1.208	0.424	0.356	-2.296	0.166	0.464
Xantho	Xcc-8004.5011.1	Xcc-8004.5011.1		hypothetical protein	2.350	1.193	-0.067	0.010	0.176	1.015	0.063	-0.216	0.618	1.396	1.049	1.460	-1.134	-0.007	-0.010	-1.086	-0.810	-0.295	-0.522
Xantho	Xcc-8004.5012.1	Xcc-8004.5012.1		FIG01211480: hypothetical protein	-0.293	0.819	-0.777	1.803	-0.463	0.556	-0.241	0.407	-2.376	-1.285	-1.831	-1.836	-1.877	-2.256	-0.401	0.679	-0.711	0.201	0.575
