ko_id,description,kegg_l1_code,kegg_l1_name,kegg_l2_code,kegg_l2_name,broad_category,simplified_category,in_mgnify,in_spire,in_nb15,in_nb15b,in_cme_pangenome,in_cme_levinsb
K00126,fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00127,"fdoI, fdsG; formate dehydrogenase subunit gamma",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00128,ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,True,False
K00129,ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00130,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]",09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,True,False
K00131,gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00132,E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00133,asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00135,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00137,prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19],09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00138,aldB; aldehyde dehydrogenase [EC:1.2.1.-],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00140,"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00141,xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28],09100,Metabolism,09111,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation,Metabolism,True,True,True,True,True,False
K00145,argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00146,"feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]",09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00147,proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00148,fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],09100,Metabolism,09102,Energy metabolism,Energy metabolism,Metabolism,True,True,True,True,False,False
K00150,"gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00151,"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]",09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00153,E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306],09190,Not Included in Pathway or Brite,09191,Unclassified: metabolism,Unclassified: metabolism,Metabolism,True,True,True,True,False,False
K00154,E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68],09190,Not Included in Pathway or Brite,09191,Unclassified: metabolism,Unclassified: metabolism,Metabolism,True,True,True,True,False,False
K00156,poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00158,"spxB, poxL; pyruvate oxidase [EC:1.2.3.3]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,True,False
K00161,"PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,True,False
K00162,"PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00163,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00164,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
