orgId	locusId	sysName	geneName	desc	set1IT006 KB	set1IT008 KB with Dimethyl Sulfoxide 0.42 vol%	set1IT012 KB with Acriflavine 1.25 ug/ml	set1IT014 KB with Ampicillin 0.775 ug/ml	set1IT016 KB with Berberine 15.6 ug/ml	set1IT018 KB with Carbenicillin 3.1 ug/ml	set1IT020 KB with Chloramphenicol 1.55 ug/ml	set1IT022 KB with Erythromycin 6.25 ug/ml	set1IT030 KB with Nalidixic 0.775 ug/ml	set1IT034 KB with Nitrofurantoin 31.25 ug/ml	set1IT038 KB with Phloretin 125 ug/ml	set1IT046 KB with Trimethoprim 15.6 ug/ml	set3IT010 KB with Acridine orange 3.125 ug/ml	set3IT020 KB with Mitomycin C 0.05 ug/ml	set4IT014 KB	set4IT016 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT018 KB with Rifampicin 0.1 mg/ml	set4IT020 KB with capsaicin 0.25 mg/ml	set4IT022 KB with capsaicin 0.125 mg/ml	set4IT026 KB with Flavone 0.125 mg/ml	set4IT028 KB with Rotenone 0.25 mg/ml	set4IT030 KB with Rotenone 0.125 mg/ml	set4IT032 KB with Nitrofurantoin 0.0625 mg/ml
SyringaeB728a_mexBdelta	Psyr_0074	Psyr_0074		diguanylate cyclase/phosphodiesterase	-1.417	-0.531	0.841	-0.521	-2.789	-1.121	-0.353	0.837	-1.987	0.422	-0.841	-0.823	-0.801	0.234	0.847	1.719	1.559	1.098	0.913	0.851	1.083	0.469	-0.281
SyringaeB728a_mexBdelta	Psyr_0076	Psyr_0076		Xanthine phosphoribosyltransferase	-1.564	-0.697	-0.495	-2.055	-2.977	-1.568	-1.956	-1.415	-0.981	-2.108	-2.572	-2.271	-1.076	-1.508	0.589	1.209	-0.201	0.734	1.351	0.423	-0.298	0.544	0.860
SyringaeB728a_mexBdelta	Psyr_0077	Psyr_0077		sigma54 specific transcriptional regulator, Fis family	0.615	-0.071	-0.584	0.065	0.871	2.099	-0.312	0.466	0.391	-0.421	0.387	0.301	0.698	0.516	-0.345	-0.267	-0.403	0.115	-0.114	-0.889	-1.124	-0.297	-0.239
SyringaeB728a_mexBdelta	Psyr_0078	Psyr_0078		Beta-lactamase-like protein	0.298	0.260	0.682	-0.049	0.172	-0.234	1.586	0.193	1.186	0.922	-1.720	-0.317	-0.569	0.212	0.994	-0.632	-0.031	0.973	0.591	0.843	0.922	0.148	-0.240
SyringaeB728a_mexBdelta	Psyr_0079	Psyr_0079		conserved hypothetical protein	-1.177	-0.388	-0.229	-1.322	-0.525	1.417	0.215	-0.455	-0.974	0.778	0.603	-0.143	0.590	0.351	0.200	0.781	-0.621	-0.052	0.276	0.233	0.416	0.207	0.241
SyringaeB728a_mexBdelta	Psyr_0080	Psyr_0080		Protein of unknown function DUF81	-0.606	-0.336	-0.322	-0.605	0.151	0.351	0.090	0.511	0.201	-0.520	-0.541	1.300	0.035	-0.021	0.886	0.040	0.835	-0.104	0.330	1.453	0.550	0.549	0.476
SyringaeB728a_mexBdelta	Psyr_0081	Psyr_0081		ABC transporter	0.884	-0.566	0.539	-0.495	-0.837	1.575	0.165	-0.247	0.708	0.401	0.667	-0.386	-0.047	-0.645	-0.884	-0.146	1.379	0.850	0.732	-0.641	-0.522	-0.571	0.546
SyringaeB728a_mexBdelta	Psyr_0082	Psyr_0082		Binding-protein-dependent transport systems inner membrane component	1.314	0.995	0.187	-0.024	0.513	1.474	0.053	0.334	0.484	-0.001	-0.847	0.177	1.475	0.349	-0.806	0.486	-1.913	0.991	0.993	-0.546	-0.834	-0.048	-1.122
SyringaeB728a_mexBdelta	Psyr_0083	Psyr_0083		Binding-protein-dependent transport systems inner membrane component	0.685	-0.950	1.857	0.179	0.345	3.267	-0.693	1.206	-0.767	-0.361	-0.325	0.353	1.638	0.822	0.094	1.130	1.077	-0.180	-0.424	-0.190	0.652	0.686	0.429
SyringaeB728a_mexBdelta	Psyr_0084	Psyr_0084		extracellular solute-binding protein, family 1	-0.257	0.131	0.446	-0.663	-0.530	0.727	-1.373	-0.516	-0.094	0.150	0.024	0.090	-0.292	-1.150	0.183	-0.168	-0.417	-0.939	1.146	0.456	-1.405	-0.708	0.118
