orgId	locusId	sysName	geneName	desc	set1IT023 D-Glucose 20 mM (C)	set1IT024 D-Glucose 20 mM (C)	set1IT031 (+)-Arabinogalactan 5 mg/ml (C)	set1IT032 (+)-Arabinogalactan 5 mg/ml (C)	set1IT035 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT036 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT037 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT038 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT041 D-Maltose 20 mM (C)	set1IT042 D-Maltose 20 mM (C)	set1IT043 D-Raffinose 20 mM (C)	set1IT044 D-Raffinose 20 mM (C)	set1IT049 D-Glucose 20 mM (C)	set1IT050 D-Glucose 20 mM (C)	set1IT067 L-Fucose 20 mM (C)	set1IT068 L-Fucose 20 mM (C)	set1IT071 D-Glucosamine Hydrochloride 20 mM (C)	set1IT072 D-Glucosamine Hydrochloride 20 mM (C)	set1IT077 D-Maltose 20 mM (C)	set1IT078 D-Maltose 20 mM (C)	set1IT085 D-Raffinose 20 mM (C)	set1IT086 D-Raffinose 20 mM (C)
Bvulgatus_CL09T03C04	HMPREF1058_RS01645	HMPREF1058_RS01645		RNA methyltransferase	2.112	0.563	-0.222	2.554	0.280	2.064	1.114	0.289	1.609	1.289	1.039	0.612	0.339	2.065	1.371	2.900	0.836	1.797	4.747	2.381	2.108	1.504
Bvulgatus_CL09T03C04	HMPREF1058_RS01650	HMPREF1058_RS01650		hypothetical protein	-6.392	-6.564	-4.481	-3.664	-5.547	-5.155	-5.438	-6.425	-6.617	-4.609	-6.153	-7.239	-6.329	-4.916	-4.904	-3.918	0.054	-1.613	-5.104	-3.979	-5.389	-5.703
Bvulgatus_CL09T03C04	HMPREF1058_RS01655	HMPREF1058_RS01655		DUF4296 domain-containing protein	-4.880	-3.483	-4.403	-5.375	-6.833	-7.904	-1.310	-2.210	-0.568	-1.222	-1.558	-2.800	-7.453	-2.704	-3.912	-4.561	-0.567	-3.621	-3.164	-4.957	-3.757	-3.551
Bvulgatus_CL09T03C04	HMPREF1058_RS01665	HMPREF1058_RS01665		TraR/DksA C4-type zinc finger protein	0.392	2.044	-1.797	-1.489	-3.222	-3.197	2.039	1.756	0.449	-0.599	-0.833	0.380	6.762	1.804	-0.762	-2.902	-1.497	-4.253	-0.601	-2.149	2.545	-0.856
Bvulgatus_CL09T03C04	HMPREF1058_RS01675	HMPREF1058_RS01675		AraC family transcriptional regulator	-0.036	0.596	-0.488	-1.859	-1.187	-0.351	1.128	0.699	0.831	-0.056	-0.440	-0.096	2.007	-0.699	1.136	-1.076	-1.739	-1.933	-0.922	-0.458	0.184	0.031
Bvulgatus_CL09T03C04	HMPREF1058_RS01680	HMPREF1058_RS01680		M48 family metallopeptidase	-0.243	-0.031	-1.404	-1.360	0.138	1.569	0.538	-0.847	-0.531	3.478	0.653	0.750	0.000	0.907	1.677	0.047	0.261	-0.310	1.498	1.302	0.027	-0.535
Bvulgatus_CL09T03C04	HMPREF1058_RS01685	HMPREF1058_RS01685		bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	-0.152	3.686	-1.979	-1.986	-0.924	1.117	0.108	1.217	-0.510	-0.947	-0.593	0.026	0.577	-0.406	-0.732	0.763	-2.002	-0.689	-0.326	-2.352	-1.082	-1.557
Bvulgatus_CL09T03C04	HMPREF1058_RS01690	HMPREF1058_RS01690		sugar kinase	-1.488	-1.132	-5.445	-5.348	-0.716	-0.579	-0.485	0.039	-1.255	-2.813	-0.905	-2.552	-2.025	-0.934	0.052	1.979	-0.528	-1.696	-0.808	-2.078	-0.212	-1.489
Bvulgatus_CL09T03C04	HMPREF1058_RS01695	HMPREF1058_RS01695		LacI family DNA-binding transcriptional regulator	-0.482	-0.353	-2.386	-2.407	-4.088	-2.515	0.058	0.811	-4.769	-3.874	-0.319	0.329	-0.602	-0.613	-0.726	-0.962	-4.624	-5.696	-2.619	-2.117	-3.084	-0.708
Bvulgatus_CL09T03C04	HMPREF1058_RS01700	HMPREF1058_RS01700		altronate dehydratase	-0.577	-1.092	-2.841	-3.112	-0.162	-0.199	1.625	0.458	-0.743	1.070	-1.207	0.376	0.198	-1.383	0.445	1.462	0.258	0.190	-0.417	0.080	0.630	2.285
