sample_id	phb_score	matched_abundance	total_abundance	pct_matched
nmdc:bsm-11-a1mb8028	0.0	0.0	477.6720156087032	0.0
nmdc:bsm-11-ad739z23	0.0	0.0	907.2354184182338	0.0
nmdc:bsm-11-aesqd647	0.0	0.0	558.0996898462487	0.0
nmdc:bsm-11-af8ap759	0.0	0.0	356.54394343554014	0.0
nmdc:bsm-11-ahfq0n74	0.0	0.0	437.5470170501817	0.0
nmdc:bsm-11-ahpvvb55	0.0	0.0	638.6293996777584	0.0
nmdc:bsm-11-anbvsb66	0.0	0.0	1258.5767604021896	0.0
nmdc:bsm-11-arjq1c41	0.0	0.0	2001.6371945678968	0.0
nmdc:bsm-11-at9sda86	0.0	0.0	445.1686262090322	0.0
nmdc:bsm-11-b5sgas28	0.0	0.0	268.5917161049995	0.0
nmdc:bsm-11-b7pv2a25	0.0	0.0	429.8927828079025	0.0
nmdc:bsm-11-bd18tk15	0.0	0.0	2636.238019112388	0.0
nmdc:bsm-11-bgar5122	0.0	0.0	747.8999698175553	0.0
nmdc:bsm-11-c52npq37	0.0	0.0	525.6425273397515	0.0
nmdc:bsm-11-c6kr7990	0.0	0.0	311.56395469305716	0.0
nmdc:bsm-11-cd09p052	0.0	0.0	455.57081914567345	0.0
nmdc:bsm-11-ce1sg012	0.0	0.0	314.5377663855727	0.0
nmdc:bsm-11-ck98jg55	0.0	0.0	228.92308405743267	0.0
nmdc:bsm-11-cp8crw45	0.0	0.0	523.9966728555039	0.0
nmdc:bsm-11-cr68f527	0.0	0.0	325.9707625306934	0.0
nmdc:bsm-11-ctzkss91	0.0	0.0	807.4934500320726	0.0
nmdc:bsm-11-cv5vxb38	0.0	0.0	286.6957995084115	0.0
nmdc:bsm-11-cz68sy30	0.0	0.0	434.0251835055391	0.0
nmdc:bsm-11-d1h1d248	0.0	0.0	1361.8649508631488	0.0
nmdc:bsm-11-d8cgz835	0.0	0.0	558.3873456462246	0.0
nmdc:bsm-11-dbr4yn11	0.0	0.0	698.7789799055483	0.0
nmdc:bsm-11-dqnfvd06	0.0	0.0	351.4033666678474	0.0
nmdc:bsm-11-dz264p50	0.0	0.0	470.621934732394	0.0
nmdc:bsm-11-e1wey408	0.0	0.0	442.7820610229432	0.0
nmdc:bsm-11-e90czr72	0.0	0.0	1351.8910130078687	0.0
nmdc:bsm-11-e9z5qp65	0.0	0.0	2132.891387745855	0.0
nmdc:bsm-11-epzqzg45	0.0	0.0	537.1652964971672	0.0
nmdc:bsm-11-exzatp62	0.0	0.0	698.5185556692071	0.0
nmdc:bsm-11-fgjpsy56	0.0	0.0	1031.4723920854271	0.0
nmdc:bsm-11-fr4c9n11	0.0	0.0	508.4036460998562	0.0
nmdc:bsm-11-frjk4h28	0.0	0.0	601.8636817352791	0.0
nmdc:bsm-11-g3r2dm95	0.0	0.0	946.0047345135208	0.0
nmdc:bsm-11-g4rxzh95	0.0	0.0	247.77301997607776	0.0
nmdc:bsm-11-gwx12029	0.0	0.0	445.4179996693507	0.0
nmdc:bsm-11-h2k7nv93	0.0	0.0	223.03147435957393	0.0
nmdc:bsm-11-h3e54f51	0.0	0.0	413.4990182326148	0.0
nmdc:bsm-11-h49t7j41	0.0	0.0	880.0692725936744	0.0
nmdc:bsm-11-h96d6881	0.0	0.0	439.20065116547113	0.0
