genus,n_habitats,count_breadth_raw,count_breadth_std,weighted_breadth,shannon_breadth_std,cooccurrence_mean,cooccurrence_max,genus_lower_clean,mean_levins_B_std,gtdb_genus_lower,kingdom,count_breadth_ses,shannon_breadth_ses
mycoplasma,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,mycoplasma,0.1204306205530421,mycoplasma,Bacteria,,
myroides,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,myroides,0.227293968441058,,Bacteria,,
nannocystis,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nannocystis,0.4388854312861249,nannocystis,Bacteria,,
natronobacillus,2,809,0.9331026528258363,0.48805109188298307,0.9825446275838123,1.5040369088811996,2,natronobacillus,0.2621483640830324,,Bacteria,,
natronomonas,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,natronomonas,0.0491845427093923,natronomonas,Archaea,,
necropsobacter,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,necropsobacter,0.1015781210834707,necropsobacter,Bacteria,,
neisseria,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,neisseria,0.1195360804717098,neisseria,Bacteria,,
neorickettsia,2,749,0.8638985005767013,0.4857587894971073,0.9718890883941397,1.4382929642445212,2,neorickettsia,0.1547319346108911,neorickettsia,Bacteria,,
neptunomonas,2,785,0.9054209919261822,0.4647558386411889,0.9777451966543141,1.433679354094579,2,neptunomonas,0.0647475382747681,neptunomonas,Bacteria,,
nesterenkonia,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,nesterenkonia,0.2316000953812377,nesterenkonia,Bacteria,,
nevskia,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nevskia,0.3892325766727226,nevskia,Bacteria,0.0,1.0
niabella,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,niabella,0.3157455760138121,niabella,Bacteria,,
niastella,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,niastella,0.4595472315453532,niastella,Bacteria,,
nitratireductor,3,810,0.9342560553633218,0.5699588477366254,0.9779814439339557,2.050749711649366,3,nitratireductor,0.2721164641637604,nitratireductor,Bacteria,,
nitriliruptor,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nitriliruptor,0.2105165250823278,nitriliruptor,Bacteria,,
nitrosopumilus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nitrosopumilus,0.0271676662816425,nitrosopumilus,Archaea,,
nitrospina,3,827,0.9538638985005767,0.5894800483675937,0.9813914120752875,2.121107266435986,3,nitrospina,0.3258089764810475,nitrospina,Bacteria,,
nitrospira,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nitrospira,0.4236685320020158,,Bacteria,,
nocardia,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nocardia,0.4622578458033106,nocardia,Bacteria,,
nocardioides,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nocardioides,0.3916372147727358,nocardioides,Bacteria,,
nocardiopsis,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,nocardiopsis,0.2105163313963832,nocardiopsis,Bacteria,,
nodularia,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nodularia,0.2922952748567264,nodularia,Bacteria,,
nonomuraea,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nonomuraea,0.3606127261635745,nonomuraea,Bacteria,,
nostoc,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,nostoc,0.2245883990106711,nostoc,Bacteria,,
novispirillum,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,novispirillum,0.1990008999708365,novispirillum,Bacteria,,
novosphingobium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,novosphingobium,0.4489700042625262,novosphingobium,Bacteria,,
oceanicaulis,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,oceanicaulis,0.1217587296145015,oceanicaulis,Bacteria,,
oceanimonas,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,oceanimonas,0.2122153746677459,oceanimonas,Bacteria,,
oceaniovalibus,2,717,0.8269896193771626,0.46931659693165967,0.9652768922293549,1.3679354094579008,2,oceaniovalibus,0.1046008114927717,,Bacteria,,
oceanobacillus,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,oceanobacillus,0.3157481764670918,oceanobacillus,Bacteria,,
