response,ko,gene,predictor,n,lambda,beta,SE,t,p,ko_metals,resp_metal,metal_match,fdr_q
Hg_AR_mg_kg_0_01_sd,K15726,czcA,ko_freq_K15726_z,1466,0.752166621713971,0.0027490392349688,0.0033495989569967,0.820706977241712,0.411946898114553,"Co,Ni,Zn,Cd",Hg,False,0.6494757955262895
Hg_AR_mg_kg_0_01_sd,K17686,copA,ko_freq_K17686_z,1466,0.755343932695821,0.002166342809642,0.0027620921668572,0.784312281695835,0.432983863684193,Cu,Hg,False,0.6494757955262895
Hg_AR_mg_kg_0_01_sd,K19594,gesB,ko_freq_K19594_z,1466,0.75616536905726,-0.0014105532885821,0.0022917651060737,-0.6154877237828,0.538328404986504,"Cu,Au",Hg,False,0.6921365206969338
Hg_AR_mg_kg_0_01_sd,K19595,gesA,ko_freq_K19595_z,1466,0.756376559881204,-0.0022603591733654,0.0024718747200344,-0.914431121870919,0.360641035832361,"Cu,Au",Hg,False,0.6494757955262895
Hg_MMI_ME_mg_kg_0_001_sd,K03325,ACR3,ko_freq_K03325_z,1055,0.305135315139846,-0.0016691541275856,0.0006828656212013,-2.44433762040792,0.0146751539937119,"As,Tl",Hg,False,0.06603819297170356
Hg_MMI_ME_mg_kg_0_001_sd,K03446,emrB,ko_freq_K03446_z,1055,0.284396629168145,-0.0009374957522743,0.0006417265766301,-1.46089594293779,0.144342595727837,"Cu,Tl",Hg,False,0.31442697440323203
Hg_MMI_ME_mg_kg_0_001_sd,K07665,cusR,ko_freq_K07665_z,1055,0.293826758459339,0.000191641704659,0.0005756229272254,0.332929241687412,0.739254030779063,"Cu,Ni",Hg,False,0.831660784626446
Hg_MMI_ME_mg_kg_0_001_sd,K07785,nrsD,ko_freq_K07785_z,1055,0.29383350124049,-7.86628701728965e-05,0.0004363880732274,-0.180258982769912,0.856983971965876,Ni,Hg,False,0.856983971965876
Hg_MMI_ME_mg_kg_0_001_sd,K07787,cusA,ko_freq_K07787_z,1055,0.272523448681179,0.0024665286463255,0.0007847400652755,3.14311547921213,0.0017183705136495,"Cu,Ag",Hg,False,0.0154653346228455
Hg_MMI_ME_mg_kg_0_001_sd,K15726,czcA,ko_freq_K15726_z,1055,0.294684665582555,-0.0008157051927307,0.0007107953257771,-1.14759504339583,0.2513966843421,"Co,Ni,Zn,Cd",Hg,False,0.37709502651315
Hg_MMI_ME_mg_kg_0_001_sd,K17686,copA,ko_freq_K17686_z,1055,0.299342481006877,-0.0008975165784334,0.0006607982678451,-1.35823082793525,0.17468165244624,Cu,Hg,False,0.31442697440323203
Hg_MMI_ME_mg_kg_0_001_sd,K19594,gesB,ko_freq_K19594_z,1055,0.292952236453229,-0.0011433858251534,0.0007194532919085,-1.58924260686918,0.112306095328423,"Cu,Au",Hg,False,0.31442697440323203
Hg_MMI_ME_mg_kg_0_001_sd,K19595,gesA,ko_freq_K19595_z,1055,0.292579884150083,-0.000776248928294,0.0007762166388962,-1.00004159843553,0.317520342164071,"Cu,Au",Hg,False,0.4082404399252341
Ni_ICP_MS_mg_kg_0_5_sd,K03325,ACR3,ko_freq_K03325_z,1481,0.274465903643365,-0.143883674156267,0.081819123079019,-1.75855800871036,0.0788595436957677,"As,Tl",Ni,False,0.6189763299018174
Ni_ICP_MS_mg_kg_0_5_sd,K03446,emrB,ko_freq_K03446_z,1481,0.272521320697261,0.0781801910783139,0.0787071052654434,0.993305379668678,0.320723744614023,"Cu,Tl",Ni,False,0.6189763299018174
Ni_ICP_MS_mg_kg_0_5_sd,K07665,cusR,ko_freq_K07665_z,1481,0.275578096847272,0.0359044628856423,0.0713854758469201,0.502965938934641,0.6150631587932,"Cu,Ni",Ni,True,0.69194605364235
Ni_ICP_MS_mg_kg_0_5_sd,K07785,nrsD,ko_freq_K07785_z,1481,0.276560272457418,0.0144146675396015,0.0610507500190538,0.236109589728263,0.813380346908218,Ni,Ni,True,0.813380346908218
Ni_ICP_MS_mg_kg_0_5_sd,K07787,cusA,ko_freq_K07787_z,1481,0.266993246985589,0.09322100816651,0.0958849397032817,0.972217414486411,0.331101478147536,"Cu,Ag",Ni,False,0.6189763299018174
