genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,median_soil_moisture,median_cmmi_nearest_km,ko_per_mb_primary,mean_genome_mb,ko_per_mb_z,genome_mb_z,mean_levins_B_std
tabrizicola,Proteobacteria,Bacteria,8434,63.0,60.0,353.89898681640625,17.65,12.58978668757307,3.415466923076923,0.966650445988085,-0.23918060014976153,0.1131720422667886
thermoanaerobaculum,Acidobacteria,Bacteria,3980,64.0,64.0,371.6130065917969,34.31,5.590995143222326,2.5040265,-0.8316085482365935,-0.7930834568976003,0.1904313687283694
wenxinia,Proteobacteria,Bacteria,1292,79.0,67.0,192.9320068359375,40.14,8.1396015074542,4.177108666666666,-0.17677345446707612,0.22368622790747833,0.4716134067901192
acidothermus,Actinobacteria,Bacteria,19117,79.0,63.0,248.1009979248047,31.06,7.732568658102545,2.19849325,-0.28135586382349226,-0.9787628888402067,0.6100101558853356
alcanivorax,Proteobacteria,Bacteria,8742,82.0,69.0,181.5829925537109,47.54,13.067264850807476,3.5202470084745765,1.089332968555172,-0.17550338421488668,0.1729655386880221
blastococcus,Actinobacteria,Bacteria,21048,98.0,66.0,248.1009979248047,17.65,6.727636567177951,4.459218285714285,-0.5395616068633506,0.3951305921798018,0.3829855511309066
bordetella,Proteobacteria,Bacteria,2499,101.0,65.0,277.4840087890625,25.2,13.68364881650087,4.16555560321489,1.2477057395085676,0.2166651712502316,0.2960708447689271
crossiella,Actinobacteria,Bacteria,2292,126.0,70.0,192.9320068359375,35.45,3.209025544796016,9.9718745,-1.4436282415216881,3.7452958339773783,0.2423005817501391
dietzia,Actinobacteria,Bacteria,9702,79.0,59.0,309.7279968261719,17.65,13.81347180615256,3.5472617375,1.2810622636054636,-0.15908592542922567,0.1762396739684411
dolosigranulum,Firmicutes,Bacteria,803,79.0,59.0,277.4840087890625,51.22,12.979965197614858,1.926045225806452,1.066902326700574,-1.14433568448894,0.2079001024317492
edwardsiella,Proteobacteria,Bacteria,1471,79.0,59.0,277.4840087890625,21.64,10.925096637351873,3.8443595873015872,0.5389274831827536,0.021467123977110474,0.2755942073603751
filifactor,Firmicutes,Bacteria,94,99.0,61.0,233.7469940185547,64.77,7.523192929058441,1.860912,-0.33515254937127376,-1.183918611611705,0.1144553872612212
haemophilus,Proteobacteria,Bacteria,1434,79.0,59.0,277.4840087890625,64.77,20.38391117284727,1.8642153450226244,2.9692610922594946,-1.181911094500846,0.1146422288794734
ketogulonicigenium,Proteobacteria,Bacteria,1018,57.0,60.0,416.53900146484375,17.65,9.744122486762924,3.181405,0.2354897575717339,-0.3814252982843084,0.3290580311734318
neisseria,Proteobacteria,Bacteria,1896,79.0,59.0,277.4840087890625,64.77,20.88448119019456,2.154709977719144,3.097876801161491,-1.0053709687323225,0.1195360804717098
oceanisphaera,Proteobacteria,Bacteria,930,122.0,55.0,356.5710144042969,52.59,11.376209318236324,2.98869325,0.6548356982894126,-0.49854056566900556,0.1032413750220169
rivicola,Proteobacteria,Bacteria,1958,69.0,61.0,280.3710021972656,53.45,6.785838660442876,3.684143,-0.5246072483811587,-0.07590010174363072,0.1074171158162477
roseburia,Firmicutes,Bacteria,4627,57.0,57.0,335.697998046875,53.45,7.717489464104833,3.368971233576642,-0.28523028929540545,-0.26743707702811076,0.1178798646869575
saccharospirillum,Proteobacteria,Bacteria,746,61.0,69.0,347.3320007324219,39.31,5.67151630824259,3.7027135,-0.8109195609584944,-0.06461439097110376,0.1803257873413186
telmatospirillum,Proteobacteria,Bacteria,7378,83.0,56.0,457.7330017089844,40.63,3.8997295050122087,6.154273,-1.2661598027298602,1.4252534886573802,0.2962304340507981
vannielia,Proteobacteria,Bacteria,2543,61.0,69.0,347.3320007324219,53.45,7.750309151220587,4.257894666666667,-0.2767976481502092,0.27278169816780357,0.0842091653401154
aeromonas,Proteobacteria,Bacteria,5331,79.0,59.0,277.4840087890625,31.51,11.896951288536997,4.707088281848929,0.7886343585051648,0.5457667670573204,0.1644945576698541
caminicella,Firmicutes,Bacteria,226,98.0,61.0,314.4989929199219,40.63,7.269192536073873,2.4762035,-0.40041502909033133,-0.8099921201443637,0.1724265228058833
geminicoccus,Proteobacteria,Bacteria,1952,80.0,59.0,286.6839904785156,17.65,6.39355586400516,5.6306695,-0.6253998012816855,1.1070478581960135,0.3733987866426746
halorhodospira,Proteobacteria,Bacteria,646,57.0,65.0,353.89898681640625,33.34,11.902938676853466,2.7724246,0.7901727490721332,-0.629971891323396,0.1770635903633798
lacimicrobium,Proteobacteria,Bacteria,29,148.0,81.0,109.13999938964844,14.33,5.561458167986162,4.315415,-0.839197734318796,0.30773809920920436,0.1961494407048046
lewinella,Bacteroidetes,Bacteria,5366,57.0,70.0,335.7959899902344,30.88,3.0982454544866376,5.4869765,-1.4720919116449485,1.0197223883359283,0.071698489429352
macrococcus,Firmicutes,Bacteria,1514,122.0,55.0,356.5710144042969,34.31,15.278334286997104,2.029017,1.6574418306761878,-1.0817574199682036,0.0883508987411244
metabacillus,Firmicutes,Bacteria,3812,92.0,66.0,182.1959991455078,17.65,7.204557333788092,5.413240285714285,-0.41702230094825027,0.9749112315071059,0.3360929857246137
methylovorus,Proteobacteria,Bacteria,11565,87.0,68.0,248.1009979248047,40.51,6.778136127793172,2.9506636666666664,-0.5265863255586779,-0.5216519993029795,0.3972052465762758
nannocystis,Proteobacteria,Bacteria,26587,80.0,63.0,283.8729858398437,17.65,2.530713431720171,10.27378275,-1.6179127377094282,3.9287722718406433,0.4388854312861249
nitratiruptor,Proteobacteria,Bacteria,92,83.0,61.0,356.0469970703125,49.73,9.331632211342807,1.928923,0.12950512535287972,-1.1425867963482317,0.1181472426550937
ochrobactrum,Proteobacteria,Bacteria,2838,80.0,64.0,248.1009979248047,36.93,9.940775428605296,4.828597159722222,0.28601746927279625,0.6196104466551929,0.4490823481707068
paracnuella,Bacteroidetes,Bacteria,471,92.0,80.0,62.44300079345703,35.84,3.067017397145016,4.890745,-1.4801156018250143,0.657379087807138,0.2964073253894973
propionibacterium,Actinobacteria,Bacteria,622,57.0,56.0,309.7279968261719,53.45,10.91302829267148,2.6573742156862745,0.53582666081515,-0.6998905990390082,0.3005470105489847
proteiniphilum,Bacteroidetes,Bacteria,5700,107.0,63.0,280.3710021972656,53.45,8.96794704031176,3.0107225074626864,0.036060403399328415,-0.485152890148292,0.2255195592590325
pseudoalteromonas,Proteobacteria,Bacteria,8323,65.0,55.0,457.7330017089844,28.67,9.889508315843427,4.651394036072144,0.27284497427165916,0.5119201205194878,0.0536242390424967
pseudofulvimonas,Proteobacteria,Bacteria,2732,107.0,70.0,152.25900268554688,64.77,6.265603488688023,3.511234,-0.6582756925392523,-0.18098079229945116,0.3301198532741041
singulisphaera,Planctomycetes,Bacteria,50898,76.0,63.0,295.1090087890625,35.07,2.976849299621781,9.7418435,-1.503283257460388,3.6055008185111737,0.449287259699033
sporolactobacillus,Firmicutes,Bacteria,99,122.0,65.0,245.48699951171875,43.99,11.416677545985165,3.1532816666666665,0.6652335439844206,-0.3985164808566336,0.3420426404047709
