genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,ko_per_mb_tier1_z,ko_per_mb_tier2_z,genome_mb_z,mean_levins_B_std
cellulomonas,Actinobacteria,Bacteria,4716,91.0,66.0,-1.054396058737202,-0.622423920567756,-0.3827296262457676,0.1913922159508244
coxiella,Proteobacteria,Bacteria,5878,61.0,69.0,-1.0000980943636186,-0.0419813403418215,-1.338596632869234,0.1343128282852252
thalassospira,Proteobacteria,Bacteria,9443,163.0,83.0,1.121310555445186,0.9419698348424989,-0.01949074765172204,0.1405152224824356
aminobacter,Proteobacteria,Bacteria,3077,91.0,66.0,0.4456635330786828,-0.7720402624240188,0.9420269816507149,0.2059612518628912
cupriavidus,Proteobacteria,Bacteria,7071,91.0,60.0,1.5841659925792055,1.3759427304307412,1.2440704991939409,0.1855009199382944
fluviicola,Bacteroidetes,Bacteria,32739,91.0,70.0,-0.4960498645238664,-0.976025887668735,-0.31960143045714257,0.2752230783946946
planococcus,Firmicutes,Bacteria,4103,80.0,57.0,-0.0392414604306706,1.4140875090170046,-0.4689002950287821,0.0881098634531867
smithella,Proteobacteria,Bacteria,66,153.0,70.0,-0.2250051019486195,-1.154603376329135,-0.8801772668072219,0.1944057861243607
burkholderia,Proteobacteria,Bacteria,57256,80.0,63.0,1.5205580339499634,2.031325578168497,1.5462345329914469,0.0872429128480546
comamonas,Proteobacteria,Bacteria,13673,80.0,59.0,3.663414844335296,1.087506182590287,0.47460381702172766,0.1791959693502677
hydrogenophaga,Proteobacteria,Bacteria,30247,63.0,59.0,1.445919295672362,1.2065172130163389,0.11608340537008295,0.0800282146754361
sterolibacterium,Proteobacteria,Bacteria,4541,91.0,61.0,0.9302420673565528,0.1579997785017711,-0.918565330486273,0.0185704154321953
