genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,median_soil_moisture,env_gradient_breadth,ko_per_mb_primary,mean_genome_mb,ko_per_mb_z,genome_mb_z,mean_levins_B_std
geofilum,Bacteroidetes,Bacteria,608,63.0,66.0,223.9250030517578,0.5884844271571347,7.096141721304001,2.818433,-0.4430651989890772,-0.6119475079446578,0.2228025284558068
haloactinopolyspora,Actinobacteria,Bacteria,526,126.0,70.0,192.9320068359375,1.1173802029436526,3.792363408099477,5.537444,-1.2874670697372954,1.035514316482214,0.3619277862819525
hydrogenobacter,Aquificae,Bacteria,707,79.0,61.0,335.0920104980469,0.36093153693254476,15.110259564038792,1.654505,1.6052369137026483,-1.317177073540943,0.1237806472662348
kaistia,Proteobacteria,Bacteria,7196,80.0,57.0,558.260986328125,1.186019814190413,6.1795900884782125,5.178337,-0.6773236267722486,0.8179296603758355,0.3519557071958934
kerstersia,Proteobacteria,Bacteria,2988,81.0,65.0,283.8729858398437,0.12482878252416955,9.1296872067722,3.833647222222222,0.07668202657927464,0.003175665417395313,0.5031514466997647
kineococcus,Actinobacteria,Bacteria,17478,99.0,66.0,248.1009979248047,0.40134624821314313,4.337780039849739,4.841186,-1.1480658204626735,0.6136482501250702,0.410547249247016
marinilactibacillus,Firmicutes,Bacteria,73,63.0,65.0,560.7440185546875,1.1114534371695155,10.940455917451656,2.559308333333333,0.5394904664430834,-0.7689523880649194,0.1339765270649861
methylovirgula,Proteobacteria,Bacteria,8566,62.0,58.0,295.1090087890625,0.6191317064539285,6.978883718446342,3.295656,-0.4730347876196075,-0.3227958001220469,0.4369321780645275
novosphingobium,Proteobacteria,Bacteria,55569,79.0,63.0,277.4840087890625,0.19012573047872824,8.463956388901686,4.371478100775193,-0.09346993118914704,0.32904997795750107,0.4489700042625262
pelosinus,Firmicutes,Bacteria,8553,80.0,57.0,558.260986328125,1.186019814190413,5.063873295657683,5.1344096666666665,-0.9624860250231915,0.7913138781242959,0.6549004721939029
psychroflexus,Bacteroidetes,Bacteria,34,156.0,81.0,148.3489990234375,2.181917455432301,7.884708103870408,2.7902110909090907,-0.24151810184067113,-0.629047298213884,0.1349319738581857
reinekea,Proteobacteria,Bacteria,5341,63.0,67.0,353.89898681640625,0.6104628378782718,8.388092521950993,3.099632,-0.11285972829488071,-0.4415676832337567,0.0630748183169263
rhodobium,Proteobacteria,Bacteria,707,101.0,65.0,162.90899658203125,0.62604584174365,7.378338479724423,5.150211,-0.37093945442053233,0.8008879818854466,0.3787869379769167
ruminobacter,Proteobacteria,Bacteria,517,99.0,61.0,233.7469940185547,0.51116624068529,6.959916612010851,2.442558,-0.4778825281876709,-0.8396919757884623,0.2249960362634488
saccharopolyspora,Actinobacteria,Bacteria,4394,90.0,63.0,262.1969909667969,0.21115104042580027,5.6230683971105,7.469231571428572,-0.8195631818370219,2.2059936844696444,0.3185551656770693
shimwellia,Proteobacteria,Bacteria,153,91.0,64.0,213.19000244140625,0.31783127710214476,11.394882061455387,4.12465875,0.6556357551811343,0.17950094783884546,0.3233798784500552
thermosipho,Thermotogae,Bacteria,49,99.0,81.0,189.96600341796875,1.2952726769902443,10.581387367466382,1.8901113157894736,0.447717312620203,-1.1744220751768244,0.0577542624474705
winogradskyella,Bacteroidetes,Bacteria,10577,77.0,79.0,178.0070037841797,1.1620831980687605,7.7409781201177985,3.487931315789474,-0.2782535773046997,-0.20629526277858665,0.049956426792804
acinetobacter,Proteobacteria,Bacteria,34616,91.0,62.0,280.3710021972656,0.22046797097363688,16.95406023088738,3.8928728045780656,2.076487882979586,0.03906073022982237,0.2569934734607408
acuticoccus,Proteobacteria,Bacteria,1920,79.0,69.0,347.3320007324219,0.4731512579267516,7.126323609335199,6.174291599999999,-0.4353511091500597,1.4213833361286494,0.2772545318797952
anaerovibrio,Firmicutes,Bacteria,790,99.0,61.0,233.7469940185547,0.51116624068529,11.16988271652855,2.148634914893617,0.5981289100595972,-1.0177813847796495,0.0782265219736035
arthrobacter,Actinobacteria,Bacteria,26384,91.0,63.0,291.7300109863281,0.1392461101930632,9.31972602197083,4.50657024691358,0.125253424492729,0.41090295815614264,0.3488958137948422
geobacter,Proteobacteria,Bacteria,30916,76.0,62.0,385.8169860839844,0.49946698580030047,10.989146741991608,3.548956157894737,0.5519351947002675,-0.16932001784206435,0.1870235955227984
geodermatophilus,Actinobacteria,Bacteria,28948,71.0,63.0,353.89898681640625,0.4260555295737281,5.6713214037087605,5.46609825,-0.807230354032581,0.9922855838805058,0.4031428440500597
kitasatospora,Actinobacteria,Bacteria,1775,76.0,58.0,365.4580078125,0.6342076688979047,3.4405919831594494,8.719429722222221,-1.3773751752866088,2.96349474879105,0.4074000448537305
leptospirillum,Nitrospirae,Bacteria,506,68.0,63.0,361.5750122070313,0.4885745231025835,6.337062826829064,1.89362175,-0.637075685703125,-1.1722950862278998,0.2194287408267406
psychromonas,Proteobacteria,Bacteria,6101,57.0,63.0,416.53900146484375,0.7953161414563249,12.324440162305628,4.138119,0.8932184634972271,0.18765657796400537,0.0722609881292283
rickettsia,Proteobacteria,Bacteria,23284,91.0,61.0,283.8729858398437,0.25874175082203515,9.131726745776886,1.3140997682119204,0.0772033056687758,-1.5234302384623213,0.4778088235430064
