genus_lower,Cu_mean,Cu_sd,Cu_n,Zn_mean,Zn_sd,Zn_n,Pb_mean,Pb_sd,Pb_n,Ni_mean,Ni_sd,Ni_n,Co_mean,Co_sd,Co_n,As_mean,As_sd,As_n,Cr_mean,Cr_sd,Cr_n,Hg_mean,Hg_sd,Hg_n,pH_mean,pH_sd,pH_n,ko_per_mb_primary,mean_genome_mb,mean_levins_B_std,phylum,kingdom,Cu_sd_01,Zn_sd_01,Pb_sd_01,Ni_sd_01,Co_sd_01,composite_metal_sd,ko_z,genome_z
nocardiopsis,16.606741573033705,14.17097544080224,89,37.86451612903226,32.143971796608305,93,14.16414893617021,8.841349992959763,94,24.668817204301074,30.5989093955076,93,10.332978723404254,8.733600771139587,94,5.986170212765956,8.78864860571875,94,101.53191489361704,224.0638768431252,94,0.031917808219178,0.0199065549119557,73,,,0,6.633510823277863,6.331488878048781,0.2105163313963832,Actinobacteria,Bacteria,0.32612141962037594,0.6225607927126372,0.09875815985802874,0.47720045366972447,0.6325632547136465,0.4314408161148826,-0.39444187835418815,0.8275740900036254
nodularia,36.03529411764706,32.52350959645327,17,72.6705882352941,38.34727442573139,17,45.62352941176471,66.20852597486751,17,34.57058823529411,42.97480024249506,17,13.705882352941178,7.967470629710168,17,45.49411764705882,87.88582415973178,17,191.3176470588235,353.13567547632124,17,0.0525,0.03,16,,,0,7.600914777625924,4.867835133333334,0.2922952748567264,Cyanobacteria,Bacteria,0.9010659059968479,0.7944345458301827,0.8321720294332632,0.698113741914716,0.5572383650079287,0.7566049176365877,-0.15449215019331874,0.08003026444161895
nonomuraea,16.36816143497758,13.20096590715033,446,40.00265486725663,29.025165196180048,452,15.44019607843137,15.835108213866912,459,21.573127753303968,24.15232895038432,454,9.778867102396514,7.834129927875919,459,6.540748898678414,19.1223512728354,454,75.8156862745098,156.71142217700594,459,0.0289839572192513,0.0184967139856316,374,,,0,3.826775748170179,10.19134712,0.3606127261635745,Actinobacteria,Bacteria,0.29573315670388645,0.5361485978365098,0.18817025295612347,0.3621270984118516,0.5441284857383202,0.3852615183293383,-1.0906095084994718,2.7989509998315825
nostoc,20.07051282051282,19.79750154100429,78,44.43012048192772,33.0637548770655,83,23.00488095238096,36.88368812067534,84,20.4525,14.977992082900933,80,9.770238095238094,6.751149473958941,84,16.59761904761905,48.54628142346124,84,60.41785714285714,50.400033851380606,84,0.0290410958904109,0.0234025392474147,73,,,0,5.635804330002904,8.69441114893617,0.2245883990106711,Cyanobacteria,Bacteria,0.5023880938207012,0.648045051589516,0.45726699990745434,0.19836248947007526,0.4376512975512791,0.4487427864678052,-0.6419076869956187,2.034408671107527
novosphingobium,16.950802139037435,15.127554219927706,561,40.70701754385965,29.60446019007206,570,18.14369982547993,23.54659254654682,573,20.54340949033392,21.22022926134884,569,9.75305410122164,7.319815422808899,573,9.254320987654324,30.15529789296389,567,70.34240837696335,134.20793398506376,573,0.0306092436974789,0.021112396923321,476,,,0,8.463956388901686,4.371478100775193,0.4489700042625262,Proteobacteria,Bacteria,0.35608892656946817,0.5521990165755518,0.2867581556686998,0.30978825737200694,0.49356177223460246,0.39967922568406583,0.059572097824661004,-0.17347821480273581
oceanicaulis,17.68,17.705918658899222,10,27.425,21.59528718427769,8,11.522,6.001690132324764,10,45.19,43.663802705063,10,9.96,10.844168940034086,10,8.577777777777776,14.254278110253232,9,194.75,337.03163798076883,10,0.02375,0.0140788595317335,8,,,0,9.966067216098464,2.8095335294117647,0.1217587296145015,Proteobacteria,Bacteria,0.4368634073841179,0.3302903485362164,0.0624543695629896,0.7104126383332984,0.8400714911625622,0.47601845099583684,0.4321476729330574,-0.9712229166548987
oceanicella,19.27391304347826,17.560111804030416,46,36.828888888888905,28.20728969467276,45,14.938913043478252,5.564843305475256,46,34.49347826086956,43.03539319714472,46,10.300000000000002,9.641069558001448,46,5.843478260869565,7.085780821834137,46,172.71086956521737,340.161350099404,46,0.022,0.0115809173668938,35,,,0,9.319871830717457,3.326226,0.2393295373043341,Proteobacteria,Bacteria,0.4322955996594881,0.5134878733109962,0.056869476874662,0.6991953439603089,0.7217843707948085,0.48472653292005274,0.27186880869637664,-0.7073283531372779
oceanobacillus,17.228327645051195,16.722930987831887,293,42.03234323432343,30.48605169257459,303,20.658163934426227,29.675211155846725,305,20.46146179401993,20.97049458618868,301,9.460983606557376,6.56535106111253,305,12.992052980132453,38.77708338402039,302,72.15672131147541,132.83698295974062,305,0.0296124031007751,0.0222263944041857,258,,,0,10.14705778936537,4.04058012195122,0.3157481764670918,Firmicutes,Bacteria,0.4060685679977441,0.5766251084995992,0.3651098230196427,0.30533042003645416,0.41938384637249954,0.4145035531851879,0.47703961146595364,-0.34248044081002066
ochrobactrum,18.496428571428574,17.217056188835645,28,51.31428571428571,29.288813618421,28,21.78964285714286,32.17765609424616,28,19.25,13.157999960592909,28,11.107142857142858,6.294908499404341,28,14.84642857142857,42.79920804167653,28,61.18928571428573,46.62536536872602,28,0.0342307692307692,0.0223021213202828,26,,,0,9.940775428605296,4.828597159722222,0.4490823481707068,Proteobacteria,Bacteria,0.4215484225773526,0.5434534556748702,0.3971024702827624,0.16587509528649486,0.3927942958107719,0.38415474792645044,0.425874432570113,0.059989933860389824
opitutus,16.578000000000003,15.047190489619693,700,40.547740112994354,29.81272727807663,708,18.14794117647059,23.446377647465265,714,19.98645980253879,20.52295015514994,709,9.54873949579832,7.23986198034567,714,8.900141242937853,29.56676117393746,708,67.49523809523811,127.99137924494435,714,0.0298336106489184,0.0210152072344802,601,,,0,6.743419460056134,3.8556106666666654,0.4208105596711765,Verrucomicrobia,Bacteria,0.3535713078442627,0.5579694340783438,0.28547695268691675,0.29734162043253975,0.48570085682420144,0.39601203437325283,-0.36718072503871463,-0.4369514007038981
orenia,20.68,26.823903104838752,10,42.266666666666666,45.30262133696018,9,26.053636363636368,52.72168553313281,11,14.890909090909089,13.884844582886371,11,5.263636363636365,3.937835122823892,11,24.80909090909091,67.97482555395717,11,45.36363636363637,34.40483316998566,11,0.03,0.0312249899919919,9,,,0,5.812291517066209,3.785082,0.2202871893931195,Firmicutes,Bacteria,0.7225097840424153,0.9871450501114173,0.6597487635601804,0.17884948537600695,0.16104999739699766,0.5418606160974035,-0.5981327444089359,-0.47297308239066665
orientia,17.449180327868852,15.98747033305373,61,46.25573770491803,30.16120314018305,61,22.350327868852457,30.83471263404353,61,21.38524590163934,18.67929188580743,61,10.544262295081964,7.376551240025471,61,15.188524590163931,41.1130356389984,61,68.41475409836066,63.75025708723476,61,0.03125,0.0232036439144607,56,,,0,2.9903106459295272,2.0064805,0.2776961907902944,Proteobacteria,Bacteria,0.3830282050252371,0.567624590028646,0.379933534512269,0.26443177857015243,0.4991399618176783,0.41883161399079655,-1.2980818606607338,-1.3813727460821712
ornithinimicrobium,17.83953488372093,7.795790669295093,43,48.483720930232565,24.00794442156257,43,15.130888888888885,6.992946713465914,45,20.997727272727275,8.891660284871687,44,9.555555555555555,5.093603633950916,45,4.277777777777779,1.4606799302331288,45,50.98222222222222,22.604387032859645,45,0.0293939393939393,0.0151944467527189,33,,,0,6.789944599031365,3.6819151666666654,0.2686339160414247,Actinobacteria,Bacteria,0.12640091764922698,0.397137394239189,0.07512714476018471,0.08971967842104411,0.27468360991034263,0.19261374899599745,-0.3556408771813873,-0.5256643213804677
oscillochloris,23.573809523809523,10.543893378282522,42,56.40476190476191,23.04822042102328,42,13.589523809523811,5.272417389923299,42,32.18333333333334,24.24833830531704,42,16.485714285714288,8.577894773523665,42,4.088095238095239,2.020046169594607,42,84.85952380952382,85.96520867308318,42,0.042,0.019523741203679,35,,,0,5.025251281574076,4.775880578947368,0.254509917191374,Chloroflexi,Bacteria,0.21249292473273154,0.3705464997122536,0.053130941403494995,0.3638408936095226,0.6172544495084952,0.32345314179329954,-0.7933460156687903,0.03306556420994053
owenweeksia,23.803225806451607,22.913191016980704,31,47.74137931034482,35.2147545907493,29,24.2434375,42.24046405913945,32,26.777419354838717,27.77876538746121,31,9.746875,8.347492742173854,32,18.38125,55.484304304853175,32,94.3625,191.52769487263663,32,0.0307142857142857,0.0260950643025147,28,,,0,6.430833635073407,3.887520875,0.3316010767743216,Bacteroidetes,Bacteria,0.5999957849592165,0.7076424009127525,0.525751001468129,0.4268600544334472,0.5946016302798749,0.570970174410684,-0.4447128494366272,-0.4206536395031306
paenibacillus,16.28312757201646,14.90456925611577,729,39.741224489795925,29.87740666484113,735,17.8478465679677,23.07549773884768,743,19.694850948509483,20.305188475224465,738,9.383176312247643,7.247323114317419,743,8.63383152173913,29.02889640789005,736,66.19394347240915,125.75120949055096,743,0.0296612903225806,0.0207776470144425,620,,,0,8.288189003971334,6.515295437172775,0.3837071658371461,Firmicutes,Bacteria,0.34910329862287454,0.55976149382735,0.28073541775389654,0.29345451045711524,0.4864344255263191,0.39389782923751104,0.015975691128135922,0.9214511144481282
paludibacter,27.689361702127663,33.080916829486014,47,61.16170212765957,43.27365175450544,47,47.80680851063831,67.05045673437745,47,27.21489361702127,22.24460832302871,47,12.455319148936168,5.958034710650905,47,58.01063829787235,85.88124063532142,47,113.31702127659578,94.21533688300327,47,0.0487234042553191,0.0339831813438069,47,,,0,4.970888478195894,3.621083047619048,0.1856745128022809,Bacteroidetes,Bacteria,0.9185282473051657,0.9309287669559506,0.842935740312832,0.32807372463435797,0.35967331595315116,0.6760279590322915,-0.8068298760913458,-0.5567336061440853
panacagrimonas,16.91893203883495,11.22489744970235,206,42.6837962962963,29.504217537461432,216,13.924285714285713,7.262669553794875,217,21.199065420560743,18.450082358313846,214,10.641935483870968,7.886377256799166,217,5.493981481481482,6.154885439368347,216,59.65806451612903,84.8963209839327,217,0.032191011235955,0.0192288486215531,178,,,0,3.8931230206481975,5.394127,0.4649797924573763,Proteobacteria,Bacteria,0.23382728285145477,0.5494216120288575,0.07857543149650366,0.26034032115171424,0.5492653731621973,0.33428600413814546,-1.074153084144618,0.34882760588295564
