genus,genus_for_tree,count_breadth_std,shannon_breadth_std,count_breadth_ses,shannon_breadth_ses,mean_levins_B_std
chitinibacter,chitinibacter,1.0,0.9861742293388294,,,0.1856192556080785
chitinimonas,chitinimonas,0.8269896193771626,0.9652768922293548,,,0.3554628821976143
chitinophaga,chitinophaga,1.0,0.9861742293388294,,,0.400578205283389
chromobacterium,chromobacterium,0.8638985005767013,0.9718890883941396,-0.1631451626332955,-0.0931284011500605,0.3468293530874908
chromohalobacter,chromohalobacter,1.0,0.9861742293388294,,,0.2141548712021378
chroococcidiopsis,chroococcidiopsis,1.0,0.9861742293388294,,,0.2490858263623661
chryseobacterium,chryseobacterium,1.0,0.9861742293388294,,,0.3325231485430568
chthoniobacter,chthoniobacter,1.0,0.9861742293388294,,,0.4510245177702734
chthonomonas,chthonomonas,0.9538638985005768,0.9813914120752876,,,0.3829604918420683
clavibacter,clavibacter,0.9919261822376008,0.988245658493502,,,0.3810299166521557
cloacibacterium,cloacibacterium,1.0,0.9861742293388294,,,0.1737004033876566
clostridium,clostridium,1.0,0.9861742293388294,0.0,1.0,0.237434472104235
cobetia,cobetia,1.0,0.9861742293388294,,,0.1287588304551903
cocleimonas,cocleimonas,1.0,0.9861742293388294,,,0.0473166534328528
cohnella,cohnella,1.0,0.9861742293388294,,,0.2895718120484886
collinsella,collinsella,0.9261822376009228,0.9793386826591984,-0.988710777983643,-0.5546874833074671,0.1503454422525124
colwellia,colwellia,0.9538638985005768,0.9813914120752876,,,0.0344070596270671
comamonas,comamonas,1.0,0.9861742293388294,0.0,1.0,0.2351354241730011
commensalibacter,commensalibacter,0.9077277970011534,0.980275105936958,,,0.1602229566998221
conchiformibius,conchiformibius,0.9077277970011534,0.980275105936958,0.8422347660750765,1.0189059191662928,0.0877762962405517
coprobacillus,coprobacillus,0.9919261822376008,0.988245658493502,,,0.2898327633171542
coprococcus,coprococcus,1.0,0.9861742293388294,,,0.0910467856019756
coraliomargarita,coraliomargarita,1.0,0.9861742293388294,,,0.0845390396146673
corallococcus,corallococcus,1.0,0.9861742293388294,,,0.6443550029257237
corynebacterium,corynebacterium,1.0,0.9861742293388294,,,0.1360036418950682
coxiella,coxiella,1.0,0.9861742293388294,0.0,1.0,0.1864366538252503
cupriavidus,cupriavidus,0.9261822376009228,0.9793386826591984,,,0.430233832196798
cyanobacterium,cyanobacterium,0.9538638985005768,0.9813914120752876,,,0.1265131744686696
cytophaga,cytophaga,1.0,0.9861742293388294,,,0.5437912605697192
deefgea,deefgea,0.9919261822376008,0.988245658493502,,,0.2348048639135684
deinococcus,deinococcus,1.0,0.9861742293388294,,,0.2463872207437447
