orgId	locusId	sysName	geneName	desc	set1IT076 CPG	set1IT077 M63_quarter_strength	set1IT080 CPG	set3IT039 CPG	set3IT040 M63_quarter_strength	set4IT039 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT042 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT045 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi
RalstoniaBSBF1503	RALBFv3_RS00705	RALBFv3_RS00705		xanthine dehydrogenase family protein molybdopterin-binding subunit	0.043	-0.139	0.029	0.178	0.246	-0.262	0.185	0.072
RalstoniaBSBF1503	RALBFv3_RS00710	RALBFv3_RS00710		(2Fe-2S)-binding protein	0.094	-0.363	0.207	-0.325	0.101	-0.439	0.263	0.046
RalstoniaBSBF1503	RALBFv3_RS00715	RALBFv3_RS00715		crea protein	0.371	0.020	0.359	-0.145	-0.033	0.361	-0.191	0.078
RalstoniaBSBF1503	RALBFv3_RS00720	RALBFv3_RS00720		LysR family transcriptional regulator	0.256	0.634	0.225	0.138	0.032	-0.089	0.137	0.230
RalstoniaBSBF1503	RALBFv3_RS00725	RALBFv3_RS00725		MFS transporter	-0.175	-0.160	-0.106	0.081	0.104	0.102	-0.039	-0.284
RalstoniaBSBF1503	RALBFv3_RS00730	RALBFv3_RS00730		type III effector protein	0.079	-0.126	-0.007	0.055	-0.031	0.189	0.084	-0.069
RalstoniaBSBF1503	RALBFv3_RS00740	RALBFv3_RS00740		type III effector protein	-0.260	-0.535	-0.344	-0.206	-0.225	0.108	0.114	-0.033
RalstoniaBSBF1503	RALBFv3_RS00745	RALBFv3_RS00745		nitroreductase	0.451	0.352	0.220	0.061	-0.134	0.079	0.249	-0.061
RalstoniaBSBF1503	RALBFv3_RS00750	RALBFv3_RS00750		MarR family transcriptional regulator	-0.477	-0.371	0.011	-0.231	-0.125	-0.647	0.059	-0.047
RalstoniaBSBF1503	RALBFv3_RS00755	RALBFv3_RS00755		penicillin-binding protein	0.198	0.113	0.072	-0.028	-0.049	-0.030	-0.008	0.174
