feature	mean_abs_shap	level	ko_id	kegg_ko	ko_desc
L2_422	0.0	L2	602.0	K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
L2_161	0.0	L2	206.0	K07458	vsr; DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]
L2_162	0.0	L2	207.0	K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
L2_163	0.0	L2	208.0	K03746	hns; DNA-binding protein H-NS
L2_164	0.0	L2	209.0	K00569	TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]
L2_165	0.0	L2	210.0	K01201	GBA, srfJ; glucosylceramidase [EC:3.2.1.45]
L2_166	0.0	L2	211.0	K06977	K06977; uncharacterized protein
L2_167	0.0	L2	212.0	K13993	HSP20; HSP20 family protein
L2_169	0.0	L2	214.0	K01194	TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]
L2_171	0.0	L2	216.0	K07025	K07025; putative hydrolase of the HAD superfamily
L2_172	0.0	L2	217.0	K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
L2_105	0.0	L2	125.0	K02276	coxC; cytochrome c oxidase subunit III [EC:1.9.3.1]
L2_174	0.0	L2	219.0	K11068	hlyIII; hemolysin III
L2_175	0.0	L2	220.0	K09793	K09793; uncharacterized protein
L2_176	0.0	L2	221.0	K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
L2_178	0.0	L2	223.0	K06903	K06903; uncharacterized protein
L2_290	0.0	L2	368.0	K12957	yjgB; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]
L2_104	0.0	L2	124.0	K02274	coxA; cytochrome c oxidase subunit I [EC:1.9.3.1]
L2_183	0.0	L2	229.0	K03525	coaX; type III pantothenate kinase [EC:2.7.1.33]
L2_185	0.0	L2	232.0	K07043	K07043; uncharacterized protein
L2_187	0.0	L2	235.0	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
L2_188	0.0	L2	236.0	K00453	TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11]
L2_189	0.0	L2	237.0	K03305	TC.POT; proton-dependent oligopeptide transporter, POT family
L2_190	0.0	L2	238.0	K00457	HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
L2_191	0.0	L2	239.0	K00451	HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]
L2_192	0.0	L2	240.0	K16171	faaH; fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]
L2_193	0.0	L2	241.0	K01420	fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein
L2_194	0.0	L2	242.0	K07234	K07234; uncharacterized protein involved in response to NO
L2_195	0.0	L2	243.0	K07152	SCO1_2; protein SCO1/2
L2_196	0.0	L2	244.0	K09943	K09943; uncharacterized protein
L2_102	0.0	L2	122.0	K13821	putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]
L2_203	0.0	L2	256.0	K02670	pilU; twitching motility protein PilU
L2_179	0.0	L2	224.0	K05539	dusA; tRNA-dihydrouridine synthase A [EC:1.-.-.-]
L2_113	0.0	L2	137.0	K07346	fimC; fimbrial chaperone protein
L2_114	0.0	L2	138.0	K07729	K07729; putative transcriptional regulator
L2_115	0.0	L2	139.0	K09697	natA; sodium transport system ATP-binding protein [EC:3.6.3.7]
L2_116	0.0	L2	140.0	K09696	natB; sodium transport system permease protein
L2_112	0.0	L2	136.0	K07347	fimD, fimC, mrkC, htrE, cssD; outer membrane usher protein
L2_118	0.0	L2	142.0	K00529	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
L2_120	0.0	L2	144.0	K06969	rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
L2_121	0.0	L2	145.0	K00523	ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]
L2_122	0.0	L2	146.0	K01719	hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]
L2_123	0.0	L2	147.0	K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
L2_124	0.0	L2	148.0	K02498	hemY; HemY protein
L2_125	0.0	L2	152.0	K03557	fis; Fis family transcriptional regulator, factor for inversion stimulation protein
L2_126	0.0	L2	157.0	K04084	dsbD; thiol:disulfide interchange protein DsbD [EC:1.8.1.8]
L2_111	0.0	L2	134.0	K06182	rluF; 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]
L2_129	0.0	L2	162.0	K00982	glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]
L2_158	0.0	L2	201.0	K20862	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
L2_157	0.0	L2	196.0	K09158	K09158; uncharacterized protein
