condition	condition_class	n	accuracy	mean_confidence	error_rate	n_uncertain	growth_rate	al_score
pimelicacid	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.19672131147540983	0.27620406072132847
lsorbose	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.13114754098360656	0.27620406072132847
lascorbicacid	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.22950819672131148	0.27620406072132847
dglucitol	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.4262295081967213	0.27620406072132847
d+melezitose	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.22950819672131148	0.27620406072132847
34dimethoxybenzoicacid	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.09836065573770492	0.27620406072132847
ascorbate	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.22950819672131148	0.27620406072132847
dmannopyranose	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.5901639344262295	0.27620406072132847
aldehydodlyxose	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.4262295081967213	0.27620406072132847
m-hydroxy-phenylacetic-acid	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.16666666666666666	0.27599886521833455
ribono-1,4-lactone	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
butanediol	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
b-hydroxy-butyric-acid	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.6666666666666666	0.27599886521833455
n-acetyl-d-glucosaminitol	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
sec-butylamine	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
glucuronamide	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.1111111111111111	0.27599886521833455
mannan	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
capric-acid	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.6111111111111112	0.27599886521833455
b-cyclodextrin	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
acetamide	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
oxalic-acid	other	36	0.6388888888888888	0.23569545016461213	0.36111111111111116	13	0.0	0.27599886521833455
