feature	mean_abs_shap	ko_desc	level
K00986	0.003184510377935719	ltrA; RNA-directed DNA polymerase [EC:2.7.7.49]	KO
K14059	0.003171175089052272	int; integrase	KO
K01687	0.003164513201903505	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	KO
K06915	0.003160309261663539	K06915; uncharacterized protein	KO
K03215	0.0031574445978213195	rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]	KO
K02234	0.003148537588328443	cobW; cobalamin biosynthesis protein CobW	KO
K03455	0.0031457234005323894	TC.KEF; monovalent cation:H+ antiporter-2, CPA2 family	KO
K01154	0.00310863655289031	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]	KO
K16012	0.0030894929426230184	cydC; ATP-binding cassette, subfamily C, bacterial CydC	KO
K22129	0.0030649672846228566	dtnK, denK; D-threonate/D-erythronate kinase [EC:2.7.1.219 2.7.1.220]	KO
K03502	0.003056502718064697	umuC; DNA polymerase V	KO
K06445	0.003054603155588275	fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]	KO
K00390	0.0030081299290305803	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	KO
K17321	0.002995447315076943	glpV; glycerol transport system substrate-binding protein	KO
K10001	0.0029852151383400792	gltI, aatJ; glutamate/aspartate transport system substrate-binding protein	KO
K12070	0.0029690558765656768	traI; conjugal transfer pilus assembly protein TraI	KO
K01624	0.002967564656238758	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	KO
K16710	0.0029557591487822522	wcaK, amsJ; colanic acid/amylovoran biosynthesis protein	KO
K07338	0.0029469537820533734	K07338; uncharacterized protein	KO
K01190	0.0029396899743301375	lacZ; beta-galactosidase [EC:3.2.1.23]	KO
K01677	0.0029393912879899075	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	KO
K05783	0.002939361957293164	benD-xylL; dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-]	KO
K12152	0.0029189857471169202	nudJ; phosphatase NudJ [EC:3.6.1.-]	KO
K07670	0.0029187828847289047	mtrA; two-component system, OmpR family, response regulator MtrA	KO
K03309	0.002907490045862463	TC.DAACS; dicarboxylate/amino acid:cation (Na+ or H+) symporter, DAACS family	KO
K09937	0.0028960374058505864	K09937; uncharacterized protein	KO
K00481	0.0028946142520139113	pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]	KO
K01993	0.0028932909958975833	ABC-2.TX; HlyD family secretion protein	KO
K00030	0.0028909750583294507	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	KO
K01800	0.002885762701021238	maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]	KO
K14189	0.00288441808335562	dltE; uncharacterized oxidoreductase [EC:1.-.-.-]	KO
K20263	0.0028794707239442803	fusK; two-component system, NarL family, sensor histidine kinase FusK [EC:2.7.13.3]	KO
K00547	0.0028730584278690834	mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]	KO
K19267	0.002861537501772683	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	KO
K09709	0.002860087903836544	meh; 3-methylfumaryl-CoA hydratase [EC:4.2.1.153]	KO
K01649	0.0028571121771197657	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	KO
K02478	0.002856423626414044	K02478; two-component system, LytTR family, sensor kinase [EC:2.7.13.3]	KO
K06926	0.0028563123401507	K06926; uncharacterized protein	KO
K02277	0.0028546964165018845	coxD, ctaF; cytochrome c oxidase subunit IV [EC:1.9.3.1]	KO
