normalized	enigma_name	enigma_chebi	fb_condition	fb_n_experiments	fb_n_orgIds	csp_name	wom_compound	in_enigma	in_fb	in_csp	in_wom	n_datasets
4hydroxyvalerate			4-Hydroxyvalerate	2	1			False	True	False	False	1
4imidazoleaceticacid				0	0		4-imidazoleacetic acid	False	False	False	True	1
5'deoxyadenosine				0	0		5'-deoxyadenosine	False	False	False	True	1
5'methylthioadenosine				0	0		5'-methylthioadenosine	False	False	False	True	1
5aminopentanoate				0	0		5-aminopentanoate	False	False	False	True	1
5aminovalericacid			5-Aminovaleric acid	4	1			False	True	False	False	1
5fluorouracil			5-fluorouracil	3	1			False	True	False	False	1
5hex+c7h16o7				0	0		5Hex+C7H16O7	False	False	False	True	1
5hydroxylysine				0	0		5-hydroxylysine	False	False	False	True	1
5hydroxymethylfurfural			5-Hydroxymethylfurfural	27	14			False	True	False	False	1
5ketodgluconicacid				0	0	5-Keto-D-Gluconic-Acid		False	False	True	False	1
5oxoproline				0	0		5-oxo-proline	False	False	False	True	1
6hex+c7h16o7				0	0		6Hex+C7H16O7	False	False	False	True	1
6hydroxynicotinate				0	0		6-hydroxynicotinate	False	False	False	True	1
6oacetyldglucose			6-O-Acetyl-D-glucose	2	1			False	True	False	False	1
7hex+c7h16o7				0	0		7Hex+C7H16O7	False	False	False	True	1
8hex+c7h16o7				0	0		8Hex+C7H16O7	False	False	False	True	1
8hydroxynitroquinoline			8-hydroxy-nitroquinoline	5	1			False	True	False	False	1
9hex+c7h16o7				0	0		9Hex+C7H16O7	False	False	False	True	1
acetamide				0	0	Acetamide		False	False	True	False	1
aceticacid				0	0	Acetic-Acid		False	False	True	False	1
acetoaceticacid				0	0	Acetoacetic-Acid		False	False	True	False	1
acetylglutamate				0	0		acetylglutamate	False	False	False	True	1
acetyllysine				0	0		acetyllysine	False	False	False	True	1
acetylornithine				0	0		acetylornithine	False	False	False	True	1
acridineorange			Acridine orange	2	2			False	True	False	False	1
acriflavine			Acriflavine	2	2			False	True	False	False	1
acyclodextrin			a-Cyclodextrin	14	6			False	True	False	False	1
adenine				0	0		Adenine	False	False	False	True	1
adenosylmethionine				0	0		adenosylmethionine	False	False	False	True	1
adonitol				0	0	Adonitol		False	False	True	False	1
agar			Agar	66	14			False	True	False	False	1
agarose				0	0	Agarose		False	False	True	False	1
agrodefinedtrehalose			Agro_defined_trehalose	3	2			False	True	False	False	1
aketoglutaricaciddi			a-Ketoglutaric acid disodium salt hydrate	43	20			False	True	False	False	1
alaala				0	0		Ala-Ala	False	False	False	True	1
alaninamide				0	0	Alaninamide		False	False	True	False	1
alanylglycine				0	0	Alanyl-Glycine		False	False	True	False	1
alginate				0	0	Alginate		False	False	True	False	1
alphaaminoadipate				0	0		alpha-aminoadipate	False	False	False	True	1
alphaketoglutaricacid				0	0		alpha-ketoglutaric acid	False	False	False	True	1
aluminumchloride			Aluminum chloride hydrate	50	24			False	True	False	False	1
aminobutyricacid				0	0	Amino-Butyric-Acid		False	False	True	False	1
ammoniumpersulfate			ammonium persulfate	3	1			False	True	False	False	1
ammoniumsulfidesolution			ammonium sulfide solution	9	1			False	True	False	False	1
amp				0	0		AMP	False	False	False	True	1
ampicillin			Ampicillin sodium salt	2	2			False	True	False	False	1
amygdalin				0	0	Amygdalin		False	False	True	False	1
amylopectinfrommaize			amylopectin from maize	4	1			False	True	False	False	1
amylosefrompotato			Amylose from potato	2	1			False	True	False	False	1
anhydrotetracyclinehydrochloride			Anhydrotetracycline hydrochloride	8	1			False	True	False	False	1
anthranilate				0	0		anthranilate	False	False	False	True	1
antimycina			Antimycin A	13	2			False	True	False	False	1
arabinose				0	0	Arabinose		False	False	True	False	1
arabitol				0	0	Arabitol		False	False	True	False	1
arbutin				0	0	Arbutin		False	False	True	False	1
asparg				0	0		Asp-Arg	False	False	False	True	1
asparticacid				0	0	Aspartic-Acid		False	False	True	False	1
bacitracin			Bacitracin	41	20			False	True	False	False	1
bathophenanthrolinedisulfonicaciddi			Bathophenanthrolinedisulfonic acid disodium salt hydrate	2	1			False	True	False	False	1
bcyclodextrin				0	0	b-Cyclodextrin		False	False	True	False	1
bdallose				0	0	b-D-Allose		False	False	True	False	1
benzalkoniumchloride			Benzalkonium Chloride	27	13			False	True	False	False	1
benzethoniumchloride			Benzethonium chloride	37	16			False	True	False	False	1
beoate				0	0	Beoate		False	False	True	False	1
