strain	mol_norm	n_curves	n_fit_ok	any_growth	median_mu	median_A	median_lag	median_auc	normalized	enigma_name	enigma_chebi	in_fb	in_csp	in_wom	n_datasets	is_fb_anchor
FW300-N2E2	ethanol	4	0	True	0.0026908811190713257	0.37716227607937675	17.657183228112146	10.195960277777777	ethanol	ethanol	CHEBI:16236	True	True	False	3	True
FW300-N2E2	formate	2	0	False				8.339009861111112	formate	sodium formate	CHEBI:62965	True	True	False	3	True
FW300-N2E2	gelatin	1	0	False				11.50054138888889	gelatin	gelatin	CHEBI:5291	True	True	False	3	True
FW300-N2E2	glycerol	2	1	True	0.049456115520018815	0.22440500949475806	14.607461785513228	21.638607569444446	glycerol	glycerol	CHEBI:17754	True	True	False	3	True
FW300-N2E2	glycine	3	0	False				6.521124999999999	glycine	glycine	CHEBI:15428	True	True	True	4	True
FW300-N2E2	glycolicacid	2	0	False				8.050313055555556	glycolicacid	glycolic acid	CHEBI:17497	True	True	False	3	True
FW300-N2E2	glyglu	1	0	False				11.615151111111112	glyglu	Gly-Glu	CHEBI:73801	True	False	False	2	True
FW300-N2E2	hydantoin	1	0	False				10.688669166666667	hydantoin	hydantoin	CHEBI:27612	True	False	False	2	True
FW300-N2E2	inosine	1	1	True	0.0015162174381922937	0.08689450813699513	3.5538348387992443e-11	13.58041972222222	inosine	inosine	CHEBI:17596	True	True	True	4	True
FW300-N2E2	lactulose	2	0	False				8.039888819444444	lactulose	lactulose	CHEBI:6359	True	True	False	3	True
FW300-N2E2	lalanine	3	3	True	0.03259540299106939	0.21185387187004556	8.892188264608963	19.169249999999998	lalanine	L-alanine	CHEBI:16977	True	False	False	2	True
FW300-N2E2	larabinose	2	1	True	0.048623591255141416	0.39575994954567595	16.320650785838566	30.150095972222225	larabinose	L-arabinose	CHEBI:30849	True	False	False	2	True
FW300-N2E2	larginine	3	2	True	0.05050082504354327	0.26777669870841436	11.561093258148244	22.18875	larginine	L-arginine	CHEBI:16467	True	False	False	2	True
FW300-N2E2	lasparagine	2	2	True	0.05274166642552298	0.23184742217608134	6.159617900169602	21.0155625	lasparagine	L-asparagine	CHEBI:17196	True	False	False	2	True
FW300-N2E2	lasparticacid	3	1	True	0.04996314914463893	0.26341512320606136	6.918752553804672	23.378625	lasparticacid	L-aspartic acid	CHEBI:17053	True	False	False	2	True
FW300-N2E2	lcitrulline	3	0	False				6.282749999999998	lcitrulline	L-citrulline	CHEBI:16349	True	False	False	2	True
FW300-N2E2	lglutamine	3	2	True	0.07457611224002068	0.2780198507062081	6.999360431095923	24.902625	lglutamine	L-glutamine	CHEBI:18050	True	False	False	2	True
FW300-N2E2	lisoleucine	3	3	True	0.030311938741102214	0.3960011336695299	25.011082259941922	22.5045	lisoleucine	L-isoleucine	CHEBI:17191	True	False	False	2	True
FW300-N2E2	llactate	2	1	True	0.0695646587447985	0.1658910996032125	9.07888105123424	18.927013541666668	llactate	sodium L-lactate	CHEBI:232798	True	False	False	2	True
FW300-N2E2	lleucine	3	3	True	0.016353173494370786	0.3977812070771509	23.37547564718944	20.331874999999997	lleucine	L-leucine	CHEBI:15603	True	False	False	2	True
FW300-N2E2	llysine	3	1	True	0.0024911354933947784	1.9421025011294744	74.5283332943352	7.304499999999999	llysine	L-lysine	CHEBI:18019	True	False	False	2	True
FW300-N2E2	lmethionine	3	0	False				6.385249999999999	lmethionine	L-methionine	CHEBI:16643	True	False	False	2	True
FW300-N2E2	lornithine	1	1	True	0.0022755403027909667	0.07202186231353451	19.54844331806406	11.92466138888889	lornithine	L-ornithine	CHEBI:15729	True	False	False	2	True
FW300-N2E2	lphenylalanine	3	3	True	0.01127166430880162	0.5375581122497975	23.970308541090212	18.543875	lphenylalanine	L-phenylalanine	CHEBI:17295	True	False	False	2	True
FW300-N2E2	lproline	3	3	True	0.011693174118668383	0.8855409573880513	47.39245531961982	10.990625	lproline	L-proline	CHEBI:17203	True	False	False	2	True
FW300-N2E2	lserine	3	1	True	0.004346331900205967	0.07326048638916285	28.96456828501028	6.762874999999999	lserine	L-serine	CHEBI:17115	True	False	False	2	True
FW300-N2E2	lsorbose	2	0	False				8.635075902777778	lsorbose	L-sorbose	CHEBI:17266	True	False	False	2	True
FW300-N2E2	lthreonine	3	0	False				6.1278749999999995	lthreonine	L-threonine	CHEBI:16857	True	False	False	2	True
FW300-N2E2	ltryptophan	3	0	False				6.617374999999999	ltryptophan	L-tryptophan	CHEBI:16828	True	False	False	2	True
FW300-N2E2	ltyrosine	2	2	True	0.026016003077482266	0.4916046030043724	8.794655046104154	32.1773125	ltyrosine	L-tyrosine	CHEBI:17895	True	False	False	2	True
FW300-N2E2	maltitol	2	0	False				8.346387222222223	maltitol	maltitol	CHEBI:68428	True	True	False	3	True
FW300-N2E2	manganeseiichloridetetra	2	2	True	0.03193744022268792	0.4457632314966564	12.434028046100185	20.8681875	manganeseiichloridetetra	manganese(II) chloride tetrahydrate	CHEBI:86368	True	False	False	2	True
FW300-N2E2	melibiose	2	0	False				8.378314305555556	melibiose	melibiose	CHEBI:28053	True	True	False	3	True
FW300-N2E2	methanol	2	0	False				6.559124999999999	methanol	methanol	CHEBI:17790	True	False	False	2	True
FW300-N2E2	nacetyldglucosamine	3	0	False				6.221624999999999	nacetyldglucosamine	N-acetyl-D-glucosamine	CHEBI:506227	True	True	False	3	True
FW300-N2E2	nicotinicacid	1	0	True	2.062647094120119	0.033757572754965604	0.004281490443739113	11.550739166666666	nicotinicacid	nicotinic acid	CHEBI:15940	True	False	False	2	True
FW300-N2E2	nitrate	2	0	False				10.896247222222222	nitrate	sodium nitrate	CHEBI:63005	True	False	False	2	True
FW300-N2E2	nitrite	1	0	False				9.404784166666667	nitrite	sodium nitrite	CHEBI:78870	True	False	False	2	True
FW300-N2E2	octanoate	2	2	True	0.02592132011757234	0.48971013321627443	14.913919867578372	32.028654027777776	octanoate	sodium octanoate	CHEBI:132100	True	False	False	2	True
FW300-N2E2	octanoicacid	2	2	True	0.10120425269628577	0.37808011952941434	8.871171207135664	30.4445	octanoicacid	octanoic acid	CHEBI:28837	True	False	False	2	True
FW300-N2E2	parabanicacid	1	0	False				11.154407222222222	parabanicacid	parabanic acid	CHEBI:74661	True	False	False	2	True
FW300-N2E2	propionate	2	1	True	0.04695709137967495	0.09582294801181185	20.055518004234006	13.406567152777779	propionate	sodium propionate	CHEBI:132106	True	True	False	3	True
