orgId	locusId	sysName	geneName	desc	set1IT006 KB	set1IT008 KB with Dimethyl Sulfoxide 0.42 vol%	set1IT012 KB with Acriflavine 1.25 ug/ml	set1IT014 KB with Ampicillin 0.775 ug/ml	set1IT016 KB with Berberine 15.6 ug/ml	set1IT018 KB with Carbenicillin 3.1 ug/ml	set1IT020 KB with Chloramphenicol 1.55 ug/ml	set1IT022 KB with Erythromycin 6.25 ug/ml	set1IT030 KB with Nalidixic 0.775 ug/ml	set1IT034 KB with Nitrofurantoin 31.25 ug/ml	set1IT038 KB with Phloretin 125 ug/ml	set1IT046 KB with Trimethoprim 15.6 ug/ml	set3IT010 KB with Acridine orange 3.125 ug/ml	set3IT020 KB with Mitomycin C 0.05 ug/ml	set4IT014 KB	set4IT016 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT018 KB with Rifampicin 0.1 mg/ml	set4IT020 KB with capsaicin 0.25 mg/ml	set4IT022 KB with capsaicin 0.125 mg/ml	set4IT026 KB with Flavone 0.125 mg/ml	set4IT028 KB with Rotenone 0.25 mg/ml	set4IT030 KB with Rotenone 0.125 mg/ml	set4IT032 KB with Nitrofurantoin 0.0625 mg/ml
SyringaeB728a_mexBdelta	Psyr_3626	Psyr_3626		transcriptional regulator, MarR family	-0.138	-0.363	-0.300	0.061	-0.113	0.457	0.279	-0.137	0.296	-0.138	-0.638	-0.156	0.648	0.944	-0.231	-0.204	-0.329	-0.192	-0.094	-0.127	-0.229	-0.074	-0.606
SyringaeB728a_mexBdelta	Psyr_3627	Psyr_3627		OsmC-like protein	0.174	-0.002	-0.145	-0.193	0.162	0.597	-0.149	-0.121	-0.359	-0.132	-0.313	-0.302	0.353	0.366	0.652	0.144	0.245	0.175	0.628	0.547	0.453	0.311	0.641
SyringaeB728a_mexBdelta	Psyr_3630	Psyr_3630		conserved hypothetical protein	-0.035	-0.052	-0.068	0.063	-0.254	0.664	-0.043	-0.314	0.320	-0.149	0.204	0.233	0.003	-0.365	-0.038	-0.212	0.133	-0.134	-0.349	-0.314	-0.098	-0.031	-0.274
SyringaeB728a_mexBdelta	Psyr_3631	Psyr_3631		GreA/GreB family elongation factor	0.000	0.066	-0.753	0.179	0.109	0.489	-0.180	0.259	-0.220	0.128	-0.164	-0.490	-0.010	-0.389	-0.019	0.138	-0.016	-0.483	-0.119	0.170	-0.192	0.166	-0.141
SyringaeB728a_mexBdelta	Psyr_3632	Psyr_3632		conserved hypothetical protein	-0.482	-0.498	-0.421	-0.499	-0.375	0.188	-0.405	-0.440	-1.052	-0.501	-0.197	-0.668	-1.704	-1.165	-0.153	0.112	-0.081	0.024	0.205	0.022	0.049	0.138	0.035
SyringaeB728a_mexBdelta	Psyr_3633	Psyr_3633		threonine/serine transporter	0.102	-0.342	-0.336	-0.016	-0.283	0.125	-0.606	-0.020	-0.158	-0.009	-0.031	-0.196	-0.265	-0.338	0.002	0.034	-0.014	-0.065	0.069	-0.271	-0.160	-0.236	-0.077
SyringaeB728a_mexBdelta	Psyr_3634	Psyr_3634		transcriptional regulator, TetR family	0.228	0.246	0.211	0.050	0.216	0.429	0.037	0.263	0.236	0.061	0.212	0.197	-0.359	-0.154	0.332	0.198	0.256	0.475	0.416	0.327	0.327	0.154	0.031
SyringaeB728a_mexBdelta	Psyr_3635	Psyr_3635		Competence protein ComEA helix-hairpin-helix region	-0.376	-0.148	-0.725	-0.642	-0.217	0.464	-0.278	-0.246	-1.411	-0.631	-0.434	-0.051	0.267	0.591	-0.590	0.080	-0.169	-0.690	-0.860	0.418	-0.115	-0.121	0.264
SyringaeB728a_mexBdelta	Psyr_3636	Psyr_3636		Polysaccharide biosynthesis protein CapD	-0.557	-0.319	-0.113	-0.176	0.403	1.279	-0.046	1.517	0.947	0.032	-0.113	-0.451	-0.265	1.060	-0.576	-0.422	0.177	-0.351	-0.189	-0.059	-0.341	-0.260	0.183
SyringaeB728a_mexBdelta	Psyr_3637	Psyr_3637		Glycosyl transferase, family 4	-0.270	-0.119	-0.659	-0.042	-0.153	1.575	-0.161	1.918	1.079	0.027	-0.256	-0.668	-0.415	1.544	-0.452	-0.454	0.444	-0.343	-0.408	-0.133	-0.270	-0.190	0.083
SyringaeB728a_mexBdelta	Psyr_3638	Psyr_3638		UDP-glucose 4-epimerase, putative	-0.097	0.542	0.243	-0.052	0.709	1.174	0.011	1.859	0.913	0.335	0.043	0.304	0.361	1.297	0.094	-0.321	0.689	-0.015	-0.109	0.188	0.020	0.103	0.113
SyringaeB728a_mexBdelta	Psyr_3639	Psyr_3639		Beta-lactamase-like:RNA-metabolising metallo-beta-lactamase	-0.023	-0.045	-0.197	0.001	-0.091	-0.224	-0.110	-0.081	-0.063	-0.087	-0.071	-0.088	-0.113	-0.325	-0.020	0.071	0.048	0.060	0.074	0.126	0.064	-0.011	0.090
SyringaeB728a_mexBdelta	Psyr_3640	Psyr_3640		conserved hypothetical protein	-0.326	-0.075	-0.196	0.352	-0.632	-0.968	-0.481	-0.414	-1.209	-0.591	-0.689	-0.327	0.453	-0.980	0.161	-0.189	0.203	0.021	0.577	-0.031	-0.414	0.277	0.274
SyringaeB728a_mexBdelta	Psyr_3644	Psyr_3644		prephenate dehydrogenase	-0.675	-0.573	-1.975	0.067	-0.539	0.143	0.086	-0.173	-1.009	-0.011	-0.368	-0.998	0.355	-0.645	-0.370	0.050	-0.962	-0.483	-0.670	-0.455	-0.203	-0.571	-0.138
SyringaeB728a_mexBdelta	Psyr_3648	Psyr_3648		methylthioribose-1-phosphate isomerase	-0.297	0.182	-0.169	-0.207	-0.411	0.598	0.213	-0.008	-0.430	-0.173	0.178	-0.071	-0.380	0.363	0.033	0.046	-0.014	-0.073	-0.024	-0.212	-0.159	-0.199	0.188
SyringaeB728a_mexBdelta	Psyr_3649	Psyr_3649		Amidohydrolase	-0.308	-0.194	-0.101	-0.261	0.115	1.445	-0.209	-0.537	-0.304	-0.225	-0.386	-0.203	0.316	0.075	-0.071	-0.021	0.072	-0.106	-0.205	0.038	-0.212	-0.039	-0.055
SyringaeB728a_mexBdelta	Psyr_3651	Psyr_3651		2-phosphoglycolate phosphatase, prokaryotic:HAD-superfamily hydrolase, subfamily IA, variant 3:HAD-superfamily hydrolase, subfamily IA, variant 1	0.013	-0.365	-1.917	-0.741	-2.698	2.370	-0.576	0.823	-0.591	-0.460	-0.357	-0.072	1.294	3.057	-0.773	0.185	0.761	-1.357	0.046	-0.086	-0.176	-0.025	0.248
SyringaeB728a_mexBdelta	Psyr_3652	Psyr_3652		Short-chain dehydrogenase/reductase SDR	0.315	0.335	-0.086	0.257	0.184	-0.567	0.230	-0.389	-0.242	0.196	0.787	0.127	-0.800	-0.177	0.213	-0.152	0.013	-0.023	0.180	0.296	0.174	0.080	0.581
