orgId	locusId	sysName	geneName	desc	set1IT085 CPG	set1IT086 M63_quarter_strength	set1IT089 CPG	set1IT090 M63_quarter_strength	set2IT016 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT019 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT022 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set3IT043 M63_quarter_strength
RalstoniaPSI07	RPSI07_RS00520	RPSI07_RS00520		hypothetical protein	-0.405	-0.636	1.118	0.071	0.227	-1.156	0.568	0.048
RalstoniaPSI07	RPSI07_RS00525	RPSI07_RS00525		hypothetical protein	0.783	0.667	-1.314	0.471	0.599	-2.370	-1.395	0.231
RalstoniaPSI07	RPSI07_RS00530	RPSI07_RS00530		hypothetical protein	1.454	2.266	1.059	-0.977	0.262	1.407	-0.057	-0.264
RalstoniaPSI07	RPSI07_RS00535	RPSI07_RS00535		hypothetical protein	-0.295	0.054	0.909	-0.550	-0.104	0.486	0.314	0.530
RalstoniaPSI07	RPSI07_RS00540	RPSI07_RS00540		type VI secretion protein	0.920	1.915	0.428	1.363	0.160	3.958	1.300	1.485
RalstoniaPSI07	RPSI07_RS00550	RPSI07_RS00550		DUF3304 domain-containing protein	-1.475	-1.046	-1.173	-0.447	-0.218	-1.212	-1.021	-0.705
RalstoniaPSI07	RPSI07_RS00555	RPSI07_RS00555		DUF2235 domain-containing protein	-1.527	0.725	-1.772	-0.820	0.132	0.025	-0.467	-1.705
RalstoniaPSI07	RPSI07_RS00560	RPSI07_RS00560		hypothetical protein	-0.122	0.213	-0.315	-0.209	-0.187	-1.164	0.155	0.998
RalstoniaPSI07	RPSI07_RS00565	RPSI07_RS00565		hypothetical protein	-0.755	-0.589	-1.135	-0.400	-0.691	-0.413	0.153	-0.242
RalstoniaPSI07	RPSI07_RS00570	RPSI07_RS00570		conjugal transfer protein	-0.528	-0.170	-0.981	-0.598	-1.226	-0.315	-0.203	0.530
RalstoniaPSI07	RPSI07_RS00575	RPSI07_RS00575		DUF4259 domain-containing protein	0.796	0.446	-0.803	-0.485	-0.127	-1.087	-1.357	-0.460
RalstoniaPSI07	RPSI07_RS00595	RPSI07_RS00595		aconitate hydratase AcnA	-0.430	0.934	-0.551	-0.033	-0.226	0.216	0.611	-0.424
RalstoniaPSI07	RPSI07_RS00600	RPSI07_RS00600		FCD domain-containing protein	-0.429	-0.197	-0.850	0.928	-0.538	2.552	1.159	-0.996
RalstoniaPSI07	RPSI07_RS00605	RPSI07_RS00605		ABC transporter substrate-binding protein	-0.376	1.606	0.113	0.105	0.797	-0.190	-0.797	-0.280
RalstoniaPSI07	RPSI07_RS00610	RPSI07_RS00610		hypothetical protein	1.066	0.992	-1.914	-0.688	-0.219	-0.532	0.209	-0.539
RalstoniaPSI07	RPSI07_RS00615	RPSI07_RS00615		MFS transporter	-1.725	0.469	-1.801	1.199	-0.306	0.061	0.219	-0.697
RalstoniaPSI07	RPSI07_RS00620	RPSI07_RS00620		aldo/keto reductase	-0.572	-0.715	0.106	0.001	-0.984	-2.315	-0.209	0.932
RalstoniaPSI07	RPSI07_RS00625	RPSI07_RS00625		LysR family transcriptional regulator	0.179	0.676	-1.768	1.048	0.241	-0.704	-0.619	-0.917
RalstoniaPSI07	RPSI07_RS00630	RPSI07_RS00630		pilus assembly protein	0.760	-2.300	0.441	-1.362	0.813	0.793	1.373	-1.533
RalstoniaPSI07	RPSI07_RS00635	RPSI07_RS00635		sulfite exporter TauE/SafE family protein	-1.212	-1.752	-0.738	-1.470	0.547	0.820	-0.041	-0.641
RalstoniaPSI07	RPSI07_RS00640	RPSI07_RS00640		hypothetical protein	-0.742	0.388	-1.371	-0.940	0.094	-0.167	1.668	-1.613
RalstoniaPSI07	RPSI07_RS00645	RPSI07_RS00645		beta-ketoacyl-ACP synthase III	0.695	1.712	0.060	0.571	0.196	1.357	-0.851	-0.552
RalstoniaPSI07	RPSI07_RS00650	RPSI07_RS00650		hypothetical protein	0.355	-1.075	-0.339	-0.607	1.778	-0.100	-2.376	-0.395
RalstoniaPSI07	RPSI07_RS00655	RPSI07_RS00655		prolyl aminopeptidase	-0.037	-0.331	0.343	-0.401	-0.622	-0.424	-1.429	-0.744
RalstoniaPSI07	RPSI07_RS00660	RPSI07_RS00660		gamma subclass chorismate mutase AroQ	-2.111	-1.011	-2.212	0.280	-1.546	-0.631	-0.839	-1.038
RalstoniaPSI07	RPSI07_RS00665	RPSI07_RS00665		disulfide bond formation protein B	-0.209	-0.519	0.610	1.186	0.202	0.605	0.641	1.011
RalstoniaPSI07	RPSI07_RS00670	RPSI07_RS00670		acyl-CoA thioesterase	-1.418	-0.293	-1.138	-0.785	0.609	-0.733	-1.035	-1.673
RalstoniaPSI07	RPSI07_RS00675	RPSI07_RS00675		phytanoyl-CoA dioxygenase	-0.541	0.001	-0.092	0.348	-0.452	-0.409	0.057	0.961
RalstoniaPSI07	RPSI07_RS00685	RPSI07_RS00685		DUF2141 domain-containing protein	0.119	0.555	0.710	-1.429	-1.060	0.602	0.895	0.136
RalstoniaPSI07	RPSI07_RS00690	RPSI07_RS00690		carotenoid oxygenase	-1.184	0.505	0.166	1.496	-0.076	-0.894	0.074	-0.593
RalstoniaPSI07	RPSI07_RS00695	RPSI07_RS00695		AMP nucleosidase	0.003	0.508	-0.928	0.247	2.380	2.835	3.041	0.544
RalstoniaPSI07	RPSI07_RS00700	RPSI07_RS00700		hypothetical protein	-0.359	-1.619	-1.647	-0.547	-0.030	0.127	0.691	-0.373
RalstoniaPSI07	RPSI07_RS00705	RPSI07_RS00705		hypothetical protein	-1.600	-0.097	-1.316	0.379	0.626	-0.977	0.883	3.313
RalstoniaPSI07	RPSI07_RS00710	RPSI07_RS00710		hypothetical protein	0.425	-0.069	-0.774	0.718	1.374	0.233	-0.527	1.698
RalstoniaPSI07	RPSI07_RS00715	RPSI07_RS00715		DUF2235 domain-containing protein	0.410	0.239	-0.062	-0.933	-0.211	-0.463	0.493	-0.317
RalstoniaPSI07	RPSI07_RS00720	RPSI07_RS00720		DUF3304 domain-containing protein	-1.269	-0.940	-1.399	0.024	-1.041	-1.360	-1.172	0.919
RalstoniaPSI07	RPSI07_RS00725	RPSI07_RS00725		DUF3304 domain-containing protein	-1.179	-0.755	-0.278	0.141	-0.612	0.466	-0.290	-0.939
RalstoniaPSI07	RPSI07_RS00730	RPSI07_RS00730		DUF3304 domain-containing protein	1.188	-0.229	0.308	-0.618	0.442	-0.252	0.613	0.033
RalstoniaPSI07	RPSI07_RS00735	RPSI07_RS00735		DUF3304 domain-containing protein	0.988	0.749	-1.692	-1.267	-0.196	-1.265	0.294	0.214
RalstoniaPSI07	RPSI07_RS00740	RPSI07_RS00740		DUF4123 domain-containing protein	-0.570	0.087	-1.612	0.585	-1.124	-1.128	-0.150	-1.927
RalstoniaPSI07	RPSI07_RS00745	RPSI07_RS00745		DUF2345 domain-containing protein	0.111	-1.391	0.707	-0.063	2.123	0.610	-2.010	0.101
RalstoniaPSI07	RPSI07_RS00750	RPSI07_RS00750		ATP-binding protein	-0.649	1.828	0.231	2.095	0.223	0.421	0.174	1.631
RalstoniaPSI07	RPSI07_RS00755	RPSI07_RS00755		LysR family transcriptional regulator	-1.010	-0.896	-0.895	-0.303	0.466	-1.128	-0.020	0.769
RalstoniaPSI07	RPSI07_RS00760	RPSI07_RS00760		aromatic ring-hydroxylating dioxygenase subunit alpha	0.866	0.377	-0.134	0.314	0.442	0.182	-0.122	1.640
RalstoniaPSI07	RPSI07_RS00765	RPSI07_RS00765		oxidoreductase	-1.502	-1.963	-1.209	-1.691	-1.185	-0.657	-0.424	-0.254
RalstoniaPSI07	RPSI07_RS00770	RPSI07_RS00770		LacI family DNA-binding transcriptional regulator	0.562	-0.036	-0.421	0.196	0.548	0.813	-0.673	0.236
RalstoniaPSI07	RPSI07_RS00775	RPSI07_RS00775		phytanoyl-CoA dioxygenase	1.051	-0.750	-1.532	0.567	-0.201	-0.565	1.084	-0.229
RalstoniaPSI07	RPSI07_RS00780	RPSI07_RS00780		MarR family transcriptional regulator	0.215	8.355	1.586	9.344	1.853	3.661	1.410	5.784
RalstoniaPSI07	RPSI07_RS00785	RPSI07_RS00785		crotonase	1.320	0.721	1.052	-1.186	-0.179	0.400	-0.409	-0.328
RalstoniaPSI07	RPSI07_RS00790	RPSI07_RS00790		salicylaldehyde dehydrogenase	1.040	0.795	-0.194	-0.303	0.375	0.111	2.118	0.340
RalstoniaPSI07	RPSI07_RS00795	RPSI07_RS00795		feruloyl-CoA synthase	0.498	-0.762	0.735	0.177	-0.368	-0.682	1.551	0.250
RalstoniaPSI07	RPSI07_RS00800	RPSI07_RS00800		sigma-54-dependent Fis family transcriptional regulator	-0.069	-0.263	-0.654	0.664	0.054	1.498	-0.504	-0.233
RalstoniaPSI07	RPSI07_RS00805	RPSI07_RS00805		benzaldehyde dehydrogenase	1.221	-0.357	0.558	-0.385	-1.673	0.710	1.951	-0.835
RalstoniaPSI07	RPSI07_RS00810	RPSI07_RS00810		3-alpha-hydroxysteroid dehydrogenase	-0.480	-0.110	0.359	-1.214	1.090	0.882	1.408	0.205
RalstoniaPSI07	RPSI07_RS00815	RPSI07_RS00815		hypothetical protein	0.061	-0.236	-1.198	1.105	0.503	-1.307	-0.568	-0.258
RalstoniaPSI07	RPSI07_RS00820	RPSI07_RS00820		esterase	-0.839	-1.242	0.459	-0.343	0.198	-0.752	-0.112	-0.933
RalstoniaPSI07	RPSI07_RS00835	RPSI07_RS00835		hypothetical protein	0.096	-0.436	-1.504	-0.174	1.469	-2.419	-0.638	-1.858
RalstoniaPSI07	RPSI07_RS00840	RPSI07_RS00840		DUF1911 domain-containing protein	-1.046	-1.367	-0.615	-1.939	0.581	-1.349	-0.441	-0.423
RalstoniaPSI07	RPSI07_RS00845	RPSI07_RS00845		hypothetical protein	0.648	-0.932	0.285	-1.152	0.716	-0.078	-0.379	-0.237
RalstoniaPSI07	RPSI07_RS00850	RPSI07_RS00850		DUF1911 domain-containing protein	-0.581	-0.899	-1.530	-1.267	-0.153	-0.215	0.077	-0.428
RalstoniaPSI07	RPSI07_RS00855	RPSI07_RS00855		membrane protein	-0.591	0.542	-1.330	-0.763	0.577	1.582	0.304	0.892
