rxn_id	old_deltag	old_deltagerr	new_deltag	new_deltagerr
rxn00540	-2.94	0.42	-24.82	37.63
rxn00541	2.36	0.55	9.05	4.55
rxn00542	5.67	0.45	21.15	4.27
rxn00543	5.03	0.08	20.97	3.64
rxn00544	-2.94	0.49	17.5	139.17
rxn00545	-4.64	0.37	-17.8	3.71
rxn00546	4.41	0.52	10.03	3.77
rxn00547	-2.81	0.3	-15.61	3.65
rxn00548	-12.71	0.58	-48.4	4.36
rxn00549	-1.52	0.37	-8.37	3.71
rxn00550	-7.26	0.6	-26.58	72.12
rxn00551	-1.95	0.37	-8.11	3.71
rxn00552	1.17	0.61	1.43	4.43
rxn00553	-0.6	0.68	-0.31	5.01
rxn00554	-4.37	0.71	-16.7	3.71
rxn00555	-3.99	0.64	-12.54	4.56
rxn00556	-3.97	0.48	-17.61	3.71
rxn00557	-5.51	0.51	-17.42	3.71
rxn00558	1.4	0.34	0.91	3.63
rxn00559	-0.21	0.17	-1.95	3.74
rxn00560	8.13	1.34	34.75	64.0
rxn00561	-6.92	1.69	-27.33	9.23
rxn00562	1.21	0.41	4.25	4.18
rxn00563	-14.69	1.56	-38.34	62.15
rxn00564	3.55	4.98	-18.2	87.92
rxn00565	-83.01	1.03	-343.88	7.29
rxn00566	-0.83	1.04	39.09	6.4
rxn00568	93.91	0.89	399.56	5.75
rxn00569	93.92	0.91	389.84	5.75
rxn00570	30.61	1.18	327.43	73.21
rxn00571	34.51	1.02	146.53	6.32
rxn00572	34.51	1.03	143.29	6.32
rxn00573	10000000.0	10000000.0	103.78	132.57
rxn00574	19.26	1.03	81.14	6.33
rxn00575	-5.72	0.44	-21.04	3.83
rxn00577	-0.85	0.5	-3.82	3.73
rxn00578	-3.95	0.73	-7.64	4.99
rxn00579	-1.19	0.46	2.61	3.71
rxn00580	-3.29	1.1	-4.56	98.18
rxn00581	-5.42	1.13	-8.66	5.42
rxn00582	-4.82	0.66	-12.61	3.96
rxn00583	-19.68	2.37	238.04	186.01
rxn00584	-22.07	2.56	156.81	196.6
rxn00585	-19.68	2.37	235.31	194.42
rxn00586	-105.97	0.91	-292.34	103.3
rxn00587	-62.22	1.39	-567.58	153.96
rxn00588	-73.85	1.47	-607.84	141.65
rxn00589	-108.63	1.19	-289.63	120.03
rxn00590	-120.33	1.49	-237.47	129.76
rxn00591	-22.07	2.56	110.12	205.26
rxn00592	-2.66	0.8	18.02	99.38
rxn00593	-2.66	0.8	31.19	82.09
rxn00594	-113.59	1.3	-158.59	159.77
rxn00595	-113.59	1.3	-155.35	159.77
rxn00596	-4.36	5.01	-85.29	175.96
rxn00597	10000000.0	10000000.0	-300.17	187.54
rxn00598	6.74	0.65	16.67	31.78
rxn00599	3.81	1.01	2.42	61.28
rxn00600	7.97	0.74	24.81	86.86
rxn00601	-0.5	1.4	-13.56	68.57
rxn00602	-1.81	0.5	-7.49	4.43
rxn00603	3.02	0.42	6.65	3.76
rxn00604	-0.95	0.32	-4.95	3.77
rxn00605	-4.6	0.5	-7.25	3.85
