species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Leptolinea_sp012798615--GB_GCA_024363285.1,Phz_genes,2,0,3,2,inf,1.0
s__UBA9410_sp022452145--GB_GCA_022452145.1,Phz_genes,2,1,2,0,0.0,1.0
s__Enterobacter_cloacae--RS_GCF_000025565.1,Phz_genes,1,1,2,3,1.5,1.0
s__Pelagibacterium_sp002723255--GB_GCA_002723255.1,Phz_genes,1,1,0,4,inf,0.3333333333333333
s__Telluria_timonae--RS_GCF_000315425.1,Phz_genes,2,0,3,4,inf,0.4444444444444444
s__UBA12481_sp001769295--GB_GCA_001769295.1,Phz_genes,1,1,2,0,0.0,1.0
s__Caballeronia_turbans--GB_GCA_001544655.2,Phz_genes,2,0,3,0,,1.0
s__Pseudochrobactrum_asaccharolyticum--RS_GCF_003314995.1,Phz_genes,2,1,3,5,3.333,0.5454545454545454
s__JACDHN01_sp013821025--GB_GCA_013821025.1,Phz_genes,0,2,2,3,0.0,1.0
s__Paraburkholderia_domus--RS_GCF_905220705.1,Phz_genes,2,0,2,0,,1.0
s__Dokdonella_sp019634795--GB_GCA_019634795.1,Phz_genes,2,0,1,6,inf,0.08333333333333334
s__Hydrogenophaga_sp013823485--GB_GCA_013823485.1,Phz_genes,1,2,2,5,1.25,1.0
s__JAKEFB01_sp022616275--GB_GCA_022616275.1,Phz_genes,1,1,3,1,0.333,1.0
s__Giesbergeria_sp024709845--GB_GCA_024709845.1,Phz_genes,2,0,1,4,inf,0.14285714285714288
s__Reyranella_sp002281855--GB_GCA_002281855.1,Phz_genes,3,0,2,0,,1.0
s__Variovorax_paradoxus_E--RS_GCF_000463015.1,Phz_genes,2,0,6,0,,1.0
s__Vibrio_sp000287055--RS_GCF_000287055.2,Phz_genes,1,2,1,1,0.5,1.0
s__Streptomyces_olivaceoviridis--RS_GCF_014650115.1,Phz_genes,3,0,4,1,inf,1.0
s__Pelosinus_fermentans_A--RS_GCF_000271665.2,Phz_genes,2,0,3,1,inf,1.0
s__Streptomyces_alboflavus--RS_GCF_000716675.1,Phz_genes,2,1,4,3,1.5,1.0
s__Streptomyces_stelliscabiei--RS_GCF_014873495.1,Phz_genes,4,0,5,0,,1.0
s__Rhodanobacter_thiooxydans_A--RS_GCF_003069545.1,Phz_genes,2,0,3,1,inf,1.0
s__Enterococcus_rivorum--RS_GCF_001742285.1,Phz_genes,2,0,3,0,,1.0
s__Streptomyces_bottropensis--RS_GCF_000383595.1,Phz_genes,2,0,5,0,,1.0
s__Variovorax_sp901827185--RS_GCF_901827185.1,Phz_genes,2,1,4,1,0.5,1.0
s__Halomonas_icarae--RS_GCF_009901955.1,Phz_genes,0,2,2,0,0.0,0.3333333333333333
s__S012-128_sp015488325--GB_GCA_015488325.1,Phz_genes,0,2,2,0,0.0,0.3333333333333333
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,Phz_genes,1,3,2,19,3.167,0.4217391304347826
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,Phz_genes,1,2,3,10,1.667,1.0
s__Vescimonas_sp900550585--GB_GCA_900550585.1,Phz_genes,2,0,0,4,inf,0.06666666666666667
s__Mucilaginibacter_sp903863845--GB_GCA_903863845.1,Phz_genes,1,1,1,1,1.0,1.0
s__UBA1822_sp002314995--GB_GCA_927353735.1,Phz_genes,2,0,1,3,inf,0.4000000000000001
s__Blastomonas_delafieldii_A--GB_GCA_001555775.1,Phz_genes,1,1,0,12,inf,0.14285714285714285
s__Ralstonia_sp001078575--GB_GCA_022631215.1,Phz_genes,2,0,5,3,inf,1.0
s__Alkaliphilus_B_oremlandii--RS_GCF_000018325.1,Phz_genes,2,0,1,2,inf,0.4000000000000001
s__Sphingomonas_leidyi--RS_GCF_011761945.1,Phz_genes,2,0,0,3,inf,0.10000000000000002
s__Ottowia_sp018060485--GB_GCA_018060485.1,Phz_genes,0,2,1,7,0.0,1.0
s__UBA8309_sp002683535--GB_GCA_002683535.1,Phz_genes,0,2,0,2,,1.0
s__JAJZOM01_sp021817455--GB_GCA_021817455.1,Phz_genes,0,3,1,6,0.0,1.0
s__Pseudonocardia_alni--GB_GCA_002813375.1,Phz_genes,2,2,2,5,2.5,0.5757575757575757
s__Yersinia_enterocolitica--RS_GCF_901472495.1,Phz_genes,1,1,2,1,0.5,1.0
s__Lysinibacillus_boronitolerans--RS_GCF_000772935.1,Phz_genes,2,1,3,4,2.667,1.0
s__Photorhabdus_thracensis--RS_GCF_001010285.1,Phz_genes,1,3,2,0,0.0,0.4000000000000001
s__Kocuria_varians--RS_GCF_006539885.1,Phz_genes,1,1,2,0,0.0,1.0
s__Pseudoalteromonas_rhizosphaerae--RS_GCF_902498845.1,Phz_genes,1,2,1,3,1.5,1.0
s__Clostridium_AD_estertheticum--RS_GCF_001877035.1,Phz_genes,2,2,3,2,0.667,1.0
s__Micromonospora_wenchangensis--RS_GCF_002210435.1,Phz_genes,1,2,3,1,0.167,0.48571428571428565
s__Paenibacillus_sophorae--RS_GCF_018966525.1,Phz_genes,2,0,4,0,,1.0
s__Hymenobacter_sp023101345--RS_GCF_023101345.1,Phz_genes,1,3,1,2,0.667,1.0
s__Telluria_sp020707265--RS_GCF_020707265.1,Phz_genes,2,0,3,0,,1.0
s__Streptomyces_canus--RS_GCF_001514145.1,Phz_genes,2,1,5,3,1.2,1.0
s__Methylobacterium_sp001423085--RS_GCF_001423085.1,Phz_genes,1,1,4,0,0.0,0.3333333333333333
s__Kribbella_sindirgiensis--RS_GCF_004331435.1,Phz_genes,3,1,3,0,0.0,1.0
s__Pseudoalteromonas_atlantica--GB_GCA_007988745.1,Phz_genes,1,2,1,5,2.5,1.0
s__RAAP-2_sp903825035--GB_GCA_903825035.1,Phz_genes,1,1,1,2,2.0,1.0
s__Lactococcus_lactis--RS_GCF_900099625.1,Phz_genes,0,2,2,25,0.0,1.0
s__Telluria_alkalitolerans--RS_GCF_000427785.1,Phz_genes,2,0,1,7,inf,0.06666666666666667
s__UBA11056_sp003543035--GB_GCA_003543035.1,Phz_genes,0,2,1,1,0.0,1.0
s__Peribacillus_simplex_A--RS_GCF_001578185.1,Phz_genes,1,1,3,0,0.0,0.4000000000000001
s__JAABQG01_sp016721925--GB_GCA_016721925.1,Phz_genes,0,4,4,5,0.0,0.22797202797202798
s__Aquabacterium_A_sp016721465--GB_GCA_016721465.1,Phz_genes,2,1,4,0,0.0,0.42857142857142855
s__Rhodopseudomonas_palustris_H--RS_GCF_003031265.1,Phz_genes,2,2,3,0,0.0,0.42857142857142855
s__69-11_sp001898425--GB_GCA_001898425.1,Phz_genes,2,0,4,3,inf,0.5
s__NS-7_sp020028195--GB_GCA_020028195.1,Phz_genes,0,4,0,4,,1.0
s__Flavobacterium_sp000813005--RS_GCF_000813005.1,Phz_genes,3,0,5,0,,1.0
s__Streptomyces_tanashiensis--RS_GCF_014648895.1,Phz_genes,3,2,4,0,0.0,0.4444444444444444
s__Neorhizobium_galegae--RS_GCF_000731315.1,Phz_genes,3,0,5,0,,1.0
s__Nonomuraea_longispora--RS_GCF_004348345.1,Phz_genes,2,0,2,2,inf,0.4666666666666667
s__Pseudomonas_E_sp006227205--RS_GCF_006227205.1,Phz_genes,2,0,4,0,,1.0
s__Xenorhabdus_ehlersii--RS_GCF_003610465.1,Phz_genes,4,1,2,0,0.0,1.0
s__Rhodopseudomonas_pentothenatexigens--RS_GCF_900218015.1,Phz_genes,2,0,2,0,,1.0
s__Dysosmobacter_sp910588005--GB_GCA_910588005.1,Phz_genes,1,1,1,2,2.0,1.0
s__Stenotrophomonas_rhizophila_A--RS_GCF_001704155.1,Phz_genes,1,2,2,6,1.5,1.0
s__Pseudomonas_E_sp002383725--RS_GCF_013522705.1,Phz_genes,2,1,3,2,1.333,1.0
s__Oribacterium_sp002371295--GB_GCA_002371295.1,Phz_genes,0,2,1,4,0.0,1.0
s__Terrabacter_sp013361975--GB_GCA_013361975.1,Phz_genes,1,1,4,6,1.5,1.0
s__Berkiella_sp016191245--GB_GCA_016191245.1,Phz_genes,1,1,1,2,2.0,1.0
s__JABDRK01_sp013041785--GB_GCA_013041785.1,Phz_genes,1,1,2,1,0.5,1.0
s__Nocardia_caishijiensis--RS_GCF_001612825.1,Phz_genes,2,0,2,0,,1.0
s__Mycobacterium_haemophilum--RS_GCF_000340435.2,Phz_genes,2,0,2,0,,1.0
s__Bradyrhizobium_canariense_D--RS_GCF_021052305.1,Phz_genes,3,4,4,4,0.75,1.0
s__Nannocystis_exedens--RS_GCF_002343915.1,Phz_genes,3,0,4,0,,1.0
s__Eoetvoesia_caeni--RS_GCF_003315175.1,Phz_genes,2,0,3,0,,1.0
s__Pseudomonas_E_alliivorans--RS_GCF_017826695.1,Phz_genes,2,1,4,0,0.0,0.42857142857142855
s__Pseudomonas_E_sp003852405--RS_GCF_003852405.1,Phz_genes,2,0,3,0,,1.0
s__Streptomyces_luteolifulvus--RS_GCF_008806595.1,Phz_genes,1,2,9,1,0.056,0.10839160839160841
s__Palsa-504_sp003140115--GB_GCA_003140115.1,Phz_genes,0,2,1,5,0.0,1.0
s__Xenorhabdus_stockiae--RS_GCF_002632825.1,Phz_genes,5,2,2,0,0.0,1.0
s__Klebsiella_pneumoniae--RS_GCF_000742135.1,Phz_genes,1,24,3,112,1.556,0.5490206375045948
s__Streptomyces_capoamus--RS_GCF_014654935.1,Phz_genes,2,0,5,1,inf,1.0
s__Acidovorax_A_avenae--RS_GCF_000176855.2,Phz_genes,2,0,3,1,inf,1.0
s__UBA2679_sp002354735--GB_GCA_002354735.1,Phz_genes,2,0,2,0,,1.0
s__UBA4735_sp002404155--GB_GCA_002404155.1,Phz_genes,2,0,2,1,inf,1.0
s__Acinetobacter_pittii_H--RS_GCF_002928115.1,Phz_genes,2,2,3,2,0.667,1.0
s__Thiobacillus_sp021836225--GB_GCA_021836225.1,Phz_genes,0,2,2,7,0.0,1.0
s__Vineibacter_sp003574685--GB_GCA_003574685.1,Phz_genes,2,0,4,0,,1.0
s__Vibrio_rotiferianus--RS_GCF_002741985.1,Phz_genes,1,3,1,1,0.333,1.0
s__Nocardia_flavorosea--RS_GCF_001613385.1,Phz_genes,2,0,2,0,,1.0
s__Streptomyces_agglomeratus--RS_GCF_001746415.1,Phz_genes,3,2,6,1,0.25,0.5227272727272727
