sdt_sample_name	site_defense_score	site_mobilome_score	site_metabolism_score	site_stress_score	mapped_abundance_fraction	unmapped_abundance_fraction	mapping_mode
PTMW02-4-12-11-12	0.005587175436489062	0.021007181390172814	0.1092249937565845	0.013297178413330939	0.35836560646011867	0.6416343935398814	relaxed_all_clades
TPB16-7-26-12	0.0030979091451875506	0.013380310662660851	0.0681205504495718	0.0082391099039242	0.21277541944612896	0.787224580553871	relaxed_all_clades
TPB16-81-11-28-12	0.003516419461486699	0.014635715164476313	0.07797511866104286	0.009076067312981505	0.236251728290442	0.7637482717095581	relaxed_all_clades
DP16D-67-11-27-12	0.0005835275038976241	0.002069338492270642	0.01191489427350654	0.0013264329980841331	0.036370768885900025	0.9636292311140999	species_proxy_unique_genus
FW021-46-11-27-12	8.530728339029164e-05	0.0003501394055432705	0.002867457713114911	0.00021772334446678104	0.007494169550944013	0.9925058304490559	species_proxy_unique_genus
FW021-7-26-12	9.291935021589538e-05	0.0004402977086342744	0.0039138027943730995	0.0002666085294250849	0.009592588825338205	0.9904074111746618	species_proxy_unique_genus
FW104-67-11-14-12	0.0010286790069381985	0.003669875626063994	0.020944003913275562	0.002349277316501096	0.06441217798594848	0.9355878220140516	species_proxy_unique_genus
FW104-7-26-12	0.0009562230629233922	0.0029745098893344066	0.016938142488787514	0.0019653664761288994	0.05021609655826702	0.949783903441733	species_proxy_unique_genus
FW106-11-13-12	0.0010680824617978204	0.0033114649708460096	0.016485607684166872	0.002189773716321915	0.054500025274955406	0.9454999747250445	species_proxy_unique_genus
FW106-7-25-12	1.3055894624011156e-05	6.006230336054748e-05	0.0003610709321045508	3.655909899227932e-05	0.0010272176767640489	0.9989727823232359	species_proxy_unique_genus
FW109-1-7-25-12	0.0008024447795727634	0.0028639743409988815	0.00917036346413315	0.0018332095602858224	0.0346142208774584	0.9653857791225416	species_proxy_unique_genus
FW109-2-7-25-12	0.0009763195245117202	0.0029468667557508597	0.015131761863909651	0.00196159314013129	0.04988582804877273	0.9501141719512273	species_proxy_unique_genus
FW109-35-61-11-14-12	0.0011999127307559469	0.004381524562323602	0.01813312158800899	0.002790718646539774	0.05670654791483506	0.9432934520851649	species_proxy_unique_genus
FW109-40-92-11-14-12	0.0007798380492069242	0.0022998526181221553	0.012745628343173653	0.0015398453336645398	0.038108238041276055	0.961891761958724	species_proxy_unique_genus
FW126-7-25-12	0.000795873076355606	0.0024825721100447946	0.011311505213529536	0.0016392225932002004	0.03872254861918376	0.9612774513808162	species_proxy_unique_genus
FW215-84-11-27-12	0.0003289016682783307	0.0010936608044100464	0.006151553902497121	0.0007112812363441886	0.020837049987512044	0.979162950012488	species_proxy_unique_genus
FW233-17-2-99-11-28-12	0.0005197955503820611	0.0020964641281931303	0.00961104181468883	0.0013081298392875957	0.031311167495963355	0.9686888325040366	species_proxy_unique_genus
FW300-59-10-19-12	0.00023002676037437738	0.0009292006599192179	0.005048335391539836	0.0005796137101467977	0.015802919708029196	0.9841970802919708	species_proxy_unique_genus
FW301-7-25-12	0.0005006282921729596	0.0020241594947250493	0.011102364732644915	0.0012623938934490043	0.03374818521325457	0.9662518147867454	species_proxy_unique_genus
FW301-81-10-19-12	0.000359381536212015	0.0013386803682260968	0.007917978958911642	0.0008490309522190559	0.023753107237865417	0.9762468927621346	species_proxy_unique_genus
FW301-81-2-20-13	0.0010901047261239133	0.0034890672860093184	0.01856753302346408	0.002289586006066616	0.06633170072622868	0.9336682992737713	species_proxy_unique_genus
FW303-11-10-23-12	0.0002386710270712854	0.0006702166246533564	0.0037103150578787205	0.0004544438258623209	0.011485892656908204	0.9885141073430918	species_proxy_unique_genus
FW303-11-2-20-13	0.0004252056658747861	0.0014832385282631101	0.00821288688842958	0.0009542220970689482	0.02695683324377575	0.9730431667562243	species_proxy_unique_genus
FW410-28-46-11-13-12	0.00023875764647507657	0.0007318168269034261	0.003954337114569472	0.00048528723668925136	0.013128491620111732	0.9868715083798882	species_proxy_unique_genus
FW510-26-11-26-12	0.010745104638948146	0.031113787844212478	0.18186378512643964	0.020929446241580316	0.5425325030044795	0.4574674969955205	species_proxy_unique_genus
FW511-61-11-26-12	0.0017112824162616113	0.00522187421198247	0.02964722472563596	0.0034665783141220406	0.08858912341579438	0.9114108765842056	species_proxy_unique_genus
FW511-7-26-12	0.00020219827790323854	0.0006870941336241485	0.0036848192372827284	0.0004446462057636935	0.011135582405368133	0.9888644175946318	species_proxy_unique_genus
FW602-2-26-2-11-28-12	0.000488339688991089	0.0014470766275547385	0.00859196895636297	0.0009677081582729138	0.02574105433079589	0.9742589456692041	species_proxy_unique_genus
FW603-55-12-3-12	0.0008867009374075868	0.002873397526899343	0.016054852624796313	0.0018800492321534648	0.050688687934354854	0.9493113120656451	species_proxy_unique_genus
GW056-87-1-8-13	0.00044845837562637315	0.0016725880451138467	0.010171830994571664	0.0010605232103701099	0.03146023561795791	0.9685397643820421	species_proxy_unique_genus
GW057-10-1-8-13	0.00042285473632053505	0.0013558492230696694	0.006210836555220607	0.0008893519796951022	0.021951127677999924	0.9780488723220001	species_proxy_unique_genus
GW066-71-2-20-13	0.0006458844403100703	0.0022778112809320023	0.009514871034268927	0.0014618478606210363	0.0327790973871734	0.9672209026128266	species_proxy_unique_genus
GW084-56-11-28-12	0.00015647616495941956	0.0009069695459313538	0.0052731520354950025	0.0005317228554453867	0.01507689404660817	0.9849231059533918	species_proxy_unique_genus
GW085-58-12-3-12	0.0005229686992473373	0.0016933052956132387	0.006775511152245735	0.0011081369974302881	0.024700486988736517	0.9752995130112635	species_proxy_unique_genus
GW086-25-12-3-12	9.469522162500632e-05	0.0002772760940153512	0.0014046606702318178	0.00018598565782017876	0.004785285247862822	0.9952147147521372	species_proxy_unique_genus
GW089-62-1-7-13	0.00021615014414422495	0.000678332222216375	0.005356014043762909	0.0004472411831803	0.015567108880124298	0.9844328911198758	species_proxy_unique_genus
GW098-57-1-22-13	0.0007368377927318601	0.0027067281048756527	0.014110298395409202	0.0017217829488037563	0.043625264146513264	0.9563747358534868	species_proxy_unique_genus
GW101-11-13-12	0.00041478468279660926	0.001403277413523323	0.006971595031353373	0.0009090310481599662	0.022575089266960724	0.9774249107330393	species_proxy_unique_genus
GW101-7-26-12	0.0016211728864617791	0.00445669976309756	0.025389091642915564	0.0030389363247796696	0.08209752111141377	0.9179024788885862	species_proxy_unique_genus
GW105-12-11-12	0.0013516735623855705	0.004111493309543504	0.023575085278169743	0.002731583435964537	0.06573894924840006	0.9342610507515999	species_proxy_unique_genus
GW107-91-12-11-12	0.0007218490842879438	0.0021667028025443417	0.011123762833749112	0.0014442759434161426	0.03658702514422553	0.9634129748557745	species_proxy_unique_genus
GW115-2-11-26-12	0.0005264172927742837	0.0018645531741961657	0.009816333968627635	0.0011954852334852247	0.03102231943438949	0.9689776805656105	species_proxy_unique_genus
GW122-78-11-14-12	0.001233527422560579	0.003472492405825088	0.019489511662242498	0.0023530099141928335	0.06311185609848859	0.9368881439015114	species_proxy_unique_genus
GW123-93-11-14-12	0.00013723596703398927	0.0006835983580261289	0.0036048276939870698	0.00041041716253005907	0.01033392723719754	0.9896660727628025	species_proxy_unique_genus
GW125-85-2-20-13	0.000963488657575484	0.0060952333605529055	0.03555685985340742	0.003529361009064195	0.1000684832008633	0.8999315167991367	species_proxy_unique_genus
GW127-16-11-26-12	0.00045578057878707835	0.001708254078479361	0.006383774721608023	0.0010820173286332196	0.022244589833920483	0.9777554101660795	species_proxy_unique_genus
GW148-12-17-12	0.0002782303101121238	0.0008282756706271537	0.005049776865271643	0.0005532529903696387	0.015661418446463397	0.9843385815535366	species_proxy_unique_genus
GW151-12-12-12	9.115475228778787e-05	0.00029464734942330386	0.002112615779834427	0.00019290105085554586	0.006136068437318045	0.9938639315626819	species_proxy_unique_genus
GW162-37-2-19-13	0.0006702589847060562	0.002243951891952852	0.012066206400336356	0.0014571054383294539	0.03779154518950437	0.9622084548104957	species_proxy_unique_genus
GW190-22-12-11-12	8.295919769972115e-05	0.00026441108993682463	0.0014991112593153418	0.00017368514381827288	0.005017101773000141	0.9949828982269998	species_proxy_unique_genus
GW198-41-2-11-13	0.0003108574462843574	0.0009884789777154096	0.004294652942245686	0.0006496682119998835	0.015950004663744053	0.9840499953362559	species_proxy_unique_genus
GW199-42-1-28-13	0.00016696851635886127	0.00039857123378015226	0.0026631682107976016	0.00028276987506950675	0.008532559653671744	0.9914674403463283	species_proxy_unique_genus
GW220-50-12-12-12	0.0006189045762136729	0.002328023520722644	0.01055887560231849	0.0014734640484681584	0.035558583106267035	0.964441416893733	species_proxy_unique_genus
GW223-39-1-8-13	0.0001814666302922399	0.0006779465680995286	0.0031187361376242553	0.0004297065991958843	0.010957048812708843	0.9890429511872911	species_proxy_unique_genus
GW228-12-2-4-13	0.00020635878477537947	0.0009523637367451755	0.005260660255365701	0.0005793612607602775	0.015519198799821594	0.9844808012001784	species_proxy_unique_genus
GW246-1-11-26-12	0.00019629293035964377	0.0005215610371718047	0.0026140424621565444	0.00035892698376572424	0.008116302082236772	0.9918836979177632	species_proxy_unique_genus
GW247-7-11-14-12	0.0008408112994245399	0.002420088667166971	0.014175824648649082	0.0016304499832957555	0.04243133837971283	0.9575686616202872	species_proxy_unique_genus
GW271-66-2-18-13	8.436168865435238e-05	0.0003145901619019507	0.0016028650642770687	0.0001994759252781515	0.005116675711295449	0.9948833242887045	species_proxy_unique_genus
GW283-43-1-29-13	0.0007528272096614546	0.002640322447040864	0.010651411780069805	0.0016965748283511593	0.03798904024546029	0.9620109597545397	species_proxy_unique_genus
GW314-97-2-19-13	0.00015859950567424983	0.000511178702437272	0.002414893302335495	0.0003348891040557609	0.008290207506406069	0.9917097924935939	species_proxy_unique_genus
GW345-51-11-27-12	0.000291177167493059	0.0010393156053550828	0.005187585368162797	0.0006652463864240708	0.01671462682911896	0.983285373170881	species_proxy_unique_genus
GW346-47-11-27-12	0.0005881679761239562	0.0017336875535922437	0.00933617239824731	0.0011609277648581	0.03000582052705876	0.9699941794729412	species_proxy_unique_genus
GW350-74-2-12-13	0.0002281732907354498	0.0008575024275911033	0.003957587534096449	0.0005428378591632764	0.013322899737153634	0.9866771002628464	species_proxy_unique_genus
GW363-94-1-22-13	0.00015513707185221002	0.0005568336733209455	0.003306700873764642	0.0003559853725865777	0.010286951813752032	0.989713048186248	species_proxy_unique_genus
GW383-12-17-12	0.00013129246446658092	0.0004945456256217978	0.002620740993992063	0.00031291904504418934	0.008411256110271128	0.9915887438897288	species_proxy_unique_genus
GW384-12-17-12	8.532578556351384e-05	0.00027077164293953554	0.0017653391723800637	0.0001780487142515247	0.005386660094706638	0.9946133399052933	species_proxy_unique_genus
GW385-80-2-18-13	0.00013461714007060677	0.00038235907652586114	0.00221328115663972	0.00025848810829823396	0.0074030693455866894	0.9925969306544133	species_proxy_unique_genus
GW526-15-11-27-12	0.0004167981138808937	0.0018238622157749102	0.009588746997419729	0.0011203301648279019	0.028850552179311248	0.9711494478206888	species_proxy_unique_genus
GW531-83-11-28-12	4.204689766810393e-05	0.00013130787546678858	0.0006737487893865708	8.667738656744625e-05	0.0022079239938891802	0.9977920760061109	species_proxy_unique_genus
GW533-48-11-28-12	0.00017638616302602787	0.0005300924999513896	0.003212311454301307	0.0003532393314887087	0.010205717339032862	0.9897942826609671	species_proxy_unique_genus
GW537-24-11-26-12	0.0010243802968456768	0.0029575750160186465	0.015873043046401896	0.0019909776564321618	0.051749208793088704	0.9482507912069112	species_proxy_unique_genus
GW60-1A-60-2-4-13	0.0005828290488738197	0.0015700305680472041	0.009838585054159684	0.001076429808460512	0.03126517882250684	0.9687348211774932	species_proxy_unique_genus
