genus	genus_norm	gtdb_species_clade_id	species_name	mapping_tier
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp021779635--GB_GCA_021779635.1	s__Bradyrhizobium_sp021779635	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_japonicum_B--RS_GCF_024585165.1	s__Bradyrhizobium_japonicum_B	genus_exact
Candidatus_Woesebacteria	candidatus_woesebacteria			unmapped
Crenothrix	crenothrix			unmapped
RBG-13-54-9	rbg_13_54_9			unmapped
WWE3	wwe3			unmapped
BD7-11	bd7_11			unmapped
SM2D12	sm2d12			unmapped
Candidatus_Omnitrophus	candidatus_omnitrophus			unmapped
Candidatus_Yanofskybacteria	candidatus_yanofskybacteria			unmapped
GAL15	gal15			unmapped
OM27_clade	om27_clade			unmapped
Candidatus_Vogelbacteria	candidatus_vogelbacteria			unmapped
TRA3-20	tra3_20			unmapped
RCP2-54	rcp2_54			unmapped
Labrys	labrys	s__Labrys_okinawensis--RS_GCF_002982075.1	s__Labrys_okinawensis	genus_exact
Armatimonadales	armatimonadales			unmapped
Lineage_IV	lineage_iv			unmapped
Parcubacteria	parcubacteria			unmapped
Syntrophus	syntrophus	s__Syntrophus_aciditrophicus--RS_GCF_000013405.1	s__Syntrophus_aciditrophicus	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp943913195--GB_GCA_943913195.1	s__Sphingomonas_sp943913195	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp913776045--GB_GCA_913776045.1	s__Sphingomonas_sp913776045	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_sp002403415--GB_GCA_002403415.1	s__Sphingomonas_sp002403415	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_yabuuchiae_A--RS_GCF_001477495.1	s__Sphingomonas_yabuuchiae_A	genus_exact
Sphingomonas	sphingomonas	s__Sphingomonas_G_prati--RS_GCF_014643515.1	s__Sphingomonas_G_prati	genus_exact
