sdt_sample_name	sdt_community_name	genus	phylum	read_count
GW220-50-12-12-12	GW220-50-12-12-12 0.2 micron filter	SAR202_clade	Chloroflexi	30.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 0.2 micron filter	BSV26	Bacteroidota	3172.0
FW303-11-10-23-12	FW303-11-10-23-12 10 micron filter	uncultured	Verrucomicrobiota	31.0
GW929-2-11-13	GW929-2-11-13 10 micron filter	Legionella	Proteobacteria	347.0
GW779-8-2-18-13	GW779-8-2-18-13 10 micron filter	Nitrospira	Nitrospirota	17127.0
GW105-12-11-12	GW105-12-11-12 10 micron filter	Clostridium_sensu_stricto_9	Firmicutes	5.0
GW363-94-1-22-13	GW363-94-1-22-13 0.2 micron filter	uncultured	Spirochaetota	2.0
GW921-86-1-28-13	GW921-86-1-28-13 0.2 micron filter	Candidatus_Paracaedibacter	Proteobacteria	8.0
GW631-98-12-11-12	GW631-98-12-11-12 10 micron filter	unclassified	unclassified	23877.0
GW247-7-11-14-12	GW247-7-11-14-12 0.2 micron filter	Candidatus_Methylomirabilis	Methylomirabilota	4.0
GW246-1-11-26-12	GW246-1-11-26-12 0.2 micron filter	Acidothermus	Actinobacteriota	320.0
GW089-62-1-7-13	GW089-62-1-7-13 10 micron filter	Sphingomonas	Proteobacteria	89.0
FW511-61-11-26-12	FW511-61-11-26-12 10 micron filter	JG30-KF-CM66	Chloroflexi	82.0
FW511-61-11-26-12	FW511-61-11-26-12 10 micron filter	Occallatibacter	Acidobacteriota	265.0
FW303-11-10-23-12	FW303-11-10-23-12 0.2 micron filter	028H05-P-BN-P5	Planctomycetota	2.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 0.2 micron filter	Ignavibacterium	Bacteroidota	250.0
GW085-58-12-3-12	GW085-58-12-3-12 0.2 micron filter	Bryobacter	Acidobacteriota	4.0
GW101-11-13-12	GW101-11-13-12 0.2 micron filter	BMS9AB35	Nitrospirota	1544.0
FW233-17-2-99-11-28-12	FW233-17-2-99-11-28-12 10 micron filter	Ferritrophicum	Proteobacteria	24148.0
FW301-81-2-20-13	FW301-81-2-20-13 10 micron filter	Sideroxydans	Proteobacteria	249.0
GW151-12-12-12	GW151-12-12-12 10 micron filter	uncultured	Proteobacteria	580.0
TPB16-81-11-28-12	TPB16-81-11-28-12 10 micron filter	MVP-88	Elusimicrobiota	8.0
DP16D-67-11-27-12	DP16D-67-11-27-12 0.2 micron filter	MVP-15	Spirochaetota	73.0
FW301-7-25-12	FW301-7-25-12 10 micron filter	Deferrisoma	Deferrisomatota	137.0
FW104-67-11-14-12	FW104-67-11-14-12 10 micron filter	Kapabacteriales	Bacteroidota	4.0
GW346-47-11-27-12	GW346-47-11-27-12 0.2 micron filter	Gallionella	Proteobacteria	1326.0
GW105-12-11-12	GW105-12-11-12 10 micron filter	Bryobacter	Acidobacteriota	39.0
FW511-7-26-12	FW511-7-26-12 0.2 micron filter	uncultured	Bacteroidota	28.0
GW283-43-1-29-13	GW283-43-1-29-13 0.2 micron filter	Candidatus_Beckwithbacteria	Patescibacteria	10.0
GW127-16-11-26-12	GW127-16-11-26-12 0.2 micron filter	uncultured	Actinobacteriota	84.0
FW300-59-10-19-12	FW300-59-10-19-12 10 micron filter	Babeliaceae	Dependentiae	4.0
GW755-69-1-8-13	GW755-69-1-8-13 10 micron filter	Ahniella	Proteobacteria	6.0
DP16D-67-11-27-12	DP16D-67-11-27-12 0.2 micron filter	Coxiella	Proteobacteria	128.0
GW199-42-1-28-13	GW199-42-1-28-13 10 micron filter	Nitrospira	Nitrospirota	303.0
FW303-11-10-23-12	FW303-11-10-23-12 0.2 micron filter	Legionella	Proteobacteria	119.0
GW346-47-11-27-12	GW346-47-11-27-12 10 micron filter	Ilumatobacter	Actinobacteriota	18.0
GW127-16-11-26-12	GW127-16-11-26-12 10 micron filter	Pedosphaeraceae	Verrucomicrobiota	477.0
FW303-11-10-23-12	FW303-11-10-23-12 0.2 micron filter	ADurb.Bin118	Verrucomicrobiota	12.0
GW115-2-11-26-12	GW115-2-11-26-12 10 micron filter	Candidatus_Omnitrophus	Verrucomicrobiota	1657.0
GW384-12-17-12	GW384-12-17-12 0.2 micron filter	Amphiplicatus	Proteobacteria	4.0
GW057-10-1-8-13	GW057-10-1-8-13 0.2 micron filter	SCGC_AAA011-D5	Nanoarchaeota	30.0
FW104-67-11-14-12	FW104-67-11-14-12 10 micron filter	Subgroup_12	Acidobacteriota	33.0
GW066-71-2-20-13	GW066-71-2-20-13 10 micron filter	Syntrophus	Desulfobacterota	60.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 0.2 micron filter	Lineage_IV	Elusimicrobiota	146.0
FW603-55-12-3-12	FW603-55-12-3-12 0.2 micron filter	Lacunisphaera	Verrucomicrobiota	117.0
GW685-6-1-8-13	GW685-6-1-8-13 10 micron filter	Brevundimonas	Proteobacteria	531.0
GW101-7-26-12	GW101-7-26-12 0.2 micron filter	LCP-89	LCP-89	63.0
GW737-12-12-12	GW737-12-12-12 0.2 micron filter	Pla4_lineage	Planctomycetota	150.0
GW346-47-11-27-12	GW346-47-11-27-12 0.2 micron filter	Gracilibacteria	Patescibacteria	1094.0
GW761-29-1-28-13	GW761-29-1-28-13 0.2 micron filter	Aquabacterium	Proteobacteria	148.0
FW301-81-2-20-13	FW301-81-2-20-13 10 micron filter	Haliangium	Myxococcota	388.0
GW765-77-1-11-13	GW765-77-1-11-13 10 micron filter	Aquicella	Proteobacteria	14.0
FW233-17-2-99-11-28-12	FW233-17-2-99-11-28-12 10 micron filter	CCM11a	Planctomycetota	3.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 0.2 micron filter	Pseudolabrys	Proteobacteria	266.0
GW621-21-12-17-12	GW621-21-12-17-12 0.2 micron filter	Candidatus_Nomurabacteria	Patescibacteria	52.0
GW750-28-12-12-12	GW750-28-12-12-12 10 micron filter	uncultured	Chloroflexi	236.0
FW511-7-26-12	FW511-7-26-12 10 micron filter	unclassified	unclassified	3535.0
GW631-98-12-11-12	GW631-98-12-11-12 0.2 micron filter	Bathyarchaeia	Crenarchaeota	3.0
GW383-12-17-12	GW383-12-17-12 0.2 micron filter	cvE6	Verrucomicrobiota	104.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 0.2 micron filter	Candidatus_Omnitrophus	Verrucomicrobiota	579.0
GW086-25-12-3-12	GW086-25-12-3-12 10 micron filter	Lacunisphaera	Verrucomicrobiota	43.0
GW314-97-2-19-13	GW314-97-2-19-13 0.2 micron filter	Geobacter	Desulfobacterota	6.0
FW109-1-7-25-12	FW109-1-7-25-12 10 micron filter	Sericytochromatia	Cyanobacteria	2.0
GW760-18-1-29-13	GW760-18-1-29-13 10 micron filter	uncultured	Proteobacteria	579.0
FW109-2-7-25-12	FW109-2-7-25-12 10 micron filter	uncultured	Chloroflexi	280.0
GW314-97-2-19-13	GW314-97-2-19-13 10 micron filter	uncultured	Planctomycetota	175.0
GW190-22-12-11-12	GW190-22-12-11-12 0.2 micron filter	Pseudoxanthobacter	Proteobacteria	7.0
GW921-86-1-28-13	GW921-86-1-28-13 10 micron filter	KD3-93	Bacteroidota	103.0
GW066-71-2-20-13	GW066-71-2-20-13 10 micron filter	Pedosphaeraceae	Verrucomicrobiota	253.0
GW631-98-12-11-12	GW631-98-12-11-12 0.2 micron filter	Subgroup_13	Acidobacteriota	448.0
FW303-11-2-20-13	FW303-11-2-20-13 0.2 micron filter	uncultured	Gemmatimonadota	320.0
GW800-12-12-12	GW800-12-12-12 10 micron filter	uncultured	Bacteroidota	95.0
FW300-59-10-19-12	FW300-59-10-19-12 0.2 micron filter	Ferritrophicum	Proteobacteria	2492.0
FW109-2-7-25-12	FW109-2-7-25-12 0.2 micron filter	uncultured	Sumerlaeota	8.0
GW631-98-12-11-12	GW631-98-12-11-12 10 micron filter	Acinetobacter	Proteobacteria	70.0
FW126-7-25-12	FW126-7-25-12 0.2 micron filter	Rhizomicrobium	Proteobacteria	35.0
GW526-15-11-27-12	GW526-15-11-27-12 0.2 micron filter	Salinarimonas	Proteobacteria	4.0
FW215-84-11-27-12	FW215-84-11-27-12 0.2 micron filter	Pla4_lineage	Planctomycetota	38.0
GW346-47-11-27-12	GW346-47-11-27-12 0.2 micron filter	Streptococcus	Firmicutes	4.0
GW755-69-1-8-13	GW755-69-1-8-13 10 micron filter	Acinetobacter	Proteobacteria	663.0
FW303-11-2-20-13	FW303-11-2-20-13 0.2 micron filter	Marine_Group_II	Thermoplasmatota	19.0
FW106-11-13-12	FW106-11-13-12 10 micron filter	Parcubacteria	Patescibacteria	120.0
